Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.006,0.985,8.309,24.025,0.05
0.052,0.91,7.115,20.415,0.081
0.017,0.95,8.458,24.273,0.052
0.034,0.905,7.893,22.599,0.064
0.011,0.964,8.805,25.183,0.047
0.046,0.875,8.2,23.336,0.065
0.052,0.812,8.294,23.794,0.066
0.0,1.0,12.221,35.284,0.023
0.0,1.0,10.552,30.236,0.031
0.0,1.0,8.619,24.927,0.045
0.011,0.962,8.711,25.028,0.048
0.08,0.682,9.018,25.861,0.068
0.006,0.98,10.474,30.083,0.033
0.023,0.941,8.51,24.233,0.054
0.017,0.952,9.332,26.592,0.045
0.0,1.0,11.574,33.521,0.026
0.029,0.898,8.453,24.174,0.056
0.006,0.984,12.368,35.791,0.025
0.0,1.0,9.454,27.012,0.038
0.029,0.909,9.237,26.301,0.05
0.0,1.0,11.76,34.188,0.025
0.0,1.0,12.953,37.61,0.021
0.0,1.0,11.537,33.227,0.026
0.0,1.0,9.329,26.964,0.039
0.011,0.957,8.924,25.386,0.047
0.057,0.714,9.212,26.465,0.059
0.046,0.818,8.48,24.362,0.062
0.011,0.96,9.013,25.689,0.046
0.0,1.0,10.169,29.261,0.033
0.029,0.875,9.268,26.544,0.049
0.0,1.0,15.942,46.327,0.014
0.0,1.0,11.098,32.146,0.028
0.046,0.818,9.933,28.327,0.05
0.006,0.978,9.16,26.201,0.042
0.0,1.0,9.941,28.569,0.035
0.017,0.948,9.547,27.434,0.043
0.0,1.0,13.812,40.14,0.018
0.0,1.0,12.213,35.403,0.023
0.0,1.0,17.418,50.772,0.012
0.0,1.0,14.918,43.389,0.016
0.023,0.911,7.671,21.977,0.063
0.0,1.0,9.511,27.137,0.038
0.011,0.939,9.665,27.655,0.04
0.0,1.0,9.531,27.143,0.038
0.006,0.979,9.331,26.54,0.041
0.0,1.0,12.025,34.74,0.024
0.011,0.967,8.614,24.908,0.048
0.034,0.902,9.472,26.911,0.05
0.0,1.0,12.814,37.244,0.021
0.006,0.988,8.234,23.497,0.051
0.0,1.0,9.544,27.292,0.038
0.057,0.737,9.365,26.89,0.058
0.029,0.891,8.909,25.341,0.052
0.0,1.0,10.648,30.638,0.03
0.0,1.0,9.154,26.355,0.04
0.0,1.0,11.596,33.486,0.026
0.0,1.0,14.09,41.046,0.017
0.011,0.955,8.928,25.609,0.046
0.063,0.738,8.993,25.773,0.063
0.0,1.0,16.868,49.062,0.012
0.023,0.918,7.861,22.522,0.061
0.0,1.0,11.939,34.349,0.024
0.0,1.0,9.028,25.936,0.041
0.006,0.976,9.042,26.014,0.043
0.0,1.0,10.831,31.304,0.029
0.0,1.0,9.963,28.443,0.035
0.0,1.0,12.556,36.475,0.022
0.011,0.946,10.625,30.488,0.034
0.0,1.0,8.423,24.116,0.047
0.0,1.0,10.832,31.319,0.029
0.04,0.841,9.819,27.986,0.049
0.034,0.902,8.762,24.953,0.056
0.029,0.872,9.534,27.059,0.048
0.0,1.0,9.932,28.509,0.035
0.0,1.0,9.702,27.579,0.037
0.0,1.0,17.799,51.791,0.011
0.063,0.814,8.259,23.618,0.07
0.0,1.0,16.804,48.962,0.012
0.006,0.969,10.082,28.666,0.036
0.017,0.944,9.369,26.949,0.044
0.0,1.0,13.258,38.525,0.02
0.023,0.923,9.182,26.118,0.048
0.0,1.0,13.346,38.866,0.019
0.006,0.98,13.82,40.081,0.02
0.011,0.961,8.588,24.605,0.049
0.0,1.0,11.891,34.429,0.024
0.0,1.0,9.274,26.668,0.039
0.011,0.933,9.013,25.731,0.046
0.0,1.0,16.266,47.344,0.013
0.0,1.0,12.296,35.499,0.023
0.0,1.0,9.67,27.748,0.036
0.0,1.0,9.638,27.89,0.036
0.0,1.0,17.626,51.37,0.011
0.034,0.857,9.434,26.843,0.05
0.011,0.97,9.41,26.999,0.042
0.0,1.0,13.142,38.119,0.02
0.0,1.0,8.979,25.966,0.041
0.0,1.0,14.787,42.857,0.016
0.006,0.972,9.222,26.371,0.042
0.029,0.904,9.096,26.025,0.051
