Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,4.18,14.758,0.121
0.0,1.0,4.175,14.593,0.123
0.0,1.0,10.747,38.035,0.022
0.0,1.0,7.256,25.983,0.046
0.0,1.0,6.789,24.913,0.05
0.0,1.0,9.977,35.302,0.026
0.026,0.944,2.715,9.384,0.237
0.0,1.0,6.062,22.065,0.062
0.0,1.0,7.405,27.564,0.042
0.0,1.0,6.524,23.673,0.055
0.0,1.0,5.044,18.643,0.084
0.0,1.0,4.191,14.718,0.121
0.0,1.0,4.073,14.215,0.128
0.0,1.0,4.689,16.672,0.1
0.0,1.0,6.902,24.901,0.05
0.026,0.95,3.536,12.755,0.162
0.026,0.955,2.669,9.152,0.243
0.0,1.0,6.614,24.283,0.053
0.0,1.0,5.653,20.584,0.07
0.0,1.0,4.584,16.414,0.103
0.0,1.0,6.784,24.443,0.051
0.0,1.0,2.825,9.73,0.218
0.0,1.0,6.145,22.573,0.06
0.0,1.0,11.876,41.324,0.019
0.0,1.0,5.605,20.662,0.071
0.0,1.0,6.821,24.823,0.05
0.0,1.0,5.82,21.152,0.067
0.0,1.0,9.493,33.548,0.028
0.0,1.0,5.632,20.862,0.07
0.0,1.0,5.123,18.482,0.085
0.0,1.0,7.905,28.731,0.038
0.0,1.0,6.923,24.867,0.05
0.026,0.941,3.461,12.095,0.171
0.0,1.0,8.826,32.212,0.031
0.0,1.0,6.441,23.635,0.055
0.0,1.0,4.649,16.715,0.1
0.0,1.0,5.549,20.322,0.072
0.0,1.0,5.715,21.088,0.068
0.0,1.0,5.812,21.032,0.068
0.0,1.0,9.677,34.357,0.027
0.0,1.0,6.744,24.909,0.05
0.0,1.0,11.154,39.129,0.021
0.0,1.0,11.367,39.906,0.02
0.0,1.0,6.819,24.892,0.05
0.0,1.0,11.414,39.939,0.02
0.0,1.0,6.134,22.407,0.061
0.0,1.0,4.51,16.479,0.103
0.0,1.0,3.858,13.863,0.135
0.0,1.0,6.005,21.76,0.064
0.0,1.0,5.67,20.715,0.07
0.0,1.0,3.611,12.368,0.156
0.026,0.95,4.236,15.015,0.127
0.0,1.0,7.006,25.767,0.047
0.0,1.0,11.683,41.174,0.019
0.0,1.0,10.665,38.224,0.022
0.0,1.0,6.376,23.3,0.057
0.026,0.952,4.292,15.628,0.121
0.0,1.0,11.892,41.37,0.019
0.0,1.0,9.979,35.258,0.026
0.0,1.0,3.872,14.1,0.132
0.0,1.0,5.63,20.353,0.072
0.0,1.0,9.939,34.663,0.026
0.0,1.0,5.758,20.98,0.068
0.026,0.944,3.209,10.926,0.194
0.0,1.0,6.409,23.474,0.056
0.0,1.0,7.361,26.798,0.044
0.0,1.0,6.724,24.042,0.053
0.0,1.0,7.09,26.012,0.046
0.0,1.0,6.95,25.312,0.049
0.0,1.0,8.282,29.572,0.036
0.0,1.0,10.256,36.582,0.024
0.0,1.0,9.994,35.929,0.025
0.026,0.947,2.611,8.855,0.251
0.0,1.0,11.435,40.219,0.02
0.0,1.0,9.805,34.29,0.027
0.0,1.0,3.472,12.167,0.162
0.0,1.0,7.164,26.155,0.046
0.0,1.0,4.113,14.244,0.127
0.0,1.0,5.119,18.796,0.083
0.0,1.0,10.038,35.998,0.025
0.0,1.0,5.055,18.205,0.087
0.0,1.0,5.613,20.346,0.072
0.0,1.0,4.938,17.643,0.091
0.0,1.0,6.191,22.655,0.06
0.0,1.0,10.754,38.559,0.022
0.0,1.0,6.128,22.18,0.062
0.026,0.941,2.917,9.845,0.221
0.0,1.0,5.76,20.871,0.069
0.103,0.714,3.664,13.514,0.177
0.0,1.0,5.055,18.215,0.087
0.0,1.0,3.908,14.075,0.132
0.0,1.0,6.312,23.565,0.056
0.0,1.0,8.49,30.729,0.034
0.0,1.0,6.982,25.06,0.049
0.0,1.0,7.918,28.511,0.039
0.0,1.0,11.113,39.358,0.021
0.0,1.0,10.847,38.388,0.022
0.0,1.0,5.738,20.928,0.069
0.0,1.0,8.656,32.02,0.032
0.0,1.0,3.855,14.092,0.133
