Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,9.442,27.515,0.037
0.0,1.0,9.889,28.18,0.035
0.0,1.0,10.267,29.282,0.033
0.0,1.0,14.699,45.644,0.015
0.0,1.0,11.203,33.77,0.026
0.0,1.0,15.964,48.966,0.013
0.0,1.0,15.519,48.438,0.013
0.0,1.0,6.941,20.624,0.063
0.037,0.966,9.399,28.645,0.048
0.0,1.0,10.4,30.66,0.031
0.0,1.0,15.102,46.91,0.014
0.0,1.0,10.617,30.62,0.03
0.037,0.968,9.577,28.516,0.048
0.0,1.0,9.309,27.476,0.038
0.0,1.0,11.781,36.026,0.023
0.0,1.0,10.469,29.89,0.032
0.0,1.0,15.916,49.324,0.013
0.0,1.0,9.71,30.255,0.032
0.0,1.0,17.803,55.49,0.01
0.0,1.0,15.929,49.166,0.013
0.0,1.0,16.215,50.056,0.012
0.0,1.0,9.202,26.39,0.04
0.0,1.0,10.234,30.885,0.03
0.037,0.955,8.275,25.583,0.056
0.0,1.0,13.441,41.209,0.018
0.0,1.0,15.387,48.379,0.013
0.0,1.0,10.616,31.741,0.029
0.0,1.0,18.342,57.162,0.009
0.0,1.0,15.226,46.922,0.014
0.0,1.0,10.426,30.293,0.031
0.0,1.0,14.479,44.37,0.015
0.0,1.0,15.703,48.563,0.013
0.0,1.0,12.404,38.17,0.021
0.0,1.0,9.744,27.638,0.037
0.0,1.0,14.905,46.349,0.014
0.037,0.97,8.717,25.835,0.054
0.556,0.4,1.485,4.172,0.622
0.481,0.629,2.239,6.562,0.473
0.0,1.0,9.89,29.176,0.034
0.0,1.0,10.874,30.819,0.03
0.0,1.0,17.736,54.258,0.01
0.074,0.909,7.154,20.765,0.087
0.0,1.0,8.198,24.107,0.048
0.0,1.0,11.352,32.614,0.027
0.0,1.0,10.368,31.985,0.029
0.0,1.0,11.46,34.658,0.025
0.0,1.0,10.557,29.788,0.032
0.0,1.0,16.339,50.321,0.012
0.0,1.0,16.435,50.788,0.012
0.0,1.0,16.153,49.972,0.012
0.0,1.0,10.245,29.309,0.033
0.0,1.0,12.751,39.716,0.019
0.0,1.0,11.384,34.894,0.024
0.0,1.0,9.351,28.699,0.035
0.037,0.967,5.579,16.519,0.105
0.0,1.0,6.785,21.449,0.061
0.0,1.0,9.772,28.813,0.034
0.0,1.0,10.718,31.452,0.029
0.0,1.0,10.904,32.406,0.028
0.0,1.0,10.536,29.747,0.032
0.0,1.0,9.868,29.018,0.034
0.0,1.0,15.503,48.075,0.013
0.0,1.0,11.671,36.123,0.023
0.0,1.0,16.029,49.769,0.012
0.0,1.0,15.316,48.227,0.013
0.0,1.0,14.632,45.247,0.015
0.0,1.0,9.462,29.191,0.034
0.481,0.594,3.98,10.808,0.329
0.0,1.0,6.101,18.038,0.08
0.0,1.0,17.162,52.704,0.011
0.0,1.0,9.651,28.158,0.036
0.0,1.0,16.395,51.019,0.012
0.0,1.0,10.623,30.43,0.031
0.0,1.0,10.672,31.301,0.029
0.0,1.0,10.046,28.425,0.035
0.0,1.0,11.225,32.32,0.027
0.0,1.0,8.979,27.405,0.038
0.0,1.0,10.105,29.691,0.032
0.0,1.0,10.08,29.595,0.033
0.0,1.0,9.604,27.463,0.037
0.0,1.0,6.873,21.516,0.06
0.0,1.0,18.988,58.182,0.009
0.0,1.0,9.343,26.565,0.039
0.0,1.0,10.889,32.079,0.028
0.0,1.0,8.766,27.011,0.04
0.0,1.0,9.985,27.979,0.036
0.0,1.0,8.302,25.658,0.044
0.0,1.0,7.766,23.831,0.05
0.0,1.0,8.543,25.109,0.044
0.185,0.792,6.71,19.616,0.13
0.0,1.0,10.841,31.163,0.029
0.037,0.962,8.662,25.29,0.056
0.0,1.0,9.144,28.151,0.037
0.0,1.0,9.954,28.525,0.035
0.0,1.0,9.817,28.035,0.036
0.0,1.0,12.436,38.514,0.02
0.0,1.0,9.456,28.417,0.036
0.0,1.0,10.306,30.1,0.032
0.0,1.0,11.651,35.266,0.024
0.0,1.0,17.397,53.386,0.011
