Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,10.527,35.362,0.025
0.0,1.0,11.496,38.084,0.021
0.0,1.0,5.932,19.756,0.072
0.0,1.0,9.759,32.348,0.029
0.319,0.483,1.094,3.509,0.609
0.0,1.0,12.257,41.168,0.019
0.0,1.0,6.484,21.619,0.062
0.0,1.0,6.574,21.724,0.061
0.0,1.0,8.278,27.463,0.04
0.0,1.0,7.172,23.889,0.051
0.0,1.0,11.519,37.596,0.022
0.0,1.0,6.508,21.574,0.062
0.0,1.0,11.359,37.873,0.022
0.0,1.0,8.278,27.65,0.039
0.0,1.0,5.967,19.782,0.072
0.0,1.0,7.804,25.768,0.045
0.0,1.0,6.828,22.771,0.056
0.0,1.0,11.897,39.262,0.02
0.0,1.0,7.712,25.686,0.045
0.0,1.0,12.039,39.261,0.02
0.0,1.0,7.613,25.248,0.046
0.0,1.0,8.395,27.926,0.039
0.021,0.955,6.765,22.315,0.065
0.0,1.0,11.413,38.064,0.021
0.0,1.0,9.771,32.639,0.029
0.0,1.0,12.049,39.219,0.02
0.0,1.0,8.554,28.361,0.037
0.0,1.0,11.128,36.966,0.023
0.0,1.0,6.364,21.373,0.063
0.0,1.0,11.937,40.184,0.019
0.0,1.0,13.425,44.115,0.016
0.0,1.0,7.035,23.176,0.054
0.0,1.0,11.766,38.714,0.021
0.0,1.0,10.619,35.463,0.025
0.0,1.0,5.669,18.769,0.079
0.021,0.955,5.606,18.673,0.087
0.0,1.0,5.808,19.342,0.075
0.0,1.0,12.547,41.04,0.018
0.0,1.0,8.483,27.867,0.038
0.0,1.0,9.222,31.126,0.032
0.0,1.0,8.605,28.667,0.037
0.021,0.947,6.567,21.793,0.068
0.021,0.963,5.839,19.389,0.081
0.0,1.0,10.996,36.764,0.023
0.0,1.0,9.551,31.977,0.03
0.0,1.0,10.623,35.616,0.024
0.0,1.0,5.808,19.27,0.075
0.0,1.0,7.082,23.626,0.053
0.0,1.0,10.152,34.119,0.027
0.021,0.947,5.908,19.685,0.08
0.0,1.0,6.607,22.082,0.059
0.0,1.0,11.957,38.887,0.02
0.0,1.0,10.346,34.488,0.026
0.0,1.0,10.999,36.69,0.023
0.0,1.0,11.74,38.133,0.021
0.0,1.0,7.695,25.446,0.046
0.0,1.0,7.081,23.201,0.054
0.0,1.0,11.544,37.548,0.022
0.085,0.789,3.138,9.686,0.235
0.0,1.0,6.3,21.082,0.064
0.0,1.0,8.517,28.03,0.038
0.0,1.0,10.715,35.918,0.024
0.0,1.0,13.969,45.928,0.015
0.0,1.0,6.171,20.525,0.067
0.106,0.643,2.452,7.893,0.305
0.0,1.0,8.29,28.175,0.038
0.021,0.95,6.287,20.716,0.073
0.085,0.8,4.318,14.146,0.153
0.0,1.0,8.526,28.041,0.038
0.0,1.0,7.765,25.61,0.045
0.0,1.0,7.052,23.44,0.053
0.0,1.0,10.605,34.614,0.025
0.0,1.0,7.792,25.765,0.045
0.0,1.0,12.82,41.934,0.018
0.0,1.0,6.465,21.435,0.062
0.0,1.0,10.65,35.599,0.024
0.0,1.0,6.391,21.148,0.064
0.0,1.0,9.555,32.245,0.03
0.0,1.0,5.097,17.239,0.092
0.0,1.0,8.39,27.677,0.039
0.0,1.0,5.903,19.79,0.072
0.0,1.0,9.488,31.207,0.031
0.0,1.0,7.816,25.563,0.045
0.149,0.682,3.054,9.59,0.261
0.0,1.0,7.54,24.801,0.048
0.0,1.0,9.657,32.747,0.029
0.0,1.0,12.53,40.604,0.019
0.0,1.0,6.952,23.094,0.055
0.0,1.0,8.321,27.587,0.039
0.0,1.0,5.71,19.139,0.076
0.0,1.0,13.506,44.969,0.016
0.043,0.92,5.392,17.753,0.1
0.0,1.0,6.871,22.572,0.057
0.0,1.0,7.559,25.41,0.046
0.0,1.0,8.258,27.419,0.04
0.0,1.0,10.049,33.84,0.027
0.0,1.0,6.31,21.184,0.064
0.0,1.0,6.457,21.326,0.063
0.0,1.0,10.362,34.184,0.026
0.0,1.0,8.631,29.122,0.036
