Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,8.571,23.012,0.05
0.081,0.885,4.639,10.67,0.188
0.0,1.0,9.949,25.553,0.041
0.0,1.0,11.694,31.716,0.028
0.0,1.0,10.252,26.443,0.038
0.0,1.0,7.718,20.538,0.061
0.027,0.95,6.479,20.668,0.074
0.0,1.0,11.896,30.795,0.029
0.054,0.931,8.847,23.587,0.066
0.0,1.0,11.61,31.449,0.028
0.0,1.0,9.39,25.165,0.042
0.0,1.0,9.418,24.388,0.044
0.0,1.0,8.464,21.902,0.054
0.0,1.0,8.877,24.038,0.046
0.027,0.967,7.54,20.801,0.069
0.0,1.0,8.835,22.747,0.05
0.0,1.0,11.916,31.345,0.028
0.0,1.0,11.411,29.985,0.03
0.0,1.0,11.79,30.903,0.029
0.081,0.906,5.413,12.444,0.157
0.054,0.917,9.555,25.217,0.06
0.0,1.0,7.728,21.107,0.059
0.081,0.903,6.017,16.172,0.119
0.054,0.9,9.986,26.786,0.056
0.0,1.0,8.699,22.801,0.05
0.0,1.0,7.318,20.078,0.064
0.0,1.0,10.068,26.212,0.039
0.0,1.0,8.574,22.777,0.051
0.0,1.0,8.727,24.022,0.047
0.0,1.0,8.981,24.811,0.044
0.0,1.0,10.098,29.187,0.033
0.0,1.0,11.167,30.064,0.031
0.0,1.0,11.737,31.958,0.027
0.054,0.929,7.386,19.368,0.085
0.027,0.962,9.819,26.181,0.048
0.0,1.0,11.131,29.376,0.032
0.0,1.0,7.984,20.553,0.06
0.0,1.0,9.478,24.784,0.043
0.0,1.0,10.572,28.613,0.034
0.0,1.0,9.635,25.513,0.041
0.0,1.0,7.8,20.981,0.059
0.0,1.0,9.566,25.711,0.041
0.0,1.0,8.319,22.612,0.052
0.0,1.0,10.38,26.569,0.038
0.0,1.0,11.372,31.565,0.028
0.0,1.0,10.515,27.678,0.035
0.0,1.0,8.246,22.54,0.052
0.0,1.0,8.192,25.038,0.045
0.0,1.0,11.172,30.417,0.03
0.0,1.0,10.393,27.127,0.037
0.0,1.0,8.251,22.619,0.052
0.027,0.947,7.545,19.418,0.075
0.0,1.0,10.402,27.57,0.036
0.0,1.0,8.575,23.513,0.048
0.0,1.0,10.096,25.971,0.039
0.027,0.96,7.295,19.542,0.076
0.0,1.0,5.967,15.767,0.095
0.0,1.0,8.532,23.124,0.05
0.0,1.0,12.428,33.358,0.025
0.0,1.0,11.628,30.717,0.029
0.0,1.0,11.119,30.055,0.031
0.054,0.941,8.41,22.598,0.07
0.0,1.0,10.952,28.995,0.033
0.0,1.0,10.184,26.007,0.039
0.054,0.929,6.144,15.045,0.117
0.0,1.0,9.734,26.272,0.039
0.081,0.87,3.805,8.742,0.234
0.027,0.944,5.81,16.029,0.103
0.0,1.0,10.9,28.489,0.033
0.054,0.913,6.355,17.69,0.098
0.0,1.0,9.926,26.064,0.039
0.0,1.0,8.69,23.083,0.049
0.0,1.0,10.0,26.887,0.038
0.0,1.0,11.741,31.135,0.028
0.0,1.0,7.673,21.147,0.059
0.0,1.0,10.423,27.013,0.037
0.0,1.0,11.876,31.505,0.028
0.216,0.652,2.488,5.679,0.391
0.0,1.0,10.905,29.342,0.032
0.0,1.0,9.759,25.273,0.042
0.108,0.818,5.506,13.535,0.153
0.0,1.0,10.456,27.953,0.035
0.0,1.0,8.883,23.938,0.047
0.0,1.0,7.104,20.108,0.065
0.054,0.935,8.491,22.714,0.069
0.0,1.0,11.018,29.457,0.032
0.0,1.0,10.669,30.558,0.03
0.027,0.941,6.668,20.627,0.073
0.081,0.897,8.552,22.56,0.078
0.0,1.0,11.573,33.127,0.026
0.0,1.0,10.243,30.365,0.031
0.0,1.0,10.155,26.928,0.037
0.054,0.917,7.309,19.045,0.087
0.0,1.0,11.047,31.261,0.029
0.0,1.0,11.571,32.641,0.027
0.0,1.0,11.871,32.049,0.027
0.0,1.0,11.362,32.341,0.027
0.0,1.0,9.864,28.057,0.036
0.0,1.0,9.294,25.075,0.043
0.0,1.0,10.507,27.593,0.036
