Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.085,0.848,6.48,17.076,0.111
0.153,0.735,6.385,16.956,0.135
0.119,0.759,6.675,18.025,0.116
0.0,1.0,9.39,26.788,0.039
0.0,1.0,10.383,28.943,0.033
0.051,0.885,7.256,20.241,0.081
0.169,0.744,2.623,7.053,0.336
0.0,1.0,10.655,30.09,0.031
0.102,0.75,7.858,21.202,0.092
0.136,0.765,6.488,17.815,0.124
0.136,0.8,6.546,17.221,0.127
0.068,0.846,6.925,19.672,0.09
0.068,0.862,5.963,16.223,0.114
0.169,0.706,6.937,18.609,0.129
0.051,0.903,4.183,11.347,0.175
0.102,0.76,6.144,16.579,0.122
0.119,0.781,3.594,10.353,0.223
0.0,1.0,9.584,27.198,0.038
0.136,0.758,4.855,13.309,0.171
0.0,1.0,9.173,25.863,0.041
0.068,0.886,5.769,16.791,0.112
0.068,0.862,6.64,17.714,0.101
0.119,0.781,6.08,16.323,0.13
0.068,0.862,2.897,8.194,0.266
0.068,0.846,6.574,17.61,0.102
0.0,1.0,10.39,29.048,0.033
0.136,0.742,6.583,17.367,0.126
0.22,0.519,3.86,10.447,0.25
0.017,0.971,7.242,20.367,0.069
0.203,0.727,2.355,6.532,0.374
0.0,1.0,8.396,24.225,0.047
0.136,0.75,3.111,8.56,0.274
0.085,0.722,3.063,8.427,0.261
0.136,0.818,6.664,17.836,0.123
0.0,1.0,10.399,29.194,0.033
0.085,0.821,5.183,14.285,0.141
0.169,0.737,7.03,18.638,0.128
0.102,0.714,5.06,13.88,0.152
0.0,1.0,4.402,12.385,0.141
0.017,0.968,7.702,21.629,0.062
0.017,0.964,5.819,15.957,0.1
0.136,0.778,6.42,17.101,0.128
0.0,1.0,8.832,24.99,0.044
0.085,0.828,7.371,19.973,0.093
0.0,1.0,5.493,15.474,0.1
0.237,0.462,3.213,8.929,0.297
0.0,1.0,9.722,27.637,0.037
0.119,0.767,6.909,18.254,0.114
0.068,0.818,7.662,20.755,0.083
0.0,1.0,9.853,28.014,0.036
0.068,0.882,4.559,13.18,0.153
0.0,1.0,8.612,24.375,0.046
0.068,0.862,6.993,19.012,0.093
0.051,0.885,6.486,18.532,0.092
0.0,1.0,9.308,25.94,0.041
0.017,0.963,5.624,15.198,0.107
0.085,0.783,6.295,16.813,0.114
0.0,1.0,10.701,30.082,0.031
0.102,0.854,6.823,18.05,0.11
0.119,0.788,6.552,17.721,0.118
0.017,0.957,4.357,12.193,0.15
0.0,1.0,8.668,24.506,0.045
0.0,1.0,9.888,27.926,0.036
0.288,0.585,3.253,8.958,0.312
0.051,0.889,6.81,18.144,0.092
0.017,0.969,5.73,16.637,0.096
0.0,1.0,8.282,23.593,0.049
0.051,0.9,5.759,15.917,0.112
0.254,0.674,3.84,10.588,0.26
0.0,1.0,9.987,28.317,0.035
0.136,0.714,3.777,10.812,0.218
0.068,0.867,7.925,22.042,0.077
0.051,0.88,6.31,17.103,0.101
0.203,0.636,4.87,13.164,0.195
0.051,0.842,6.543,17.615,0.097
0.102,0.8,7.518,20.458,0.096
0.153,0.769,6.702,18.828,0.123
0.034,0.929,6.175,17.652,0.093
0.136,0.765,3.561,9.981,0.236
0.034,0.941,6.86,19.222,0.081
0.0,1.0,11.559,32.65,0.027
0.0,1.0,13.049,36.782,0.021
0.068,0.867,3.592,9.724,0.216
0.034,0.941,6.378,17.159,0.094
0.085,0.828,5.106,14.308,0.142
0.0,1.0,11.636,32.613,0.027
0.119,0.788,4.267,11.812,0.19
0.0,1.0,10.235,28.898,0.034
0.051,0.906,4.889,13.316,0.142
0.0,1.0,10.229,28.801,0.034
0.017,0.966,7.754,21.822,0.062
0.0,1.0,9.161,25.776,0.041
0.0,1.0,8.239,23.938,0.048
0.0,1.0,9.277,26.446,0.04
0.0,1.0,9.11,26.004,0.041
0.051,0.87,4.947,13.49,0.14
0.017,0.971,8.922,25.433,0.048
0.017,0.971,8.661,24.414,0.051
0.051,0.875,6.554,17.676,0.096
0.051,0.893,6.994,18.614,0.089
