Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,8.684,26.64,0.04
0.104,0.755,7.847,23.847,0.084
0.009,0.977,7.206,21.614,0.061
0.0,1.0,6.677,20.005,0.067
0.017,0.949,7.297,21.803,0.063
0.0,1.0,7.081,21.048,0.061
0.0,1.0,9.97,30.569,0.031
0.0,1.0,9.282,28.574,0.036
0.0,1.0,10.466,32.326,0.028
0.0,1.0,6.517,19.528,0.07
0.0,1.0,10.665,33.068,0.027
0.0,1.0,10.813,33.565,0.026
0.026,0.938,7.52,22.46,0.063
0.009,0.974,6.653,19.97,0.07
0.026,0.939,6.668,20.25,0.075
0.0,1.0,6.88,20.744,0.063
0.0,1.0,8.226,24.717,0.046
0.017,0.971,7.135,21.382,0.065
0.0,1.0,11.188,34.774,0.025
0.0,1.0,9.041,27.326,0.038
0.052,0.87,7.848,23.593,0.067
0.0,1.0,9.661,29.732,0.033
0.052,0.857,6.593,19.853,0.085
0.043,0.886,6.354,19.05,0.087
0.017,0.966,7.645,22.994,0.058
0.017,0.958,8.614,26.334,0.047
0.0,1.0,8.31,25.028,0.045
0.0,1.0,7.157,21.431,0.059
0.0,1.0,12.28,38.293,0.021
0.052,0.857,7.523,22.544,0.072
0.026,0.919,7.11,21.27,0.069
0.0,1.0,6.055,18.041,0.08
0.0,1.0,9.22,27.699,0.037
0.0,1.0,10.247,31.537,0.03
0.0,1.0,7.372,22.44,0.055
0.017,0.958,7.712,22.999,0.058
0.052,0.875,8.39,25.769,0.06
0.009,0.966,8.582,25.687,0.046
0.0,1.0,11.905,36.932,0.022
0.009,0.978,8.922,26.79,0.043
0.009,0.973,10.21,31.519,0.033
0.0,1.0,10.824,33.383,0.027
0.061,0.788,6.539,19.564,0.09
0.035,0.913,7.553,22.71,0.065
0.009,0.974,7.773,23.171,0.054
0.0,1.0,7.546,22.825,0.053
0.026,0.929,6.2,18.48,0.085
0.017,0.953,8.073,24.119,0.054
0.0,1.0,7.339,22.184,0.056
0.113,0.717,8.485,26.082,0.08
0.052,0.846,6.92,20.741,0.08
0.035,0.918,7.13,21.351,0.071
0.052,0.875,5.594,16.57,0.109
0.035,0.905,7.273,21.972,0.069
0.0,1.0,11.001,34.052,0.026
0.0,1.0,11.636,36.12,0.023
0.0,1.0,10.456,32.029,0.029
0.026,0.938,7.804,23.794,0.058
0.0,1.0,6.884,20.417,0.064
0.035,0.933,8.827,26.922,0.051
0.0,1.0,11.142,34.111,0.025
0.026,0.897,10.899,33.52,0.035
0.009,0.974,9.061,27.344,0.041
0.0,1.0,10.152,31.422,0.03
0.043,0.911,8.415,25.755,0.057
0.026,0.941,7.089,21.294,0.069
0.0,1.0,12.389,38.282,0.02
0.009,0.974,8.366,25.47,0.047
0.0,1.0,8.259,25.368,0.044
0.0,1.0,8.761,26.636,0.04
0.0,1.0,9.615,29.553,0.033
0.043,0.886,12.154,37.567,0.036
0.0,1.0,12.185,37.702,0.021
0.043,0.878,7.556,22.751,0.068
0.017,0.956,12.015,37.044,0.028
0.0,1.0,11.674,36.33,0.023
0.0,1.0,12.696,39.422,0.019
0.035,0.9,12.71,39.308,0.031
0.0,1.0,8.246,24.718,0.046
0.017,0.929,8.384,24.962,0.051
0.043,0.875,7.36,21.987,0.071
0.0,1.0,8.63,25.955,0.042
0.0,1.0,7.776,23.109,0.052
0.0,1.0,10.66,33.169,0.027
0.0,1.0,15.736,48.949,0.013
0.0,1.0,6.066,18.034,0.08
0.017,0.943,7.62,23.403,0.057
0.0,1.0,7.9,23.665,0.05
0.0,1.0,8.898,27.003,0.039
0.0,1.0,14.068,43.828,0.016
0.0,1.0,7.26,21.642,0.058
0.0,1.0,10.383,32.004,0.029
0.052,0.838,6.202,18.552,0.094
0.0,1.0,10.219,31.19,0.03
0.0,1.0,11.072,34.416,0.025
0.0,1.0,12.182,37.711,0.021
0.026,0.923,13.017,40.399,0.027
0.035,0.923,6.746,20.173,0.078
0.0,1.0,9.464,28.458,0.035
0.0,1.0,13.834,43.123,0.016
