Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.031,0.944,4.139,14.757,0.132
0.0,1.0,9.449,34.818,0.027
0.219,0.731,3.034,10.607,0.269
0.0,1.0,9.164,33.793,0.029
0.0,1.0,8.92,33.004,0.03
0.0,1.0,12.692,45.274,0.016
0.0,1.0,7.906,28.31,0.039
0.156,0.8,3.282,11.379,0.229
0.0,1.0,5.816,21.185,0.067
0.0,1.0,6.128,22.482,0.061
0.0,1.0,5.353,19.503,0.077
0.0,1.0,7.023,25.517,0.048
0.0,1.0,11.341,41.657,0.019
0.0,1.0,9.959,36.72,0.024
0.062,0.857,2.691,9.239,0.253
0.125,0.778,2.907,10.236,0.248
0.0,1.0,7.522,26.985,0.043
0.0,1.0,4.579,16.348,0.103
0.0,1.0,5.09,18.671,0.084
0.0,1.0,8.399,31.105,0.033
0.0,1.0,11.661,43.029,0.018
0.062,0.846,2.827,10.044,0.233
0.0,1.0,8.95,32.05,0.031
0.0,1.0,10.379,36.503,0.024
0.0,1.0,10.572,37.08,0.023
0.0,1.0,10.083,35.577,0.025
0.281,0.438,2.709,9.558,0.319
0.0,1.0,10.422,36.939,0.024
0.0,1.0,10.342,36.096,0.024
0.0,1.0,8.172,29.711,0.036
0.25,0.579,4.066,14.365,0.21
0.0,1.0,7.949,28.459,0.039
0.0,1.0,5.716,20.873,0.069
0.0,1.0,3.49,12.388,0.159
0.0,1.0,7.923,28.889,0.038
0.0,1.0,11.867,43.848,0.017
0.281,0.438,1.974,6.851,0.418
0.0,1.0,7.1,25.85,0.047
0.0,1.0,11.499,42.314,0.019
0.0,1.0,7.267,26.915,0.044
0.0,1.0,10.521,36.714,0.024
0.0,1.0,12.122,44.822,0.017
0.0,1.0,5.246,19.117,0.08
0.0,1.0,10.312,36.314,0.024
0.062,0.889,2.873,10.029,0.232
0.0,1.0,10.336,35.98,0.024
0.188,0.793,3.065,10.702,0.256
0.0,1.0,5.584,20.537,0.071
0.0,1.0,9.194,33.129,0.029
0.0,1.0,11.876,43.529,0.017
0.062,0.875,2.522,8.593,0.273
0.0,1.0,8.337,30.781,0.034
0.0,1.0,8.093,29.102,0.037
0.0,1.0,10.56,37.169,0.023
0.0,1.0,8.663,31.99,0.032
0.0,1.0,9.877,35.487,0.026
0.0,1.0,10.349,37.324,0.023
0.0,1.0,8.31,30.195,0.035
0.0,1.0,11.546,40.925,0.019
0.25,0.429,2.451,8.657,0.338
0.219,0.632,3.732,13.183,0.217
0.0,1.0,6.226,22.367,0.06
0.0,1.0,10.722,37.684,0.023
0.0,1.0,10.181,35.433,0.025
0.0,1.0,10.448,37.207,0.023
0.25,0.5,1.944,6.954,0.407
0.0,1.0,8.146,30.26,0.035
0.062,0.905,5.701,20.318,0.092
0.0,1.0,10.376,36.14,0.024
0.0,1.0,4.895,17.974,0.09
0.0,1.0,9.582,35.332,0.026
0.312,0.412,2.064,7.32,0.411
0.0,1.0,6.821,24.869,0.05
0.0,1.0,5.025,18.385,0.086
0.0,1.0,10.054,36.3,0.025
0.0,1.0,5.66,20.821,0.069
0.0,1.0,8.714,32.184,0.031
0.0,1.0,10.472,36.855,0.024
0.0,1.0,11.271,39.642,0.02
0.0,1.0,6.405,23.433,0.056
0.25,0.652,4.227,14.997,0.202
0.0,1.0,9.468,35.041,0.027
0.0,1.0,11.762,41.967,0.018
0.0,1.0,11.825,41.435,0.019
0.094,0.824,2.822,9.842,0.247
0.0,1.0,7.484,27.381,0.042
0.0,1.0,9.085,32.755,0.03
0.0,1.0,11.85,41.8,0.018
0.094,0.786,3.057,11.045,0.22
0.0,1.0,7.622,28.56,0.04
0.0,1.0,11.375,41.044,0.019
0.0,1.0,8.523,31.744,0.032
0.0,1.0,12.064,44.094,0.017
0.0,1.0,6.399,23.356,0.056
0.0,1.0,13.021,46.599,0.015
0.0,1.0,9.188,34.035,0.028
0.0,1.0,5.463,19.882,0.075
0.188,0.727,2.936,10.536,0.263
0.0,1.0,10.551,36.973,0.023
0.0,1.0,5.726,20.851,0.069
