Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.044,0.947,5.426,13.497,0.133
0.022,0.97,8.461,23.634,0.056
0.044,0.931,9.196,24.712,0.059
0.111,0.857,5.761,15.259,0.137
0.2,0.743,3.5,9.332,0.27
0.0,1.0,8.225,23.344,0.05
0.2,0.719,5.945,15.348,0.165
0.067,0.912,6.208,16.238,0.112
0.178,0.784,6.293,16.427,0.148
0.0,1.0,6.781,19.272,0.07
0.111,0.815,4.742,13.131,0.166
0.0,1.0,9.091,25.895,0.041
0.0,1.0,8.167,22.657,0.052
0.0,1.0,10.354,28.284,0.034
0.133,0.818,3.148,8.401,0.275
0.0,1.0,7.608,21.774,0.057
0.0,1.0,6.814,19.422,0.069
0.0,1.0,9.839,27.307,0.037
0.0,1.0,9.16,25.316,0.042
0.022,0.958,5.761,15.276,0.107
0.022,0.958,6.149,16.405,0.097
0.044,0.929,6.291,16.852,0.1
0.044,0.939,4.611,11.593,0.163
0.2,0.763,2.851,7.591,0.324
0.178,0.724,5.001,13.017,0.186
0.178,0.724,4.648,12.387,0.197
0.0,1.0,10.062,27.479,0.036
0.089,0.875,3.572,9.778,0.223
0.067,0.923,5.001,12.792,0.152
0.044,0.913,6.313,16.653,0.102
0.0,1.0,10.101,28.058,0.035
0.067,0.9,5.974,15.239,0.121
0.133,0.838,5.475,13.723,0.16
0.067,0.889,4.863,13.113,0.15
0.0,1.0,7.752,22.341,0.054
0.0,1.0,9.557,26.814,0.038
0.067,0.857,7.136,19.276,0.091
0.044,0.938,6.027,15.906,0.108
0.0,1.0,8.443,23.796,0.048
0.022,0.969,5.708,14.343,0.116
0.133,0.8,3.692,9.627,0.238
0.289,0.606,3.067,8.036,0.337
0.089,0.895,8.642,23.106,0.079
0.044,0.917,5.644,16.155,0.109
0.044,0.931,4.731,12.432,0.151
0.089,0.879,5.982,15.539,0.126
0.0,1.0,9.487,26.789,0.039
0.0,1.0,6.606,18.648,0.074
0.022,0.967,5.975,17.321,0.092
0.0,1.0,8.375,23.388,0.049
0.0,1.0,10.705,28.944,0.033
0.0,1.0,8.094,22.222,0.054
0.044,0.938,6.407,16.692,0.101
0.0,1.0,8.208,22.945,0.051
0.089,0.826,5.588,14.319,0.139
0.022,0.963,4.775,12.916,0.138
0.0,1.0,6.213,16.258,0.09
0.0,1.0,9.583,26.266,0.04
0.044,0.92,5.855,15.987,0.109
0.0,1.0,8.361,23.574,0.049
0.022,0.952,5.903,17.027,0.094
0.111,0.808,3.866,10.732,0.209
0.0,1.0,9.683,27.398,0.037
0.0,1.0,11.868,33.463,0.025
0.0,1.0,8.654,23.836,0.047
0.044,0.944,5.69,14.423,0.122
0.044,0.913,5.249,14.194,0.128
0.111,0.762,5.156,14.158,0.151
0.0,1.0,8.146,22.891,0.051
0.022,0.962,6.279,17.357,0.09
0.156,0.788,3.207,8.4,0.28
0.0,1.0,6.63,19.057,0.072
0.0,1.0,10.649,28.581,0.034
0.222,0.677,4.15,11.603,0.229
0.0,1.0,8.666,24.43,0.046
0.044,0.935,5.731,14.382,0.122
0.067,0.906,5.148,12.845,0.15
0.133,0.824,6.136,16.119,0.136
0.0,1.0,9.405,25.935,0.041
0.022,0.966,5.741,14.639,0.113
0.0,1.0,10.0,27.146,0.037
0.067,0.9,7.409,20.867,0.083
0.022,0.963,4.887,12.831,0.138
0.0,1.0,8.215,22.586,0.052
0.022,0.971,8.647,23.781,0.055
0.0,1.0,10.585,28.192,0.034
0.022,0.964,7.887,21.977,0.062
0.022,0.968,8.004,21.94,0.062
0.356,0.636,2.598,6.509,0.412
0.0,1.0,9.77,26.687,0.038
0.089,0.879,6.733,17.559,0.109
0.0,1.0,9.154,25.06,0.043
0.044,0.938,5.446,13.622,0.132
0.0,1.0,8.074,22.402,0.053
0.0,1.0,7.981,21.932,0.055
0.0,1.0,9.694,27.136,0.038
0.0,1.0,9.632,26.67,0.039
0.067,0.893,3.976,10.566,0.195
0.0,1.0,9.864,26.665,0.038
0.089,0.846,8.126,22.656,0.082
