Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,8.198,22.225,0.053
0.0,1.0,9.061,24.43,0.045
0.0,1.0,10.303,27.953,0.035
0.0,1.0,8.824,24.661,0.045
0.0,1.0,9.478,25.457,0.042
0.0,1.0,8.811,24.961,0.044
0.0,1.0,9.532,25.413,0.042
0.098,0.857,6.335,16.509,0.12
0.0,1.0,8.537,23.055,0.05
0.0,1.0,9.284,25.027,0.043
0.0,1.0,8.407,23.259,0.05
0.024,0.967,7.784,20.879,0.067
0.0,1.0,9.54,26.706,0.039
0.0,1.0,8.527,23.116,0.05
0.0,1.0,9.625,25.867,0.04
0.0,1.0,9.348,24.991,0.043
0.0,1.0,9.104,25.044,0.043
0.0,1.0,8.582,23.343,0.049
0.0,1.0,8.344,22.815,0.051
0.0,1.0,9.255,24.973,0.043
0.0,1.0,9.896,26.744,0.038
0.0,1.0,9.976,27.201,0.037
0.0,1.0,9.583,25.47,0.041
0.0,1.0,10.078,27.856,0.036
0.0,1.0,9.365,26.771,0.039
0.0,1.0,9.237,25.25,0.042
0.098,0.871,5.292,15.83,0.132
0.0,1.0,8.549,23.361,0.049
0.024,0.967,6.772,18.118,0.084
0.22,0.7,6.218,16.484,0.162
0.0,1.0,9.454,25.442,0.042
0.0,1.0,6.356,16.786,0.086
0.0,1.0,7.64,22.804,0.053
0.0,1.0,9.008,24.405,0.045
0.0,1.0,8.397,23.652,0.048
0.0,1.0,7.737,21.193,0.058
0.0,1.0,8.76,24.413,0.046
0.0,1.0,9.02,25.314,0.043
0.0,1.0,7.988,22.748,0.052
0.0,1.0,10.542,28.385,0.034
0.0,1.0,8.38,22.543,0.052
0.0,1.0,9.098,26.55,0.04
0.0,1.0,9.534,25.389,0.042
0.0,1.0,9.913,26.809,0.038
0.024,0.968,6.5,19.462,0.078
0.024,0.957,5.291,13.83,0.124
0.0,1.0,10.067,27.276,0.037
0.049,0.929,9.377,26.033,0.057
0.049,0.9,6.008,17.1,0.102
0.122,0.833,6.742,18.084,0.117
0.073,0.885,6.832,18.223,0.099
0.0,1.0,9.391,25.182,0.042
0.0,1.0,10.074,27.019,0.037
0.0,1.0,8.69,23.699,0.048
0.0,1.0,6.198,18.133,0.078
0.0,1.0,8.283,23.179,0.05
0.024,0.962,8.037,21.739,0.064
0.0,1.0,4.344,12.111,0.146
0.0,1.0,8.804,24.818,0.044
0.122,0.839,4.678,12.578,0.176
0.0,1.0,11.082,30.474,0.03
0.0,1.0,8.831,24.131,0.046
0.0,1.0,8.227,22.779,0.051
0.049,0.929,4.496,12.078,0.16
0.0,1.0,9.65,25.939,0.04
0.0,1.0,8.869,24.278,0.046
0.122,0.833,6.373,18.629,0.116
0.049,0.895,7.052,21.272,0.077
0.0,1.0,9.095,24.78,0.044
0.0,1.0,5.08,13.855,0.118
0.049,0.875,5.146,13.49,0.137
0.0,1.0,10.685,28.791,0.033
0.024,0.96,7.894,22.096,0.063
0.0,1.0,10.741,29.269,0.032
0.073,0.88,7.577,20.829,0.085
0.0,1.0,9.626,25.963,0.04
0.171,0.741,5.964,15.468,0.154
0.0,1.0,10.267,29.001,0.033
0.073,0.9,7.536,21.387,0.083
0.0,1.0,10.16,27.401,0.036
0.0,1.0,9.461,25.304,0.042
0.0,1.0,7.517,21.234,0.059
0.0,1.0,8.971,25.172,0.043
0.0,1.0,9.943,26.748,0.038
0.122,0.8,6.449,17.758,0.12
0.0,1.0,8.112,23.445,0.05
0.0,1.0,9.328,24.961,0.043
0.024,0.95,10.628,29.607,0.04
0.293,0.613,3.143,8.16,0.333
0.0,1.0,6.109,15.6,0.095
0.0,1.0,9.139,25.734,0.042
0.0,1.0,8.019,22.311,0.054
0.0,1.0,9.221,24.974,0.043
0.0,1.0,5.282,14.189,0.113
0.0,1.0,8.696,24.331,0.046
0.024,0.955,8.672,24.489,0.054
0.0,1.0,9.974,27.527,0.036
0.122,0.868,5.557,15.521,0.14
0.0,1.0,9.301,26.079,0.04
0.0,1.0,8.087,22.319,0.053
