Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,12.766,32.857,0.025
0.0,1.0,7.739,20.663,0.06
0.0,1.0,12.045,30.57,0.029
0.0,1.0,12.984,34.071,0.024
0.0,1.0,14.358,36.433,0.021
0.0,1.0,12.888,33.687,0.024
0.0,1.0,13.142,33.744,0.024
0.0,1.0,7.95,21.722,0.056
0.0,1.0,12.36,33.427,0.025
0.0,1.0,12.048,31.391,0.028
0.0,1.0,14.218,37.282,0.02
0.0,1.0,12.536,32.434,0.026
0.0,1.0,13.344,34.335,0.023
0.0,1.0,13.23,35.881,0.022
0.0,1.0,14.269,37.215,0.02
0.048,0.943,7.154,16.897,0.097
0.0,1.0,9.79,24.608,0.043
0.0,1.0,12.63,33.354,0.025
0.0,1.0,13.75,37.532,0.02
0.0,1.0,11.429,28.432,0.033
0.0,1.0,14.316,38.303,0.019
0.0,1.0,13.444,35.089,0.023
0.0,1.0,12.377,32.199,0.027
0.0,1.0,13.205,35.689,0.022
0.024,0.978,7.558,18.497,0.079
0.0,1.0,13.86,35.913,0.022
0.0,1.0,11.582,30.88,0.029
0.119,0.878,5.712,14.787,0.144
0.0,1.0,14.383,36.783,0.02
0.0,1.0,13.227,34.984,0.023
0.0,1.0,7.048,19.24,0.069
0.0,1.0,11.493,30.115,0.03
0.0,1.0,13.022,34.56,0.023
0.143,0.838,6.968,15.783,0.137
0.024,0.978,10.127,25.083,0.049
0.0,1.0,14.034,36.143,0.021
0.167,0.829,7.341,17.305,0.134
0.024,0.975,8.545,20.792,0.066
0.19,0.733,5.414,14.071,0.176
0.0,1.0,11.691,30.493,0.029
0.0,1.0,12.577,32.67,0.026
0.0,1.0,10.338,27.14,0.037
0.0,1.0,11.457,29.59,0.031
0.024,0.971,9.683,24.198,0.052
0.143,0.846,6.814,15.167,0.143
0.0,1.0,13.0,32.385,0.026
0.0,1.0,10.759,28.974,0.033
0.0,1.0,13.938,36.242,0.021
0.0,1.0,16.047,41.583,0.016
0.0,1.0,14.754,39.076,0.018
0.0,1.0,14.96,39.315,0.018
0.0,1.0,7.588,19.775,0.065
0.0,1.0,14.159,37.913,0.02
0.0,1.0,14.538,38.162,0.019
0.0,1.0,13.865,36.177,0.021
0.0,1.0,9.221,25.53,0.042
0.0,1.0,12.332,32.085,0.027
0.048,0.913,6.029,15.262,0.114
0.31,0.606,3.221,6.934,0.363
0.0,1.0,14.206,37.465,0.02
0.0,1.0,15.824,40.602,0.017
0.0,1.0,13.879,35.864,0.022
0.0,1.0,14.058,35.856,0.021
0.0,1.0,12.868,33.657,0.024
0.0,1.0,14.834,38.764,0.019
0.071,0.909,6.143,12.979,0.143
0.143,0.812,6.098,12.912,0.167
0.0,1.0,7.832,19.672,0.064
0.071,0.9,8.973,23.785,0.071
0.024,0.957,5.912,15.034,0.109
0.0,1.0,13.594,35.299,0.022
0.0,1.0,15.362,39.689,0.018
0.024,0.966,9.225,22.865,0.057
0.0,1.0,12.225,32.346,0.026
0.0,1.0,14.183,37.577,0.02
0.0,1.0,12.797,32.807,0.025
0.0,1.0,14.315,37.248,0.02
0.071,0.906,7.451,18.13,0.097
0.119,0.821,7.202,16.224,0.125
0.0,1.0,14.785,38.428,0.019
0.0,1.0,9.985,25.196,0.041
0.0,1.0,15.473,40.441,0.017
0.0,1.0,8.304,20.818,0.058
0.0,1.0,9.268,23.491,0.047
0.0,1.0,11.21,30.253,0.03
0.0,1.0,15.211,38.937,0.018
0.048,0.946,7.593,20.205,0.079
0.0,1.0,8.496,23.047,0.05
0.0,1.0,13.322,35.654,0.022
0.048,0.953,7.557,19.74,0.081
0.0,1.0,15.792,42.375,0.016
0.0,1.0,8.408,23.071,0.05
0.119,0.839,5.63,13.549,0.156
0.119,0.8,5.704,14.632,0.145
0.0,1.0,9.324,23.007,0.048
0.0,1.0,15.229,39.916,0.018
0.0,1.0,16.783,42.89,0.015
0.0,1.0,14.522,38.991,0.019
0.0,1.0,12.439,32.619,0.026
0.0,1.0,8.098,21.201,0.057
