Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.175,0.762,2.539,8.516,0.311
0.298,0.541,1.864,6.5,0.441
0.018,0.964,5.399,18.235,0.089
0.018,0.971,7.328,25.576,0.052
0.088,0.839,4.562,15.39,0.14
0.0,1.0,6.611,22.746,0.057
0.193,0.633,1.683,5.751,0.441
0.175,0.688,4.742,16.314,0.16
0.088,0.875,4.395,14.646,0.148
0.211,0.478,3.333,11.687,0.242
0.281,0.515,1.292,4.283,0.551
0.228,0.629,3.639,12.522,0.23
0.07,0.826,4.66,15.663,0.131
0.0,1.0,6.425,22.695,0.058
0.158,0.667,2.257,7.676,0.338
0.105,0.769,2.532,8.552,0.287
0.018,0.95,7.368,25.49,0.052
0.07,0.84,4.498,15.034,0.137
0.0,1.0,4.427,15.353,0.113
0.07,0.826,2.81,9.831,0.24
0.0,1.0,10.136,35.351,0.025
0.0,1.0,9.112,31.934,0.031
0.018,0.947,3.924,13.792,0.14
0.088,0.853,3.657,12.727,0.18
0.105,0.684,3.72,12.456,0.188
0.053,0.857,4.254,14.813,0.137
0.035,0.92,3.018,10.367,0.212
0.018,0.966,4.06,13.995,0.136
0.193,0.45,2.312,7.931,0.341
0.088,0.75,3.776,12.809,0.177
0.035,0.931,3.835,13.566,0.15
0.123,0.708,1.973,6.713,0.368
0.0,1.0,4.998,17.258,0.093
0.07,0.8,3.233,10.817,0.21
0.0,1.0,5.03,17.549,0.091
0.0,1.0,5.839,20.921,0.068
0.263,0.516,2.384,8.291,0.353
0.053,0.885,5.195,18.057,0.104
0.0,1.0,6.636,23.375,0.055
0.07,0.879,3.978,13.562,0.159
0.018,0.968,6.277,21.851,0.068
0.158,0.625,3.587,12.499,0.208
0.07,0.867,4.461,14.761,0.14
0.035,0.935,6.683,23.099,0.067
0.035,0.935,5.79,19.761,0.085
0.0,1.0,7.121,24.901,0.049
0.123,0.72,1.898,6.578,0.378
0.14,0.68,3.251,11.562,0.222
0.0,1.0,7.48,26.094,0.045
0.0,1.0,8.472,29.307,0.036
0.123,0.774,4.292,14.841,0.16
0.07,0.826,6.609,22.975,0.08
0.0,1.0,6.453,22.635,0.058
0.0,1.0,7.483,26.233,0.045
0.0,1.0,7.47,25.99,0.045
0.0,1.0,5.736,20.239,0.071
0.088,0.872,6.774,23.517,0.083
0.088,0.773,2.02,6.869,0.349
0.035,0.926,5.271,17.85,0.098
0.035,0.909,5.032,17.295,0.104
0.053,0.875,4.466,14.771,0.134
0.018,0.944,8.097,28.368,0.044
0.0,1.0,5.739,20.63,0.07
0.018,0.971,3.838,13.138,0.148
0.0,1.0,7.113,24.85,0.049
0.0,1.0,7.881,27.346,0.041
0.018,0.963,5.888,20.306,0.076
0.0,1.0,3.565,12.359,0.157
0.175,0.524,3.242,11.276,0.238
0.0,1.0,6.413,22.778,0.058
0.07,0.84,3.53,11.805,0.188
0.0,1.0,4.405,15.516,0.112
0.0,1.0,6.382,22.821,0.058
0.0,1.0,9.062,31.632,0.031
0.018,0.962,5.063,17.224,0.098
0.053,0.912,5.412,18.352,0.1
0.0,1.0,8.991,31.093,0.032
0.053,0.889,5.352,18.382,0.101
0.0,1.0,8.611,30.341,0.034
0.0,1.0,8.205,28.917,0.037
0.0,1.0,4.97,17.143,0.094
0.0,1.0,5.428,19.037,0.079
0.053,0.893,2.691,9.291,0.248
0.053,0.87,4.016,13.618,0.152
0.0,1.0,7.677,26.93,0.042
0.0,1.0,4.453,15.213,0.113
0.035,0.929,4.373,15.672,0.123
0.0,1.0,8.418,29.464,0.036
0.0,1.0,5.438,19.21,0.078
0.035,0.9,4.493,15.226,0.124
0.105,0.714,4.528,15.038,0.149
0.018,0.955,4.869,16.657,0.104
0.105,0.824,5.071,17.319,0.127
0.0,1.0,7.91,27.373,0.041
0.0,1.0,4.53,15.727,0.108
0.053,0.88,4.487,14.818,0.134
0.0,1.0,5.544,19.54,0.076
0.053,0.889,6.815,23.512,0.071
0.0,1.0,5.109,17.895,0.088
0.0,1.0,5.359,18.719,0.081
