Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,8.878,24.466,0.045
0.0,1.0,14.329,39.912,0.018
0.0,1.0,10.746,28.233,0.034
0.135,0.881,5.457,12.937,0.169
0.0,1.0,10.752,28.877,0.033
0.0,1.0,10.702,27.602,0.035
0.0,1.0,9.963,26.58,0.038
0.0,1.0,9.627,25.938,0.04
0.0,1.0,10.016,27.069,0.037
0.0,1.0,8.922,23.162,0.049
0.0,1.0,10.229,26.793,0.037
0.0,1.0,12.61,33.989,0.024
0.0,1.0,9.429,25.485,0.042
0.0,1.0,9.775,26.332,0.039
0.054,0.944,5.518,12.692,0.144
0.0,1.0,8.674,23.218,0.049
0.0,1.0,7.884,21.562,0.056
0.054,0.946,8.613,22.238,0.07
0.0,1.0,7.928,21.822,0.055
0.0,1.0,10.503,28.169,0.034
0.0,1.0,10.2,26.374,0.038
0.0,1.0,10.356,26.549,0.038
0.0,1.0,14.404,38.659,0.019
0.0,1.0,14.655,39.374,0.018
0.054,0.955,5.555,12.802,0.143
0.0,1.0,7.569,20.644,0.061
0.162,0.867,3.596,10.034,0.243
0.0,1.0,12.405,34.428,0.024
0.0,1.0,9.256,24.868,0.043
0.0,1.0,9.647,26.356,0.039
0.0,1.0,10.377,28.313,0.034
0.0,1.0,11.644,29.97,0.03
0.0,1.0,10.441,29.126,0.033
0.0,1.0,9.191,24.031,0.046
0.0,1.0,10.659,28.646,0.033
0.0,1.0,7.573,21.034,0.059
0.0,1.0,10.883,28.088,0.034
0.0,1.0,9.224,24.696,0.044
0.0,1.0,10.792,27.973,0.034
0.0,1.0,9.509,25.231,0.042
0.0,1.0,10.31,28.369,0.034
0.0,1.0,14.254,39.553,0.018
0.0,1.0,13.372,35.489,0.022
0.0,1.0,11.581,29.797,0.031
0.162,0.86,5.644,13.233,0.173
0.0,1.0,10.111,27.037,0.037
0.0,1.0,14.605,40.63,0.017
0.0,1.0,10.873,29.037,0.033
0.0,1.0,6.398,17.592,0.08
0.0,1.0,10.135,26.956,0.037
0.0,1.0,9.998,26.217,0.039
0.0,1.0,10.456,27.781,0.035
0.0,1.0,13.019,35.059,0.023
0.0,1.0,10.797,28.392,0.034
0.0,1.0,14.301,36.845,0.02
0.0,1.0,10.335,28.596,0.034
0.0,1.0,10.701,28.173,0.034
0.027,0.957,5.048,12.065,0.147
0.0,1.0,14.873,39.981,0.018
0.0,1.0,15.104,42.114,0.016
0.0,1.0,13.201,33.637,0.024
0.0,1.0,15.317,41.291,0.017
0.595,0.312,0.449,1.164,0.831
0.0,1.0,11.458,32.169,0.027
0.0,1.0,14.692,39.86,0.018
0.162,0.786,4.509,10.929,0.213
0.108,0.889,5.718,13.456,0.153
0.0,1.0,11.064,28.871,0.033
0.0,1.0,9.382,25.196,0.042
0.108,0.84,4.147,10.426,0.208
0.0,1.0,13.772,38.086,0.02
0.0,1.0,11.887,31.576,0.028
0.0,1.0,10.548,27.754,0.035
0.135,0.833,5.689,14.048,0.156
0.0,1.0,10.017,26.684,0.038
0.054,0.946,3.659,9.319,0.217
0.0,1.0,15.318,42.728,0.016
0.0,1.0,11.549,30.163,0.03
0.0,1.0,11.022,29.25,0.032
0.027,0.967,2.079,5.286,0.364
0.0,1.0,15.265,41.139,0.017
0.0,1.0,13.884,38.446,0.019
0.081,0.919,7.332,18.629,0.098
0.0,1.0,9.988,25.751,0.04
0.162,0.818,6.106,14.655,0.157
0.135,0.884,8.969,23.339,0.093
0.0,1.0,14.035,37.809,0.02
0.0,1.0,11.706,30.557,0.029
0.0,1.0,14.824,39.936,0.018
0.0,1.0,8.419,22.79,0.051
0.0,1.0,14.167,39.462,0.018
0.0,1.0,11.015,29.055,0.032
0.0,1.0,9.898,27.123,0.037
0.0,1.0,4.158,11.217,0.16
0.0,1.0,10.916,28.672,0.033
0.0,1.0,12.184,31.85,0.027
0.0,1.0,8.977,24.247,0.046
0.0,1.0,8.106,22.719,0.052
0.0,1.0,9.787,25.712,0.04
0.0,1.0,10.835,28.633,0.033
