Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.071,0.86,3.703,15.464,0.148
0.153,0.729,3.222,13.397,0.206
0.094,0.81,2.192,9.295,0.29
0.012,0.975,6.006,25.321,0.057
0.259,0.421,1.113,4.683,0.557
0.341,0.256,0.517,2.139,0.725
0.071,0.812,4.832,20.317,0.102
0.0,1.0,11.362,48.069,0.016
0.0,1.0,4.104,17.349,0.104
0.0,1.0,5.264,22.319,0.067
0.106,0.75,1.871,7.897,0.345
0.0,1.0,10.866,46.039,0.017
0.094,0.724,4.178,17.58,0.133
0.106,0.7,2.958,12.307,0.211
0.153,0.683,2.808,11.596,0.241
0.0,1.0,3.109,13.195,0.161
0.118,0.756,4.286,17.975,0.136
0.0,1.0,6.611,28.031,0.044
0.0,1.0,4.678,19.855,0.083
0.0,1.0,8.195,34.742,0.03
0.106,0.64,3.21,13.46,0.19
0.0,1.0,5.385,22.718,0.065
0.0,1.0,7.341,31.052,0.037
0.0,1.0,6.654,28.032,0.044
0.0,1.0,11.184,47.314,0.016
0.0,1.0,12.045,50.963,0.014
0.0,1.0,11.244,47.596,0.016
0.035,0.893,3.704,15.77,0.134
0.0,1.0,11.291,47.84,0.016
0.0,1.0,7.514,31.876,0.035
0.0,1.0,5.916,24.961,0.055
0.0,1.0,12.147,51.393,0.014
0.0,1.0,8.091,34.216,0.03
0.094,0.714,3.873,16.266,0.146
0.294,0.405,1.147,4.861,0.559
0.176,0.444,1.32,5.495,0.482
0.0,1.0,7.083,29.944,0.039
0.0,1.0,5.127,21.74,0.07
0.0,1.0,11.22,47.499,0.016
0.0,1.0,11.753,49.796,0.015
0.0,1.0,3.923,16.671,0.111
0.012,0.97,4.52,18.996,0.093
0.0,1.0,7.761,32.925,0.033
0.0,1.0,4.344,18.398,0.094
0.129,0.732,2.793,11.536,0.235
0.0,1.0,5.472,23.128,0.063
0.094,0.733,3.933,16.473,0.144
0.0,1.0,4.15,17.497,0.102
0.0,1.0,10.858,45.878,0.017
0.0,1.0,12.421,52.602,0.013
0.0,1.0,10.865,45.928,0.017
0.0,1.0,5.979,25.18,0.054
0.165,0.517,2.022,8.541,0.339
0.0,1.0,12.455,52.743,0.013
0.0,1.0,10.101,42.754,0.02
0.0,1.0,5.385,22.758,0.065
0.0,1.0,5.547,23.463,0.061
0.047,0.818,4.348,18.439,0.11
0.0,1.0,13.084,55.392,0.012
0.0,1.0,10.943,46.32,0.017
0.0,1.0,9.99,42.385,0.02
0.0,1.0,6.544,27.622,0.045
0.0,1.0,11.564,48.921,0.015
0.0,1.0,4.695,19.917,0.082
0.0,1.0,6.716,28.491,0.043
0.0,1.0,4.791,20.207,0.08
0.0,1.0,11.389,48.19,0.016
0.0,1.0,10.87,46.091,0.017
0.059,0.815,2.876,12.211,0.2
0.0,1.0,6.621,28.0,0.044
0.0,1.0,7.976,33.704,0.031
0.0,1.0,9.063,38.345,0.025
0.0,1.0,7.571,32.068,0.034
0.0,1.0,7.557,32.024,0.035
0.0,1.0,9.309,39.328,0.023
0.129,0.656,2.741,11.462,0.238
0.0,1.0,11.82,49.98,0.015
0.0,1.0,8.936,37.72,0.025
0.0,1.0,5.137,21.714,0.07
0.0,1.0,5.531,23.431,0.062
0.024,0.913,3.232,13.601,0.161
0.0,1.0,13.591,57.474,0.011
0.0,1.0,4.52,19.212,0.088
0.0,1.0,9.529,40.323,0.022
0.0,1.0,7.739,32.836,0.033
0.0,1.0,9.922,41.945,0.021
0.0,1.0,6.248,26.442,0.049
0.0,1.0,9.935,41.957,0.021
0.0,1.0,6.422,27.045,0.047
0.0,1.0,11.342,47.977,0.016
0.0,1.0,5.964,25.222,0.054
0.188,0.636,1.434,6.069,0.458
0.0,1.0,8.688,36.788,0.027
0.0,1.0,8.936,37.835,0.025
0.0,1.0,11.204,47.422,0.016
0.0,1.0,11.856,50.25,0.015
0.0,1.0,11.245,47.568,0.016
0.0,1.0,5.009,21.102,0.074
0.0,1.0,5.676,23.936,0.059
0.0,1.0,4.564,19.369,0.086
