Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.298,0.65,1.534,3.404,0.55
0.128,0.87,7.397,15.833,0.13
0.085,0.879,2.13,4.696,0.394
0.298,0.708,2.205,5.472,0.44
0.085,0.871,8.307,18.478,0.097
0.0,1.0,6.737,15.151,0.096
0.128,0.829,3.195,7.367,0.293
0.106,0.833,7.156,14.96,0.131
0.085,0.895,3.368,8.178,0.257
0.383,0.333,1.602,3.631,0.565
0.106,0.884,8.062,17.826,0.108
0.255,0.586,1.732,4.219,0.495
0.043,0.939,6.436,14.48,0.117
0.085,0.879,2.253,4.922,0.38
0.0,1.0,12.852,30.716,0.028
0.085,0.9,2.982,7.211,0.289
0.0,1.0,5.823,14.964,0.102
0.064,0.936,7.416,15.916,0.108
0.34,0.667,2.098,5.328,0.466
0.106,0.872,7.355,15.546,0.125
0.128,0.857,7.8,17.644,0.117
0.085,0.871,7.216,15.109,0.122
0.064,0.921,7.652,16.471,0.104
0.085,0.875,8.245,18.468,0.097
0.021,0.962,5.495,12.647,0.134
0.0,1.0,11.561,28.296,0.033
0.043,0.929,8.111,17.968,0.086
0.043,0.944,7.192,15.146,0.108
0.106,0.773,8.434,19.76,0.098
0.021,0.96,7.242,15.961,0.094
0.234,0.667,2.399,5.896,0.397
0.0,1.0,11.23,27.531,0.035
0.085,0.875,7.546,16.242,0.113
0.106,0.839,4.985,12.139,0.173
0.213,0.643,4.386,10.06,0.245
0.043,0.926,6.495,14.153,0.119
0.106,0.815,3.176,7.18,0.291
0.0,1.0,5.378,13.357,0.12
0.0,1.0,5.301,13.479,0.12
0.128,0.786,4.046,9.04,0.239
0.043,0.956,7.689,17.503,0.09
0.021,0.96,3.416,8.417,0.229
0.043,0.926,6.996,15.369,0.107
0.617,0.121,1.522,3.585,0.653
0.0,1.0,13.474,31.72,0.026
0.213,0.643,3.016,7.22,0.331
0.085,0.833,5.807,13.014,0.149
0.0,1.0,9.935,24.007,0.045
0.085,0.833,7.349,15.817,0.116
0.106,0.8,4.915,10.819,0.191
0.064,0.893,7.19,15.123,0.115
0.17,0.733,3.479,8.138,0.283
0.0,1.0,11.451,28.024,0.034
0.128,0.793,7.451,15.917,0.13
0.17,0.771,8.374,19.734,0.119
0.085,0.862,7.986,17.903,0.101
0.021,0.97,3.847,9.324,0.202
0.0,1.0,13.206,31.015,0.028
0.064,0.9,6.773,14.895,0.119
0.085,0.909,7.207,15.379,0.12
0.0,1.0,6.214,15.207,0.098
0.0,1.0,6.717,15.45,0.093
0.085,0.84,5.477,12.275,0.16
0.064,0.864,5.002,11.882,0.162
0.043,0.931,7.201,15.602,0.104
0.362,0.485,3.371,8.167,0.349
0.0,1.0,12.723,30.604,0.028
0.0,1.0,7.173,18.04,0.075
0.043,0.929,7.105,15.482,0.106
0.0,1.0,10.671,26.441,0.038
0.064,0.885,7.245,15.203,0.114
0.0,1.0,11.702,27.824,0.034
0.0,1.0,9.34,22.249,0.051
0.0,1.0,11.078,27.267,0.036
0.234,0.607,3.566,8.504,0.295
0.0,1.0,10.238,24.382,0.043
0.0,1.0,11.489,27.586,0.034
0.0,1.0,13.898,33.124,0.024
0.149,0.708,4.647,10.797,0.209
0.0,1.0,10.442,24.731,0.042
0.021,0.969,7.256,15.678,0.096
0.0,1.0,13.07,30.869,0.028
0.0,1.0,5.207,12.023,0.137
0.0,1.0,10.986,27.22,0.036
0.0,1.0,13.112,31.016,0.028
0.043,0.9,7.776,17.119,0.092
0.0,1.0,6.296,13.678,0.111
0.085,0.886,7.708,17.496,0.104
0.085,0.862,6.363,13.566,0.14
0.106,0.773,4.079,9.525,0.223
0.106,0.762,5.691,13.156,0.155
0.0,1.0,12.974,30.948,0.028
0.021,0.97,6.538,14.39,0.11
0.213,0.6,2.649,5.999,0.374
0.0,1.0,11.712,28.597,0.032
0.085,0.886,3.53,9.008,0.236
0.043,0.917,6.332,14.292,0.119
0.0,1.0,8.57,21.819,0.054
0.128,0.7,7.805,18.36,0.113
0.0,1.0,9.025,22.267,0.051
