Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,9.673,27.999,0.036
0.207,0.739,3.3,8.854,0.286
0.103,0.864,2.766,6.636,0.317
0.379,0.542,2.05,4.993,0.49
0.034,0.957,4.918,13.56,0.134
0.0,1.0,9.33,27.446,0.038
0.034,0.975,8.16,22.114,0.065
0.0,1.0,13.249,39.259,0.019
0.0,1.0,4.908,13.632,0.122
0.276,0.652,2.534,6.213,0.396
0.0,1.0,14.905,43.69,0.015
0.0,1.0,11.394,33.168,0.026
0.0,1.0,9.12,27.46,0.038
0.069,0.929,4.396,12.866,0.159
0.034,0.958,4.11,11.498,0.168
0.138,0.871,4.765,13.58,0.17
0.0,1.0,5.332,14.987,0.106
0.069,0.905,4.048,10.631,0.193
0.0,1.0,12.389,35.111,0.023
0.103,0.842,2.572,6.667,0.325
0.241,0.696,3.065,7.365,0.335
0.207,0.75,3.261,8.2,0.3
0.0,1.0,8.588,23.347,0.049
0.207,0.647,2.762,6.762,0.349
0.0,1.0,10.845,33.491,0.026
0.0,1.0,8.113,22.531,0.053
0.0,1.0,18.212,52.039,0.011
0.241,0.611,3.09,7.729,0.327
0.0,1.0,9.548,28.644,0.035
0.0,1.0,10.093,31.289,0.03
0.0,1.0,10.3,29.946,0.032
0.0,1.0,8.969,25.391,0.043
0.207,0.793,4.813,13.888,0.189
0.0,1.0,13.598,40.377,0.018
0.138,0.818,4.14,11.769,0.199
0.0,1.0,9.482,29.101,0.034
0.0,1.0,12.327,37.148,0.021
0.0,1.0,11.152,34.625,0.025
0.0,1.0,9.737,28.731,0.035
0.0,1.0,10.339,29.848,0.032
0.31,0.625,2.467,6.765,0.397
0.0,1.0,9.243,27.776,0.037
0.0,1.0,9.553,27.617,0.037
0.069,0.926,3.001,7.301,0.281
0.0,1.0,6.173,18.463,0.077
0.034,0.962,4.131,11.888,0.163
0.0,1.0,8.734,25.881,0.042
0.0,1.0,17.381,49.449,0.012
0.0,1.0,11.836,34.69,0.024
0.276,0.619,2.931,7.024,0.359
0.0,1.0,8.663,24.709,0.045
0.0,1.0,6.831,20.025,0.066
0.0,1.0,8.805,25.661,0.042
0.138,0.852,4.441,12.78,0.182
0.034,0.963,8.662,23.966,0.058
0.0,1.0,12.813,35.836,0.022
0.0,1.0,13.832,40.633,0.018
0.0,1.0,11.447,34.967,0.024
0.103,0.885,4.793,13.313,0.161
0.0,1.0,10.356,29.75,0.032
0.069,0.913,4.343,12.766,0.161
0.0,1.0,6.707,20.026,0.067
0.0,1.0,4.61,12.822,0.134
0.0,1.0,8.873,24.869,0.044
0.0,1.0,11.838,36.187,0.023
0.0,1.0,9.837,27.402,0.037
0.138,0.81,3.151,8.226,0.28
0.0,1.0,12.804,35.877,0.022
0.172,0.762,2.698,6.353,0.35
0.207,0.6,2.645,6.801,0.353
0.0,1.0,18.49,54.628,0.01
0.0,1.0,13.28,39.999,0.019
0.0,1.0,10.724,30.081,0.031
0.0,1.0,11.52,35.374,0.024
0.0,1.0,7.221,20.598,0.062
0.0,1.0,9.061,24.7,0.044
0.0,1.0,4.351,12.53,0.14
0.0,1.0,8.611,25.451,0.043
0.207,0.727,2.725,6.432,0.358
0.0,1.0,17.551,49.77,0.012
0.069,0.9,3.739,9.587,0.216
0.0,1.0,8.495,25.881,0.043
0.0,1.0,11.284,32.337,0.027
0.207,0.647,2.417,6.109,0.381
0.0,1.0,13.057,39.029,0.019
0.0,1.0,5.978,17.836,0.081
0.103,0.87,4.172,11.769,0.187
0.0,1.0,8.217,23.211,0.05
0.0,1.0,10.604,30.261,0.031
0.0,1.0,10.827,30.057,0.031
0.0,1.0,9.086,27.716,0.037
0.034,0.958,7.059,19.789,0.078
0.0,1.0,10.778,33.118,0.027
0.0,1.0,12.77,35.651,0.022
0.31,0.526,2.934,7.478,0.36
0.0,1.0,10.311,29.519,0.032
0.0,1.0,11.03,34.12,0.026
0.0,1.0,10.088,31.083,0.03
0.0,1.0,13.138,36.899,0.021
0.0,1.0,9.058,25.603,0.042
