Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,10.559,28.762,0.033
0.021,0.974,7.976,18.414,0.077
0.064,0.897,5.287,14.597,0.131
0.0,1.0,14.423,40.309,0.018
0.0,1.0,6.244,16.907,0.085
0.043,0.935,6.297,14.596,0.117
0.149,0.811,4.938,11.01,0.202
0.0,1.0,12.972,37.962,0.02
0.0,1.0,9.511,29.307,0.034
0.0,1.0,13.527,36.319,0.021
0.0,1.0,11.561,32.359,0.027
0.021,0.966,8.333,18.8,0.074
0.0,1.0,13.38,35.715,0.022
0.043,0.941,6.824,14.981,0.111
0.0,1.0,13.624,35.735,0.022
0.0,1.0,9.526,22.984,0.048
0.0,1.0,7.331,21.325,0.059
0.0,1.0,9.953,26.344,0.039
0.106,0.792,3.839,9.02,0.236
0.0,1.0,10.267,27.488,0.036
0.043,0.913,7.141,20.197,0.078
0.0,1.0,7.448,21.504,0.058
0.021,0.967,5.321,13.645,0.125
0.0,1.0,7.079,21.481,0.059
0.0,1.0,8.32,23.366,0.049
0.064,0.919,7.722,16.357,0.104
0.0,1.0,12.339,34.228,0.024
0.0,1.0,5.457,15.006,0.104
0.0,1.0,14.044,42.891,0.016
0.128,0.829,6.407,16.284,0.131
0.043,0.946,8.816,20.986,0.071
0.106,0.848,7.403,17.905,0.11
0.043,0.931,8.727,20.326,0.073
0.0,1.0,11.027,29.045,0.032
0.021,0.96,8.017,16.945,0.085
0.0,1.0,13.073,35.811,0.022
0.106,0.773,7.207,19.312,0.103
0.0,1.0,11.319,29.306,0.032
0.0,1.0,13.866,39.812,0.018
0.0,1.0,11.537,32.322,0.027
0.0,1.0,10.163,24.195,0.044
0.0,1.0,14.266,42.638,0.016
0.0,1.0,10.314,30.223,0.031
0.021,0.971,8.666,18.956,0.073
0.021,0.952,7.667,17.814,0.081
0.085,0.897,11.043,27.32,0.064
0.064,0.885,8.062,20.196,0.083
0.0,1.0,9.777,24.325,0.044
0.043,0.931,8.117,18.285,0.084
0.085,0.909,6.357,13.916,0.137
0.0,1.0,12.162,32.367,0.026
0.043,0.933,8.875,20.361,0.073
0.128,0.857,6.679,15.64,0.135
0.0,1.0,10.363,28.03,0.035
0.064,0.897,4.471,11.24,0.176
0.043,0.938,9.024,22.182,0.066
0.043,0.944,9.642,23.696,0.06
0.021,0.962,7.47,16.648,0.089
0.064,0.864,5.295,13.649,0.139
0.0,1.0,14.939,40.355,0.017
0.064,0.903,6.079,16.837,0.108
0.17,0.814,4.225,10.717,0.223
0.064,0.897,10.404,28.369,0.056
0.0,1.0,8.707,19.771,0.062
0.085,0.84,5.248,14.05,0.143
0.043,0.926,9.338,24.035,0.06
0.0,1.0,13.98,36.388,0.021
0.0,1.0,10.731,30.202,0.031
0.0,1.0,10.007,25.116,0.042
0.0,1.0,14.269,40.927,0.017
0.085,0.852,5.055,13.425,0.151
0.0,1.0,10.252,27.72,0.036
0.0,1.0,13.362,34.726,0.023
0.021,0.969,8.73,20.038,0.067
0.0,1.0,13.828,35.694,0.022
0.0,1.0,12.71,36.705,0.022
0.043,0.944,9.981,23.379,0.06
0.0,1.0,12.471,35.415,0.023
0.021,0.962,7.943,20.632,0.067
0.0,1.0,11.619,31.046,0.029
0.0,1.0,10.574,29.023,0.033
0.0,1.0,15.896,46.668,0.014
0.043,0.935,9.073,21.452,0.068
0.0,1.0,10.827,28.575,0.033
0.021,0.952,7.344,15.701,0.096
0.043,0.944,7.675,20.042,0.077
0.0,1.0,7.558,21.458,0.058
0.085,0.84,6.523,14.609,0.129
0.0,1.0,10.444,28.797,0.033
0.0,1.0,13.273,36.368,0.021
0.0,1.0,10.428,30.143,0.031
0.064,0.897,5.006,14.243,0.136
0.106,0.808,7.399,16.724,0.117
0.043,0.953,6.485,16.053,0.104
0.0,1.0,9.385,26.82,0.039
0.0,1.0,15.752,45.995,0.014
0.0,1.0,12.065,31.659,0.027
0.128,0.7,4.041,10.485,0.215
0.0,1.0,11.408,33.651,0.026
0.0,1.0,14.256,43.031,0.016
