Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,22.001,59.189,0.008
0.0,1.0,9.346,23.931,0.046
0.0,1.0,10.193,27.785,0.036
0.0,1.0,7.065,16.219,0.086
0.0,1.0,9.139,24.513,0.045
0.0,1.0,12.223,32.375,0.026
0.0,1.0,22.297,58.224,0.008
0.0,1.0,12.265,32.264,0.027
0.0,1.0,8.055,20.659,0.059
0.0,1.0,10.988,27.303,0.036
0.0,1.0,11.401,28.515,0.033
0.0,1.0,11.299,28.842,0.032
0.0,1.0,18.994,47.437,0.012
0.0,1.0,11.855,30.34,0.03
0.0,1.0,12.684,33.381,0.025
0.0,1.0,13.136,32.608,0.025
0.0,1.0,12.84,35.213,0.023
0.0,1.0,16.129,42.22,0.016
0.036,0.941,9.2,23.916,0.058
0.0,1.0,10.14,28.15,0.035
0.0,1.0,20.643,55.727,0.009
0.0,1.0,12.773,33.091,0.025
0.0,1.0,17.182,42.702,0.015
0.0,1.0,9.146,23.235,0.048
0.018,0.975,6.522,15.025,0.104
0.0,1.0,6.227,13.778,0.11
0.109,0.889,5.578,12.006,0.17
0.0,1.0,14.046,36.438,0.021
0.0,1.0,17.014,42.614,0.015
0.0,1.0,20.128,51.021,0.011
0.0,1.0,21.75,58.344,0.009
0.0,1.0,9.059,24.067,0.046
0.0,1.0,22.221,57.331,0.009
0.0,1.0,12.005,30.546,0.029
0.018,0.974,9.442,22.96,0.054
0.0,1.0,10.097,27.789,0.036
0.018,0.976,8.952,23.754,0.053
0.0,1.0,8.708,23.554,0.048
0.0,1.0,10.415,25.255,0.041
0.0,1.0,11.689,29.851,0.03
0.0,1.0,9.984,27.552,0.036
0.0,1.0,13.567,33.602,0.024
0.0,1.0,12.471,32.797,0.026
0.0,1.0,15.778,41.521,0.016
0.0,1.0,22.391,58.944,0.008
0.0,1.0,16.495,42.592,0.016
0.0,1.0,11.244,30.226,0.03
0.018,0.963,11.106,30.753,0.036
0.0,1.0,9.601,25.34,0.042
0.0,1.0,10.833,27.943,0.035
0.0,1.0,19.59,49.32,0.012
0.0,1.0,16.027,40.336,0.017
0.0,1.0,6.297,15.276,0.097
0.0,1.0,16.169,40.262,0.017
0.0,1.0,9.013,24.706,0.044
0.0,1.0,23.241,62.184,0.007
0.0,1.0,21.757,58.633,0.008
0.0,1.0,23.517,61.003,0.008
0.0,1.0,16.075,41.251,0.016
0.0,1.0,9.216,24.797,0.044
0.0,1.0,17.572,43.845,0.014
0.0,1.0,12.402,32.479,0.026
0.0,1.0,11.792,32.578,0.027
0.0,1.0,9.199,25.33,0.042
0.0,1.0,19.1,50.58,0.011
0.0,1.0,17.096,45.287,0.014
0.0,1.0,10.236,27.396,0.036
0.0,1.0,20.948,52.897,0.01
0.0,1.0,11.348,30.695,0.029
0.0,1.0,21.436,54.722,0.009
0.018,0.964,7.301,16.834,0.087
0.0,1.0,10.897,30.116,0.031
0.055,0.897,6.182,13.522,0.131
0.018,0.966,12.265,32.67,0.032
0.0,1.0,11.528,28.737,0.032
0.0,1.0,10.706,29.874,0.031
0.018,0.969,8.233,19.596,0.07
0.0,1.0,13.852,36.785,0.021
0.0,1.0,12.493,32.647,0.026
0.0,1.0,24.413,63.547,0.007
0.0,1.0,20.296,55.147,0.01
0.0,1.0,23.055,60.768,0.008
0.0,1.0,8.844,24.247,0.046
0.0,1.0,11.453,30.364,0.03
0.0,1.0,15.937,39.495,0.018
0.0,1.0,22.976,60.568,0.008
0.0,1.0,12.114,30.821,0.029
0.0,1.0,23.791,63.623,0.007
0.091,0.878,7.388,17.146,0.109
0.0,1.0,10.936,28.19,0.034
0.0,1.0,12.401,31.551,0.027
0.0,1.0,8.201,21.705,0.055
0.0,1.0,13.449,33.314,0.024
0.0,1.0,11.273,28.447,0.033
0.0,1.0,13.794,36.031,0.021
0.055,0.917,6.112,13.73,0.129
0.0,1.0,23.705,61.997,0.007
0.0,1.0,20.912,56.938,0.009
0.0,1.0,9.477,24.289,0.045
0.0,1.0,16.899,45.009,0.014
