Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.15,0.85,8.18,15.297,0.139
0.0,1.0,14.021,37.832,0.02
0.15,0.864,6.069,11.754,0.184
0.0,1.0,16.541,42.809,0.015
0.0,1.0,13.459,32.565,0.025
0.2,0.864,7.978,15.184,0.158
0.05,0.941,6.315,13.384,0.13
0.05,0.943,6.237,13.982,0.125
0.175,0.833,8.557,15.972,0.142
0.375,0.674,4.047,8.467,0.333
0.05,0.926,7.552,14.499,0.115
0.0,1.0,12.385,30.129,0.029
0.175,0.788,4.475,8.66,0.256
0.0,1.0,13.412,34.218,0.023
0.0,1.0,17.357,42.854,0.015
0.0,1.0,14.6,38.49,0.019
0.0,1.0,16.455,45.649,0.014
0.0,1.0,14.433,38.321,0.019
0.0,1.0,17.062,44.999,0.014
0.05,0.926,7.289,14.81,0.113
0.1,0.882,6.426,13.166,0.149
0.0,1.0,16.989,43.62,0.015
0.05,0.917,5.25,10.777,0.17
0.0,1.0,16.186,44.509,0.015
0.0,1.0,16.484,46.503,0.014
0.15,0.829,6.707,12.891,0.167
0.075,0.9,6.917,14.131,0.129
0.1,0.909,8.387,16.343,0.115
0.0,1.0,11.077,27.51,0.035
0.0,1.0,11.376,31.338,0.029
0.05,0.929,6.421,13.294,0.131
0.075,0.87,7.982,16.247,0.108
0.0,1.0,16.357,42.043,0.016
0.0,1.0,12.365,31.353,0.028
0.0,1.0,14.963,36.891,0.02
0.0,1.0,16.0,39.159,0.018
0.025,0.963,7.838,15.138,0.1
0.0,1.0,13.569,37.354,0.02
0.075,0.909,8.814,18.044,0.095
0.0,1.0,14.54,37.521,0.02
0.075,0.921,5.464,11.424,0.167
0.0,1.0,15.45,41.622,0.016
0.0,1.0,13.146,35.581,0.022
0.0,1.0,14.345,38.292,0.019
0.0,1.0,15.397,38.178,0.019
0.0,1.0,13.469,33.174,0.025
0.0,1.0,18.651,47.0,0.013
0.05,0.935,8.633,16.787,0.094
0.05,0.929,5.776,11.838,0.151
0.05,0.929,6.202,13.152,0.133
0.0,1.0,16.501,44.131,0.015
0.05,0.913,7.628,15.859,0.103
0.0,1.0,9.33,24.684,0.044
0.0,1.0,11.698,27.332,0.035
0.0,1.0,15.935,43.56,0.015
0.0,1.0,8.972,24.835,0.044
0.0,1.0,13.487,31.378,0.027
0.0,1.0,12.729,33.565,0.025
0.0,1.0,16.536,45.728,0.014
0.0,1.0,15.829,43.426,0.015
0.0,1.0,15.807,44.152,0.015
0.0,1.0,16.802,45.915,0.014
0.0,1.0,14.112,32.986,0.024
0.0,1.0,12.053,32.119,0.027
0.0,1.0,12.74,33.973,0.024
0.0,1.0,12.857,34.1,0.024
0.0,1.0,15.307,39.462,0.018
0.0,1.0,16.184,44.692,0.014
0.0,1.0,17.971,48.098,0.012
0.025,0.97,8.028,17.967,0.081
0.0,1.0,17.577,44.628,0.014
0.0,1.0,16.553,46.04,0.014
0.0,1.0,15.979,40.788,0.017
0.075,0.889,6.224,12.198,0.152
0.0,1.0,14.239,34.161,0.023
0.075,0.889,9.268,18.579,0.091
0.0,1.0,14.397,34.475,0.023
0.025,0.971,10.158,26.421,0.047
0.0,1.0,16.876,42.425,0.015
0.0,1.0,17.727,44.677,0.014
0.0,1.0,17.288,44.567,0.014
0.025,0.96,10.091,23.404,0.054
0.05,0.92,8.342,16.994,0.094
0.0,1.0,14.717,37.117,0.02
0.0,1.0,17.006,42.736,0.015
0.0,1.0,11.156,25.808,0.039
0.0,1.0,14.987,35.263,0.022
0.0,1.0,12.188,28.366,0.032
0.0,1.0,14.107,34.414,0.023
0.0,1.0,12.107,28.541,0.032
0.0,1.0,11.998,31.731,0.027
0.025,0.962,7.257,15.5,0.099
0.0,1.0,16.259,39.487,0.018
0.0,1.0,9.815,25.766,0.04
0.0,1.0,11.438,27.702,0.034
0.1,0.886,9.003,17.346,0.107
0.0,1.0,13.45,35.478,0.022
0.0,1.0,15.756,44.37,0.015
0.0,1.0,16.785,44.025,0.015
0.05,0.923,6.317,14.098,0.123
