Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.02,0.965,10.036,26.571,0.045
0.0,1.0,11.256,30.251,0.03
0.0,1.0,12.434,32.33,0.026
0.31,0.38,5.541,14.745,0.209
0.03,0.949,14.039,36.419,0.031
0.0,1.0,11.36,30.981,0.029
0.08,0.864,14.873,36.814,0.047
0.0,1.0,15.201,39.5,0.018
0.02,0.971,10.321,27.203,0.043
0.02,0.966,7.967,21.42,0.063
0.01,0.984,9.614,25.182,0.045
0.15,0.783,6.36,17.389,0.132
0.0,1.0,12.231,32.552,0.026
0.12,0.803,15.404,38.652,0.059
0.04,0.917,8.798,22.718,0.064
0.02,0.956,8.285,21.26,0.063
0.0,1.0,9.828,26.856,0.038
0.02,0.966,12.667,33.309,0.032
0.0,1.0,15.967,41.184,0.017
0.0,1.0,14.111,36.874,0.021
0.0,1.0,9.54,24.973,0.043
0.0,1.0,16.538,43.172,0.015
0.01,0.98,14.274,37.47,0.023
0.0,1.0,17.01,44.376,0.014
0.0,1.0,16.487,44.234,0.015
0.03,0.952,9.404,24.374,0.054
0.03,0.947,14.99,38.967,0.028
0.0,1.0,8.965,23.038,0.049
0.0,1.0,9.971,25.74,0.04
0.32,0.418,5.24,13.766,0.224
0.02,0.96,12.96,34.136,0.031
0.07,0.9,4.962,12.807,0.153
0.0,1.0,10.064,27.008,0.037
0.0,1.0,11.083,30.17,0.031
0.0,1.0,12.448,33.479,0.025
0.01,0.974,9.616,25.288,0.045
0.0,1.0,17.451,45.765,0.014
0.0,1.0,15.164,39.239,0.018
0.0,1.0,11.379,30.006,0.03
0.11,0.841,14.669,36.085,0.058
0.05,0.924,7.918,20.38,0.078
0.01,0.981,9.202,23.8,0.05
0.0,1.0,7.77,20.581,0.061
0.0,1.0,11.304,30.581,0.03
0.0,1.0,11.808,31.315,0.028
0.03,0.963,9.354,24.594,0.054
0.0,1.0,8.026,20.747,0.059
0.02,0.964,9.885,25.94,0.046
0.02,0.96,8.549,22.303,0.059
0.01,0.981,13.594,35.574,0.025
0.01,0.975,11.271,29.733,0.034
0.01,0.976,9.133,23.506,0.051
0.05,0.907,8.32,21.283,0.073
0.0,1.0,11.603,32.174,0.027
0.0,1.0,9.52,24.759,0.043
0.0,1.0,17.16,46.128,0.013
0.04,0.932,12.372,33.003,0.039
0.0,1.0,14.277,38.052,0.019
0.0,1.0,12.339,33.057,0.026
0.03,0.93,12.794,33.032,0.035
0.0,1.0,11.075,29.722,0.031
0.0,1.0,13.062,34.859,0.023
0.0,1.0,10.302,27.248,0.036
0.05,0.884,9.539,24.107,0.062
0.0,1.0,13.74,36.918,0.021
0.0,1.0,9.808,25.781,0.04
0.0,1.0,11.466,31.033,0.029
0.04,0.932,9.869,25.089,0.055
0.0,1.0,11.683,31.445,0.028
0.0,1.0,17.629,45.489,0.014
0.24,0.51,6.393,17.138,0.163
0.0,1.0,12.248,32.648,0.026
0.0,1.0,8.845,22.826,0.05
0.02,0.971,12.159,29.786,0.037
0.0,1.0,8.927,23.14,0.049
0.0,1.0,10.026,25.598,0.04
0.17,0.696,7.689,20.917,0.116
0.0,1.0,12.765,34.22,0.024
0.0,1.0,12.113,33.407,0.025
0.01,0.981,8.352,21.862,0.058
0.03,0.952,7.537,20.71,0.071
0.0,1.0,19.435,52.123,0.011
0.0,1.0,11.234,30.506,0.03
0.01,0.98,17.356,45.289,0.017
0.02,0.959,10.312,25.536,0.047
0.0,1.0,14.1,37.832,0.02
0.26,0.48,5.004,13.27,0.211
0.0,1.0,9.459,25.945,0.04
0.06,0.9,8.815,22.796,0.07
0.0,1.0,14.775,40.462,0.017
0.0,1.0,14.09,37.722,0.02
0.01,0.989,8.646,22.593,0.054
0.0,1.0,10.132,26.452,0.038
0.0,1.0,12.992,34.678,0.023
0.1,0.919,6.993,18.061,0.108
0.0,1.0,11.822,32.134,0.027
0.0,1.0,14.435,39.12,0.019
0.05,0.9,11.331,29.208,0.048
0.03,0.944,10.07,26.453,0.048
0.07,0.86,14.73,36.472,0.044
