Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.018,0.968,4.528,12.741,0.142
0.071,0.886,7.53,19.928,0.088
0.179,0.697,4.54,12.168,0.202
0.411,0.489,3.145,8.935,0.357
0.054,0.93,7.687,20.257,0.08
0.357,0.512,2.098,5.525,0.466
0.179,0.787,8.105,21.459,0.116
0.0,1.0,8.945,24.842,0.044
0.054,0.93,7.427,19.424,0.084
0.0,1.0,8.723,24.209,0.046
0.196,0.718,5.622,14.702,0.171
0.0,1.0,8.081,23.043,0.051
0.125,0.767,6.091,16.167,0.133
0.089,0.891,7.296,18.872,0.099
0.0,1.0,7.174,18.733,0.071
0.036,0.938,4.533,13.301,0.141
0.089,0.872,6.902,17.966,0.106
0.161,0.775,8.883,23.665,0.101
0.357,0.355,2.381,6.473,0.425
0.536,0.268,1.415,3.796,0.633
0.143,0.758,7.599,20.035,0.111
0.089,0.853,4.12,11.357,0.188
0.482,0.5,2.253,6.187,0.481
0.0,1.0,9.344,26.278,0.04
0.071,0.892,6.036,15.849,0.118
0.089,0.848,3.804,10.844,0.201
0.125,0.788,5.508,14.507,0.15
0.143,0.822,5.57,15.226,0.149
0.107,0.786,4.607,12.222,0.176
0.321,0.55,2.433,6.572,0.408
0.089,0.865,6.869,18.238,0.104
0.089,0.881,3.537,10.113,0.219
0.0,1.0,9.738,27.315,0.037
0.321,0.581,3.982,10.859,0.275
0.268,0.545,3.326,8.946,0.304
0.107,0.842,5.942,15.42,0.133
0.107,0.833,6.557,17.342,0.117
0.0,1.0,9.207,26.456,0.04
0.054,0.923,7.185,18.641,0.089
0.0,1.0,8.579,24.346,0.046
0.357,0.524,1.844,5.181,0.495
0.0,1.0,9.551,26.807,0.038
0.161,0.727,8.386,22.14,0.107
0.179,0.667,3.192,8.63,0.284
0.143,0.765,6.081,16.137,0.139
0.054,0.932,3.476,9.726,0.215
0.161,0.763,7.38,19.989,0.118
0.071,0.889,6.773,19.574,0.092
0.089,0.872,7.148,18.526,0.102
0.268,0.643,2.374,6.402,0.397
0.339,0.441,3.125,8.596,0.34
0.0,1.0,7.241,21.131,0.06
0.179,0.73,3.242,8.486,0.285
0.0,1.0,9.962,27.378,0.037
0.054,0.9,4.608,12.161,0.159
0.089,0.881,6.759,17.568,0.109
0.018,0.971,7.093,18.657,0.078
0.375,0.462,2.672,7.431,0.394
0.0,1.0,9.272,25.721,0.041
0.268,0.531,3.052,8.194,0.327
0.0,1.0,8.118,22.74,0.052
0.071,0.917,7.459,19.231,0.091
0.089,0.815,7.902,21.306,0.087
0.196,0.633,3.539,9.428,0.266
0.071,0.882,6.184,16.078,0.115
0.036,0.951,7.442,19.437,0.078
0.125,0.821,4.595,12.702,0.177
0.143,0.789,7.54,19.877,0.112
0.071,0.909,6.633,17.272,0.105
0.161,0.75,7.771,20.587,0.114
0.321,0.538,2.967,7.999,0.352
0.071,0.886,4.938,13.344,0.148
0.054,0.929,7.787,20.334,0.079
0.0,1.0,8.478,23.929,0.047
0.018,0.972,5.962,15.635,0.102
0.304,0.528,3.74,10.279,0.283
0.018,0.978,6.304,16.301,0.095
0.107,0.833,6.924,18.342,0.11
0.125,0.794,4.557,12.43,0.18
0.018,0.966,8.761,25.176,0.05
0.161,0.833,7.285,19.268,0.121
0.089,0.861,6.75,17.444,0.109
0.125,0.794,4.178,11.803,0.194
0.0,1.0,8.824,24.46,0.045
0.036,0.947,7.592,22.09,0.067
0.0,1.0,9.073,25.496,0.042
0.089,0.868,6.685,17.968,0.107
0.0,1.0,9.752,26.717,0.038
0.143,0.778,4.931,13.8,0.168
0.071,0.902,7.38,19.383,0.091
0.0,1.0,8.922,24.696,0.044
0.143,0.789,3.564,9.478,0.246
0.107,0.714,3.721,10.057,0.221
0.0,1.0,5.643,16.535,0.092
0.25,0.689,2.656,7.296,0.356
0.089,0.902,7.481,19.338,0.097
0.0,1.0,7.909,21.948,0.055
0.089,0.865,4.147,11.999,0.18
0.071,0.886,7.955,21.214,0.081
0.071,0.905,6.711,17.74,0.102
