Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,9.31,27.945,0.037
0.158,0.88,5.379,14.697,0.16
0.579,0.463,1.646,4.726,0.599
0.158,0.85,5.734,15.664,0.15
0.447,0.5,2.048,6.147,0.484
0.0,1.0,8.879,26.689,0.04
0.421,0.429,1.116,3.17,0.647
0.0,1.0,9.88,29.081,0.034
0.0,1.0,10.435,31.163,0.03
0.132,0.853,5.668,15.481,0.143
0.237,0.69,6.967,20.014,0.145
0.0,1.0,10.914,32.29,0.028
0.0,1.0,10.324,30.887,0.03
0.0,1.0,10.046,29.861,0.032
0.158,0.838,5.584,15.239,0.154
0.237,0.75,2.31,6.966,0.377
0.0,1.0,10.431,30.58,0.031
0.0,1.0,10.77,31.886,0.028
0.474,0.486,1.794,5.26,0.536
0.0,1.0,10.088,29.574,0.033
0.184,0.767,5.872,16.129,0.154
0.0,1.0,9.418,27.742,0.037
0.0,1.0,10.236,30.085,0.032
0.211,0.784,5.826,16.03,0.164
0.0,1.0,10.927,32.224,0.028
0.0,1.0,9.192,27.662,0.037
0.132,0.875,5.64,15.406,0.144
0.105,0.9,5.414,14.788,0.142
0.0,1.0,11.899,35.078,0.024
0.237,0.727,5.855,16.357,0.17
0.211,0.765,5.66,15.577,0.169
0.132,0.857,5.689,15.531,0.142
0.632,0.4,1.124,3.217,0.716
0.0,1.0,10.661,31.32,0.029
0.0,1.0,9.517,28.635,0.035
0.0,1.0,9.467,28.099,0.036
0.0,1.0,9.933,29.88,0.032
0.0,1.0,9.492,28.299,0.036
0.0,1.0,9.344,28.047,0.036
0.184,0.741,2.884,8.266,0.304
0.158,0.85,5.524,15.158,0.155
0.0,1.0,9.417,28.196,0.036
0.0,1.0,10.981,32.611,0.027
0.526,0.412,1.445,4.075,0.619
0.0,1.0,10.392,30.605,0.031
0.421,0.543,2.488,7.305,0.421
0.0,1.0,10.979,32.303,0.028
0.105,0.879,5.612,15.342,0.136
0.132,0.828,3.136,9.74,0.25
0.0,1.0,10.174,31.035,0.03
0.0,1.0,10.522,31.557,0.029
0.211,0.778,2.814,8.678,0.307
0.0,1.0,9.288,27.901,0.037
0.5,0.472,1.192,3.423,0.658
0.0,1.0,11.025,32.423,0.027
0.132,0.865,5.391,14.722,0.151
0.0,1.0,9.316,27.948,0.037
0.237,0.775,6.064,17.112,0.164
0.105,0.9,3.045,9.035,0.257
0.079,0.925,5.652,15.536,0.125
0.342,0.629,5.698,16.193,0.208
0.0,1.0,10.875,32.031,0.028
0.0,1.0,9.537,28.707,0.035
0.0,1.0,10.625,31.925,0.029
0.132,0.839,6.008,16.654,0.132
0.158,0.818,2.797,8.57,0.292
0.0,1.0,11.391,33.61,0.026
0.0,1.0,10.514,31.755,0.029
0.211,0.771,2.252,6.699,0.378
0.105,0.892,5.399,14.751,0.142
0.474,0.5,2.013,5.868,0.503
0.0,1.0,10.489,30.726,0.03
0.342,0.552,2.136,6.284,0.44
0.0,1.0,10.384,30.64,0.031
0.263,0.655,5.711,16.204,0.181
0.0,1.0,9.994,29.595,0.033
0.0,1.0,10.625,31.155,0.03
0.0,1.0,9.339,27.887,0.037
0.158,0.857,5.763,15.945,0.148
0.079,0.88,4.97,13.721,0.147
0.0,1.0,9.988,29.399,0.033
0.0,1.0,10.397,30.699,0.031
0.289,0.645,5.87,16.559,0.186
0.763,0.194,0.965,2.751,0.792
0.132,0.833,5.64,15.404,0.144
0.105,0.879,5.649,15.443,0.135
0.316,0.613,6.028,17.097,0.191
0.237,0.735,5.858,16.156,0.172
0.0,1.0,9.894,29.092,0.034
0.0,1.0,10.142,29.847,0.032
0.0,1.0,11.514,34.044,0.025
0.0,1.0,10.133,29.825,0.032
0.0,1.0,9.396,27.725,0.037
0.0,1.0,9.425,28.124,0.036
0.105,0.875,3.98,12.522,0.182
0.132,0.872,5.387,14.715,0.151
0.0,1.0,11.074,32.684,0.027
0.158,0.812,5.519,15.072,0.156
0.211,0.742,5.966,16.62,0.159
0.421,0.515,2.737,8.206,0.39
