Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.111,0.886,6.756,13.68,0.146
0.311,0.759,5.322,11.583,0.245
0.044,0.96,6.963,14.277,0.117
0.178,0.837,6.691,13.781,0.167
0.044,0.957,8.279,19.064,0.081
0.267,0.733,5.145,10.441,0.248
0.067,0.897,5.594,11.616,0.161
0.067,0.93,5.719,11.47,0.162
0.022,0.974,6.17,12.624,0.13
0.067,0.944,7.042,14.29,0.124
0.356,0.59,7.947,18.292,0.189
0.289,0.658,4.443,9.16,0.285
0.289,0.735,5.876,11.913,0.229
0.067,0.909,5.978,12.125,0.152
0.0,1.0,6.379,13.494,0.112
0.222,0.8,6.55,13.781,0.183
0.089,0.886,5.787,11.697,0.166
0.267,0.676,4.679,10.039,0.259
0.067,0.925,6.239,12.766,0.143
0.2,0.786,6.996,15.386,0.159
0.222,0.667,5.186,10.915,0.226
0.422,0.5,6.567,13.929,0.248
0.422,0.486,6.43,14.0,0.248
0.0,1.0,10.592,25.07,0.041
0.067,0.919,6.141,12.314,0.149
0.311,0.689,6.246,12.724,0.225
0.044,0.935,5.249,10.821,0.167
0.111,0.894,7.138,15.06,0.132
0.133,0.8,6.776,13.82,0.152
0.178,0.765,6.896,16.115,0.147
0.244,0.711,5.256,10.642,0.236
0.089,0.913,5.852,11.928,0.162
0.133,0.833,5.53,12.201,0.176
0.111,0.872,5.751,11.598,0.175
0.244,0.633,5.631,12.319,0.211
0.022,0.972,11.196,24.963,0.048
0.267,0.733,5.452,11.246,0.234
0.267,0.647,5.676,12.262,0.219
0.133,0.838,4.687,9.92,0.217
0.267,0.739,6.419,13.017,0.206
0.022,0.969,6.752,13.957,0.113
0.356,0.579,7.869,17.662,0.193
0.044,0.943,6.031,12.156,0.144
0.156,0.8,6.505,13.277,0.166
0.156,0.8,5.37,10.935,0.202
0.311,0.72,6.766,14.001,0.209
0.333,0.634,5.122,10.793,0.265
0.289,0.683,5.979,12.217,0.225
0.067,0.919,7.203,14.297,0.123
0.111,0.889,7.161,14.333,0.138
0.044,0.953,6.233,12.971,0.133
0.067,0.94,7.215,16.228,0.108
0.156,0.767,5.578,11.077,0.198
0.178,0.771,5.864,11.977,0.191
0.222,0.722,5.742,11.586,0.212
0.022,0.977,7.528,16.113,0.093
0.022,0.981,6.689,13.678,0.116
0.089,0.909,5.965,12.211,0.158
0.178,0.724,6.587,13.378,0.172
0.267,0.647,7.397,15.665,0.178
0.156,0.833,6.855,14.14,0.156
0.289,0.69,5.368,11.019,0.245
0.244,0.694,5.677,11.333,0.223
0.244,0.784,7.601,16.847,0.162
0.089,0.897,5.317,10.909,0.18
0.044,0.935,6.8,13.99,0.12
0.0,1.0,8.495,18.994,0.066
0.267,0.625,6.101,12.207,0.217
0.222,0.756,6.638,14.675,0.174
0.089,0.862,6.922,14.081,0.134
0.244,0.686,4.933,10.797,0.237
0.044,0.938,7.354,15.106,0.108
0.022,0.98,6.91,14.586,0.107
0.133,0.806,5.683,11.33,0.186
0.244,0.75,6.441,13.123,0.197
0.156,0.833,5.955,11.945,0.184
0.222,0.767,7.561,16.349,0.158
0.267,0.745,6.145,12.958,0.208
0.267,0.727,4.638,9.612,0.267
0.2,0.78,6.349,13.608,0.178
0.289,0.658,5.883,12.132,0.226
0.178,0.805,5.245,10.767,0.212
0.311,0.689,6.087,12.209,0.232
0.4,0.526,5.378,11.951,0.269
0.2,0.679,6.145,12.516,0.191
0.244,0.718,5.24,10.779,0.235
0.222,0.778,6.516,13.046,0.19
0.2,0.809,6.611,15.431,0.161
0.067,0.925,6.637,13.345,0.135
0.133,0.86,5.659,11.624,0.182
0.178,0.765,5.578,11.955,0.194
0.378,0.541,5.887,13.289,0.243
0.4,0.514,5.678,12.519,0.26
0.244,0.744,6.007,12.046,0.212
0.0,1.0,9.55,21.697,0.052
0.089,0.879,10.887,24.334,0.072
0.267,0.7,6.0,12.408,0.215
0.156,0.767,6.031,12.939,0.172
0.267,0.727,5.686,12.047,0.221
0.0,1.0,11.95,26.749,0.036
