Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.244,0.697,2.917,6.148,0.37
0.122,0.872,8.288,16.13,0.124
0.098,0.867,8.062,15.492,0.121
0.22,0.719,2.867,6.051,0.366
0.293,0.613,2.478,5.406,0.424
0.317,0.618,2.711,5.96,0.407
0.244,0.688,2.665,5.66,0.392
0.268,0.656,2.602,5.396,0.41
0.098,0.879,7.854,15.126,0.124
0.098,0.895,8.082,15.515,0.121
0.341,0.5,2.755,6.0,0.413
0.244,0.697,2.814,5.911,0.38
0.098,0.905,8.054,15.502,0.121
0.098,0.882,8.145,15.599,0.12
0.122,0.853,7.945,15.267,0.131
0.098,0.879,8.223,15.989,0.117
0.073,0.897,8.061,15.694,0.111
0.293,0.625,2.661,5.451,0.414
0.073,0.906,7.487,15.023,0.118
0.244,0.655,2.742,5.841,0.384
0.317,0.618,2.647,5.631,0.418
0.195,0.758,3.021,6.582,0.339
0.195,0.75,2.626,5.514,0.382
0.341,0.622,2.953,6.876,0.384
0.561,0.303,2.612,5.41,0.507
0.098,0.867,8.524,16.426,0.113
0.39,0.515,2.536,5.316,0.456
0.098,0.879,8.19,15.926,0.117
0.098,0.882,8.194,15.751,0.119
0.317,0.618,2.434,5.348,0.436
0.22,0.64,2.861,6.336,0.359
0.195,0.789,2.338,4.837,0.414
0.098,0.857,8.111,15.657,0.119
0.024,0.976,8.249,20.524,0.068
0.073,0.897,8.485,16.549,0.104
0.268,0.676,2.925,6.332,0.373
0.61,0.306,2.589,5.446,0.523
0.22,0.679,2.698,5.526,0.386
0.244,0.688,2.849,6.371,0.367
0.146,0.812,4.505,10.235,0.218
0.268,0.667,2.869,6.169,0.379
0.512,0.25,2.309,4.931,0.519
0.098,0.892,2.751,5.525,0.343
0.122,0.861,3.197,6.958,0.3
0.146,0.857,6.303,14.31,0.154
0.268,0.656,2.484,5.33,0.418
0.122,0.868,7.968,15.251,0.131
0.293,0.571,2.846,6.515,0.38
0.244,0.655,2.882,6.179,0.37
0.293,0.625,2.791,5.67,0.403
0.22,0.667,2.633,5.609,0.387
0.073,0.9,8.011,15.289,0.114
0.488,0.355,2.413,5.425,0.492
0.146,0.818,2.548,5.443,0.371
0.268,0.725,2.842,6.43,0.374
0.244,0.655,2.824,6.283,0.37
0.22,0.75,3.127,7.01,0.334
0.585,0.273,2.368,5.252,0.532
0.22,0.679,2.679,5.612,0.385
0.098,0.862,8.184,15.891,0.118
0.293,0.676,2.766,5.945,0.397
0.024,0.968,8.148,15.886,0.093
0.195,0.714,2.935,6.191,0.352
0.098,0.902,12.67,24.869,0.072
0.049,0.923,8.211,15.959,0.101
0.122,0.881,7.423,14.796,0.136
0.195,0.714,2.424,4.985,0.405
0.049,0.935,7.679,15.446,0.106
0.122,0.848,8.104,15.643,0.128
0.049,0.938,8.372,16.504,0.097
0.073,0.923,2.602,5.129,0.352
0.195,0.704,3.202,6.738,0.33
0.0,1.0,11.454,31.182,0.029
0.073,0.921,8.654,16.692,0.103
0.098,0.857,4.263,11.109,0.192
0.098,0.857,8.025,15.386,0.122
0.098,0.867,8.126,15.601,0.12
0.0,1.0,10.826,27.09,0.036
0.146,0.829,6.685,15.019,0.146
0.073,0.885,7.832,15.064,0.117
0.098,0.875,7.886,15.155,0.124
0.293,0.613,2.953,6.694,0.372
0.293,0.647,3.179,7.122,0.354
0.073,0.919,12.559,24.841,0.064
0.171,0.781,3.213,7.073,0.314
0.244,0.697,2.879,6.134,0.372
0.098,0.892,8.393,16.334,0.114
0.293,0.657,2.703,5.934,0.4
0.171,0.759,2.176,4.454,0.426
0.122,0.828,6.362,13.706,0.151
0.293,0.613,2.469,5.49,0.423
0.317,0.567,2.67,6.214,0.403
0.122,0.821,2.032,4.074,0.429
0.146,0.85,6.027,12.231,0.177
0.049,0.923,8.075,15.599,0.104
0.244,0.722,2.963,6.298,0.364
0.244,0.722,5.199,10.664,0.236
0.049,0.938,7.826,15.227,0.107
0.098,0.882,11.224,21.902,0.082
0.512,0.222,2.174,4.716,0.533
