Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.229,0.78,4.912,14.015,0.194
0.458,0.5,1.554,4.513,0.574
0.271,0.745,5.884,16.985,0.177
0.375,0.64,1.978,5.955,0.47
0.0,1.0,8.776,26.945,0.04
0.188,0.824,5.004,14.302,0.177
0.25,0.727,6.092,17.982,0.163
0.125,0.864,5.288,15.299,0.145
0.438,0.5,1.9,5.745,0.503
0.417,0.556,2.258,6.784,0.445
0.208,0.787,5.64,16.11,0.164
0.25,0.745,5.267,15.022,0.189
0.25,0.769,4.932,14.12,0.2
0.062,0.933,5.511,16.094,0.117
0.229,0.788,5.452,15.6,0.176
0.208,0.767,5.245,14.986,0.176
0.521,0.5,1.577,4.7,0.587
0.0,1.0,9.741,29.508,0.033
0.0,1.0,9.839,29.553,0.033
0.396,0.513,1.518,4.563,0.555
0.0,1.0,10.132,30.495,0.031
0.208,0.762,5.381,15.331,0.172
0.25,0.657,6.579,19.359,0.154
0.25,0.745,5.285,15.081,0.189
0.521,0.324,1.659,4.977,0.572
0.0,1.0,6.183,18.764,0.075
0.312,0.643,3.589,10.82,0.281
0.188,0.769,5.014,14.291,0.177
0.292,0.632,2.778,8.4,0.341
0.292,0.682,5.198,14.83,0.205
0.083,0.911,4.747,14.021,0.148
0.25,0.755,5.319,15.198,0.187
0.0,1.0,10.03,30.397,0.031
0.458,0.488,1.728,5.21,0.538
0.562,0.413,1.553,4.667,0.604
0.25,0.714,5.239,14.936,0.19
0.021,0.971,5.956,18.031,0.087
0.042,0.95,5.086,15.383,0.119
0.0,1.0,7.328,22.002,0.057
0.208,0.75,5.426,15.519,0.17
0.271,0.649,6.764,19.919,0.157
0.229,0.792,4.837,13.818,0.197
0.229,0.766,5.307,15.235,0.18
0.25,0.676,5.804,16.794,0.172
0.0,1.0,10.054,30.289,0.032
0.062,0.943,4.931,14.505,0.134
0.0,1.0,7.41,22.35,0.055
0.021,0.974,6.742,20.411,0.072
0.354,0.638,5.875,17.01,0.205
0.167,0.789,4.579,14.017,0.177
0.104,0.872,4.958,14.973,0.144
0.208,0.73,2.92,8.762,0.301
0.208,0.792,5.135,14.705,0.179
0.271,0.698,3.219,9.707,0.294
0.396,0.578,2.712,8.254,0.382
0.271,0.729,5.486,16.678,0.182
0.375,0.571,1.785,5.252,0.504
0.146,0.851,3.296,10.047,0.245
0.188,0.775,5.258,15.055,0.168
0.0,1.0,7.16,21.589,0.059
0.0,1.0,5.948,17.755,0.082
0.0,1.0,7.886,24.084,0.049
0.0,1.0,7.548,23.016,0.053
0.333,0.628,5.212,15.451,0.214
0.167,0.771,5.409,16.478,0.149
0.0,1.0,6.885,20.842,0.063
0.042,0.946,3.533,10.791,0.192
0.708,0.37,1.509,4.429,0.664
0.0,1.0,8.237,25.237,0.045
0.312,0.688,2.283,6.718,0.41
0.229,0.766,4.982,14.213,0.192
0.312,0.583,5.747,16.652,0.194
0.0,1.0,10.602,32.36,0.028
0.0,1.0,5.069,15.013,0.108
0.0,1.0,8.229,24.718,0.046
0.0,1.0,10.268,31.453,0.03
0.021,0.97,6.917,20.956,0.069
0.0,1.0,10.451,31.647,0.029
0.354,0.595,5.823,16.862,0.206
0.167,0.822,3.015,9.106,0.277
0.0,1.0,7.489,22.472,0.055
0.229,0.686,4.101,12.154,0.225
0.0,1.0,10.051,30.204,0.032
0.167,0.765,5.634,17.379,0.142
0.0,1.0,8.966,27.049,0.039
0.312,0.5,3.657,10.991,0.277
0.104,0.878,4.796,13.712,0.157
0.104,0.878,4.867,14.842,0.146
0.0,1.0,9.888,29.634,0.033
0.188,0.812,4.84,14.469,0.177
0.312,0.674,5.941,17.153,0.19
0.208,0.688,6.821,20.059,0.136
0.292,0.65,3.445,10.206,0.287
0.042,0.935,6.303,19.138,0.087
0.021,0.975,6.879,20.966,0.069
0.229,0.75,5.493,15.84,0.174
0.188,0.795,5.551,16.027,0.158
0.271,0.711,5.733,16.58,0.181
0.083,0.905,4.397,13.034,0.162
0.271,0.649,6.572,19.467,0.16
