Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,12.369,33.664,0.025
0.0,1.0,11.005,29.498,0.032
0.0,1.0,9.872,23.562,0.046
0.0,1.0,13.317,34.572,0.023
0.0,1.0,13.091,32.867,0.025
0.081,0.943,6.293,13.942,0.135
0.0,1.0,12.832,33.293,0.025
0.0,1.0,8.336,19.045,0.066
0.135,0.853,3.567,7.87,0.275
0.324,0.7,3.767,8.791,0.315
0.189,0.841,9.779,20.659,0.119
0.027,0.978,11.802,27.21,0.044
0.108,0.929,10.804,23.112,0.082
0.027,0.971,9.145,20.41,0.067
0.189,0.806,4.751,10.866,0.22
0.189,0.844,13.609,31.112,0.09
0.081,0.921,9.224,18.931,0.092
0.0,1.0,12.92,33.144,0.025
0.0,1.0,13.588,33.948,0.024
0.0,1.0,14.687,36.521,0.021
0.108,0.907,6.576,14.442,0.138
0.0,1.0,15.349,36.004,0.021
0.0,1.0,12.294,32.999,0.026
0.0,1.0,9.581,21.392,0.053
0.0,1.0,8.801,22.798,0.05
0.135,0.853,9.563,22.669,0.094
0.0,1.0,14.095,34.128,0.023
0.108,0.886,5.105,11.612,0.179
0.108,0.892,4.004,8.895,0.236
0.0,1.0,13.874,36.331,0.021
0.054,0.955,7.798,18.415,0.088
0.0,1.0,11.142,29.165,0.032
0.0,1.0,14.462,37.432,0.02
0.081,0.941,10.753,22.916,0.074
0.0,1.0,11.494,30.377,0.03
0.0,1.0,11.436,30.596,0.03
0.0,1.0,10.22,25.533,0.04
0.0,1.0,11.643,31.509,0.028
0.108,0.882,10.627,25.293,0.076
0.0,1.0,10.282,27.495,0.036
0.135,0.857,3.76,8.735,0.253
0.0,1.0,11.127,29.138,0.032
0.0,1.0,12.144,31.401,0.028
0.0,1.0,9.785,23.666,0.046
0.0,1.0,9.927,23.975,0.045
0.0,1.0,15.339,36.931,0.02
0.0,1.0,9.494,23.067,0.048
0.0,1.0,9.746,24.597,0.043
0.0,1.0,14.629,34.843,0.022
0.0,1.0,13.059,34.387,0.024
0.189,0.811,3.705,8.499,0.277
0.0,1.0,12.853,31.624,0.027
0.108,0.871,9.568,19.769,0.096
0.0,1.0,12.572,33.369,0.025
0.0,1.0,13.887,36.727,0.021
0.0,1.0,13.043,33.791,0.024
0.0,1.0,10.66,26.328,0.038
0.0,1.0,14.517,34.854,0.022
0.0,1.0,12.611,33.347,0.025
0.0,1.0,11.198,29.585,0.031
0.0,1.0,15.03,35.436,0.021
0.0,1.0,13.749,36.149,0.021
0.0,1.0,14.929,35.843,0.021
0.135,0.828,5.335,13.283,0.166
0.027,0.97,11.404,24.889,0.049
0.081,0.93,10.08,21.854,0.078
0.081,0.912,7.996,17.469,0.102
0.0,1.0,8.493,20.098,0.061
0.081,0.929,6.932,15.502,0.119
0.108,0.871,4.347,9.716,0.216
0.162,0.854,4.011,8.969,0.253
0.081,0.914,9.573,22.081,0.078
0.108,0.931,6.568,15.504,0.13
0.0,1.0,10.371,25.445,0.04
0.0,1.0,14.849,38.721,0.019
0.0,1.0,13.754,36.173,0.021
0.0,1.0,10.913,28.433,0.034
0.0,1.0,8.198,22.313,0.053
0.027,0.966,9.913,23.547,0.055
0.0,1.0,9.558,24.143,0.045
0.0,1.0,13.307,34.475,0.023
0.243,0.757,5.675,12.686,0.206
0.0,1.0,11.704,30.42,0.03
0.108,0.862,9.45,19.405,0.098
0.0,1.0,10.601,28.222,0.034
0.0,1.0,12.449,33.001,0.026
0.081,0.906,7.912,19.53,0.092
0.0,1.0,12.449,32.216,0.026
0.081,0.897,7.898,17.258,0.104
0.081,0.951,11.153,23.673,0.071
0.0,1.0,7.433,17.493,0.077
0.0,1.0,8.7,19.756,0.062
0.027,0.967,9.355,21.367,0.063
0.0,1.0,9.146,23.557,0.047
0.135,0.844,5.784,11.779,0.18
0.108,0.915,7.648,18.088,0.109
0.0,1.0,8.48,21.363,0.056
0.0,1.0,12.782,33.423,0.025
0.0,1.0,9.227,21.749,0.053
0.108,0.905,11.576,27.386,0.071
