Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.211,0.806,4.315,11.051,0.23
0.14,0.826,2.344,5.752,0.372
0.211,0.714,2.836,6.969,0.342
0.0,1.0,10.349,28.056,0.035
0.053,0.936,7.284,17.699,0.094
0.07,0.922,7.412,18.027,0.097
0.14,0.81,3.087,7.477,0.298
0.105,0.818,3.001,7.649,0.286
0.07,0.929,6.225,15.023,0.123
0.0,1.0,11.727,31.921,0.027
0.0,1.0,13.204,34.849,0.023
0.018,0.983,7.691,18.548,0.076
0.175,0.787,4.26,11.058,0.219
0.246,0.696,2.827,6.907,0.356
0.123,0.794,4.387,11.273,0.197
0.088,0.891,3.016,7.632,0.28
0.053,0.94,7.199,17.478,0.095
0.246,0.696,4.206,10.451,0.252
0.0,1.0,12.499,32.835,0.026
0.105,0.857,3.827,9.552,0.227
0.158,0.791,4.159,10.785,0.219
0.035,0.952,8.489,21.275,0.068
0.263,0.681,3.517,8.594,0.304
0.0,1.0,13.32,35.446,0.022
0.053,0.909,8.125,20.415,0.078
0.088,0.889,5.447,13.559,0.147
0.263,0.688,3.525,8.795,0.3
0.105,0.895,3.302,8.544,0.258
0.053,0.936,6.879,16.896,0.1
0.0,1.0,9.725,26.53,0.039
0.0,1.0,9.366,25.524,0.042
0.053,0.936,6.814,16.812,0.101
0.0,1.0,12.041,32.13,0.027
0.0,1.0,13.316,34.812,0.023
0.088,0.886,7.059,17.535,0.107
0.123,0.87,2.95,7.68,0.293
0.035,0.955,8.525,21.219,0.068
0.105,0.872,6.672,16.23,0.123
0.123,0.833,7.936,19.732,0.105
0.0,1.0,12.96,33.918,0.024
0.0,1.0,10.594,28.864,0.033
0.0,1.0,12.712,33.774,0.024
0.211,0.786,3.538,8.931,0.279
0.105,0.846,7.613,18.383,0.106
0.228,0.618,4.24,10.776,0.241
0.035,0.962,7.797,18.858,0.08
0.0,1.0,14.858,39.156,0.018
0.263,0.605,3.388,8.342,0.312
0.053,0.927,7.181,17.4,0.096
0.211,0.707,3.184,8.012,0.307
0.0,1.0,12.72,33.907,0.024
0.211,0.721,3.532,8.719,0.284
0.0,1.0,10.618,28.764,0.033
0.088,0.894,3.671,9.066,0.233
0.07,0.915,5.9,14.297,0.131
0.105,0.854,8.069,20.136,0.097
0.211,0.657,3.57,8.926,0.279
0.0,1.0,11.228,30.386,0.03
0.158,0.82,6.383,15.648,0.146
0.035,0.96,7.976,19.51,0.076
0.088,0.911,6.182,15.146,0.128
0.0,1.0,12.746,33.508,0.025
0.053,0.927,3.889,9.695,0.206
0.123,0.821,2.78,6.747,0.321
0.07,0.925,6.977,16.903,0.105
0.105,0.8,4.067,10.498,0.207
0.035,0.957,4.314,11.048,0.172
0.0,1.0,9.969,27.268,0.037
0.0,1.0,13.031,34.49,0.023
0.0,1.0,10.951,29.725,0.031
0.0,1.0,11.145,30.422,0.03
0.14,0.857,4.726,12.359,0.184
0.0,1.0,12.872,33.964,0.024
0.193,0.732,3.586,8.89,0.273
0.0,1.0,11.989,31.94,0.027
0.158,0.75,3.105,7.618,0.301
0.0,1.0,11.706,30.924,0.029
0.07,0.895,5.61,14.823,0.128
0.246,0.682,2.817,6.954,0.355
0.0,1.0,9.931,25.91,0.04
0.281,0.636,3.145,7.826,0.336
0.0,1.0,9.895,26.864,0.038
0.105,0.812,2.745,6.677,0.318
0.0,1.0,10.076,27.205,0.037
0.0,1.0,12.914,34.189,0.024
0.316,0.667,3.423,8.357,0.328
0.0,1.0,13.21,34.764,0.023
0.246,0.682,5.307,13.614,0.2
0.053,0.912,4.109,10.531,0.188
0.333,0.5,4.109,10.127,0.288
0.018,0.976,6.399,15.587,0.1
0.123,0.794,2.818,6.911,0.315
0.088,0.875,3.933,10.049,0.211
0.0,1.0,9.825,26.043,0.04
0.14,0.822,3.859,9.542,0.238
0.0,1.0,13.196,34.93,0.023
0.246,0.759,2.833,6.912,0.356
0.0,1.0,10.424,27.332,0.036
0.158,0.791,3.598,8.976,0.26
0.14,0.818,8.046,20.508,0.107
