Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.391,0.591,1.164,3.872,0.615
0.696,0.529,1.262,3.993,0.7
0.304,0.696,2.598,8.542,0.351
0.391,0.625,1.233,3.976,0.603
0.304,0.741,2.948,9.506,0.318
0.391,0.571,1.164,3.693,0.619
0.478,0.522,1.107,3.67,0.656
0.522,0.538,1.448,4.687,0.602
0.522,0.429,1.62,5.282,0.568
0.435,0.667,1.72,5.723,0.518
0.391,0.654,1.595,5.202,0.529
0.522,0.6,1.069,3.444,0.681
0.478,0.542,1.319,4.324,0.612
0.522,0.586,1.601,5.137,0.574
0.478,0.522,1.454,4.793,0.584
0.304,0.72,2.57,8.235,0.358
0.391,0.679,2.77,8.697,0.369
0.174,0.81,2.634,8.251,0.311
0.348,0.579,1.197,3.889,0.595
0.565,0.567,1.48,4.707,0.612
0.391,0.571,1.202,3.823,0.611
0.478,0.593,1.27,4.064,0.625
0.435,0.565,1.134,3.668,0.638
0.304,0.72,2.387,7.546,0.382
0.304,0.708,2.754,8.659,0.341
0.435,0.545,1.328,4.382,0.595
0.261,0.739,2.185,6.865,0.395
0.478,0.656,1.369,4.381,0.605
0.304,0.75,2.903,9.246,0.324
0.261,0.778,2.702,8.666,0.329
0.522,0.538,1.212,3.901,0.651
0.348,0.724,2.197,7.102,0.418
0.261,0.739,1.696,5.585,0.466
0.348,0.636,2.409,7.578,0.395
0.304,0.731,2.881,9.166,0.327
0.478,0.542,1.244,4.188,0.625
0.391,0.591,1.148,3.635,0.622
0.435,0.565,1.136,3.587,0.64
0.261,0.75,2.596,8.364,0.34
0.304,0.682,1.66,5.311,0.491
0.304,0.682,2.485,7.885,0.37
0.478,0.577,1.446,4.779,0.586
0.348,0.704,2.265,7.12,0.413
0.435,0.615,1.332,4.405,0.594
0.217,0.688,2.569,8.067,0.333
0.435,0.615,1.223,3.851,0.622
0.435,0.615,1.441,4.769,0.572
0.174,0.857,2.321,7.331,0.347
0.217,0.808,2.561,8.032,0.334
0.348,0.636,1.521,4.952,0.529
0.348,0.704,1.57,4.946,0.524
0.304,0.72,1.334,4.347,0.552
0.261,0.684,2.43,7.673,0.363
0.478,0.593,1.282,4.153,0.621
0.435,0.583,1.617,5.179,0.542
0.304,0.65,1.24,3.905,0.575
0.217,0.773,2.823,9.1,0.301
0.478,0.621,1.472,4.683,0.585
0.522,0.538,1.348,4.274,0.624
0.261,0.714,1.095,3.56,0.588
0.348,0.704,2.91,9.324,0.337
0.304,0.731,2.312,7.246,0.393
0.304,0.708,2.618,8.634,0.348
0.391,0.609,1.572,5.022,0.536
0.348,0.68,1.264,4.031,0.583
0.435,0.565,1.524,5.099,0.554
0.304,0.741,2.806,8.98,0.333
0.391,0.591,1.116,3.512,0.63
0.391,0.609,1.625,5.224,0.526
0.217,0.75,2.372,7.433,0.357
0.217,0.783,2.69,8.677,0.315
0.348,0.704,2.181,6.928,0.423
0.304,0.682,2.603,8.205,0.357
0.304,0.632,2.289,7.283,0.394
0.217,0.706,2.413,7.631,0.35
0.304,0.696,2.62,8.453,0.351
0.348,0.742,2.532,8.005,0.379
0.522,0.6,1.557,5.024,0.581
0.304,0.731,2.744,8.925,0.337
0.391,0.64,1.607,5.085,0.531
0.304,0.611,1.519,4.855,0.517
0.391,0.591,1.132,3.569,0.626
0.478,0.645,1.51,5.086,0.57
0.478,0.621,1.328,4.34,0.611
0.304,0.5,1.369,4.566,0.542
0.217,0.722,2.709,8.493,0.317
0.435,0.375,0.951,3.008,0.679
0.217,0.737,2.621,8.247,0.326
0.304,0.667,2.293,7.206,0.395
0.304,0.667,2.451,7.687,0.376
0.261,0.714,1.817,5.916,0.447
0.435,0.6,1.978,6.328,0.481
0.261,0.714,2.135,6.956,0.397
0.304,0.759,2.732,8.83,0.339
0.391,0.591,1.441,4.598,0.562
0.435,0.583,1.341,4.256,0.597
0.522,0.538,1.267,4.107,0.639
0.435,0.63,1.49,4.809,0.565
0.304,0.72,2.292,7.182,0.396
0.217,0.75,2.337,7.418,0.359
