Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,24.089,62.848,0.007
0.0,1.0,18.426,46.276,0.013
0.14,0.812,10.63,23.249,0.092
0.0,1.0,20.47,54.994,0.01
0.093,0.875,7.972,17.662,0.105
0.0,1.0,20.806,56.022,0.009
0.047,0.944,8.673,18.229,0.085
0.07,0.9,7.473,15.86,0.111
0.023,0.972,7.819,17.69,0.082
0.116,0.875,8.678,18.092,0.109
0.0,1.0,18.121,46.637,0.013
0.093,0.882,7.968,16.688,0.111
0.023,0.971,5.083,11.881,0.147
0.07,0.909,7.554,17.738,0.098
0.047,0.935,8.417,17.726,0.088
0.116,0.878,8.914,19.036,0.103
0.093,0.879,8.269,17.186,0.107
0.116,0.872,7.972,16.982,0.117
0.186,0.758,8.402,18.117,0.132
0.14,0.833,9.176,20.183,0.105
0.047,0.949,9.691,21.93,0.067
0.186,0.84,4.612,9.987,0.234
0.14,0.854,5.005,11.274,0.195
0.163,0.72,5.796,13.121,0.174
0.0,1.0,19.102,47.472,0.012
0.07,0.906,8.148,17.054,0.101
0.0,1.0,15.054,37.014,0.02
0.0,1.0,16.45,41.548,0.016
0.07,0.875,8.019,18.474,0.093
0.116,0.839,7.508,16.139,0.124
0.0,1.0,22.353,58.882,0.008
0.0,1.0,13.107,29.894,0.029
0.07,0.909,9.008,18.979,0.088
0.093,0.902,8.683,18.073,0.101
0.233,0.688,5.721,12.528,0.204
0.163,0.731,3.601,7.946,0.281
0.0,1.0,21.413,55.836,0.009
0.0,1.0,13.733,31.392,0.027
0.163,0.788,3.622,8.684,0.266
0.0,1.0,17.857,44.325,0.014
0.186,0.742,11.358,24.041,0.105
0.07,0.903,9.685,21.816,0.075
0.0,1.0,20.295,52.578,0.01
0.07,0.912,7.856,16.502,0.105
0.0,1.0,9.365,22.822,0.049
0.0,1.0,24.324,63.566,0.007
0.0,1.0,9.12,23.116,0.048
0.0,1.0,20.065,54.29,0.01
0.047,0.939,7.822,16.804,0.095
0.0,1.0,23.687,62.55,0.007
0.209,0.71,6.209,13.779,0.18
0.0,1.0,8.605,21.693,0.054
0.023,0.975,9.051,18.789,0.073
0.047,0.943,10.578,24.597,0.058
0.093,0.895,10.41,21.897,0.081
0.0,1.0,20.476,54.432,0.01
0.0,1.0,17.536,44.182,0.014
0.186,0.742,5.394,12.831,0.188
0.0,1.0,23.32,58.709,0.008
0.0,1.0,9.034,20.714,0.057
0.163,0.837,4.719,10.447,0.218
0.0,1.0,25.723,66.787,0.006
0.0,1.0,21.016,55.647,0.009
0.0,1.0,20.912,56.128,0.009
0.093,0.852,5.228,12.57,0.161
0.0,1.0,19.963,49.888,0.011
0.186,0.789,7.256,16.179,0.148
0.0,1.0,24.705,64.756,0.007
0.209,0.7,3.116,6.713,0.338
0.093,0.925,7.84,16.346,0.114
0.0,1.0,19.027,50.445,0.011
0.116,0.8,7.72,16.785,0.119
0.0,1.0,11.258,29.703,0.031
0.093,0.905,8.261,17.266,0.107
0.023,0.966,6.605,15.712,0.1
0.0,1.0,9.446,22.033,0.051
0.116,0.872,3.905,8.5,0.248
0.07,0.93,6.993,15.273,0.117
0.093,0.892,6.875,15.555,0.123
0.0,1.0,11.176,29.422,0.032
0.093,0.911,9.217,19.5,0.093
0.093,0.882,9.243,19.315,0.094
0.0,1.0,24.817,65.161,0.007
0.0,1.0,18.208,46.917,0.013
0.0,1.0,22.139,59.787,0.008
0.0,1.0,11.537,28.483,0.033
0.0,1.0,21.856,58.149,0.009
0.233,0.677,7.319,16.352,0.162
0.0,1.0,23.165,61.286,0.008
0.093,0.882,9.748,21.193,0.085
0.0,1.0,21.081,55.846,0.009
0.186,0.771,8.406,17.461,0.136
0.047,0.933,8.116,16.988,0.093
0.209,0.763,4.325,9.597,0.252
0.023,0.963,9.026,21.503,0.062
0.0,1.0,18.034,44.825,0.014
0.0,1.0,15.134,35.242,0.022
0.0,1.0,23.694,60.667,0.008
0.0,1.0,18.915,47.174,0.013
0.047,0.938,11.208,27.828,0.05
