Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.206,0.72,2.549,7.219,0.348
0.176,0.769,2.851,7.045,0.329
0.235,0.724,3.225,8.429,0.306
0.265,0.727,4.569,11.263,0.242
0.206,0.781,3.125,7.737,0.313
0.088,0.917,7.564,21.454,0.087
0.0,1.0,10.2,29.203,0.033
0.118,0.862,6.596,16.74,0.124
0.206,0.741,3.561,9.826,0.262
0.0,1.0,12.371,33.699,0.025
0.0,1.0,8.375,24.578,0.046
0.029,0.971,8.761,25.486,0.053
0.206,0.72,3.67,9.127,0.271
0.0,1.0,10.864,30.291,0.031
0.235,0.771,4.009,10.446,0.252
0.088,0.842,4.919,12.431,0.164
0.088,0.88,6.593,16.729,0.114
0.147,0.762,3.371,8.519,0.27
0.088,0.833,5.653,14.395,0.138
0.029,0.968,8.099,22.203,0.063
0.029,0.975,8.297,24.196,0.057
0.088,0.864,5.556,13.71,0.145
0.0,1.0,8.477,24.691,0.045
0.176,0.76,3.065,8.304,0.294
0.088,0.889,4.959,13.852,0.149
0.0,1.0,8.726,26.067,0.042
0.118,0.8,3.64,9.28,0.24
0.118,0.826,3.147,7.828,0.281
0.147,0.792,4.931,12.396,0.184
0.0,1.0,8.416,24.022,0.047
0.206,0.821,3.439,9.805,0.265
0.088,0.9,5.919,14.997,0.131
0.088,0.889,4.165,11.507,0.185
0.088,0.85,3.236,8.023,0.265
0.088,0.87,6.405,16.677,0.115
0.029,0.978,8.319,23.897,0.058
0.0,1.0,8.988,25.546,0.042
0.0,1.0,7.92,22.75,0.052
0.0,1.0,9.458,27.903,0.036
0.294,0.73,2.942,8.183,0.34
0.147,0.783,3.566,9.059,0.255
0.0,1.0,9.854,27.559,0.037
0.0,1.0,10.264,30.314,0.031
0.0,1.0,8.699,24.37,0.046
0.0,1.0,9.658,28.495,0.035
0.029,0.97,9.216,26.917,0.049
0.0,1.0,11.212,30.181,0.03
0.029,0.972,7.372,21.166,0.069
0.0,1.0,9.182,26.865,0.039
0.0,1.0,10.252,28.809,0.034
0.382,0.594,5.018,13.34,0.251
0.0,1.0,7.898,22.497,0.053
0.118,0.818,3.588,8.961,0.247
0.029,0.962,8.305,23.28,0.06
0.0,1.0,9.347,27.501,0.037
0.0,1.0,11.696,32.227,0.027
0.088,0.885,9.32,27.324,0.067
0.0,1.0,10.039,28.115,0.035
0.0,1.0,10.942,31.305,0.029
0.147,0.773,3.555,10.113,0.237
0.029,0.973,9.258,26.202,0.05
0.0,1.0,9.268,26.319,0.04
0.118,0.862,4.234,12.747,0.179
0.0,1.0,8.751,25.86,0.042
0.0,1.0,10.594,30.72,0.03
0.0,1.0,10.526,29.288,0.033
0.059,0.926,8.405,24.012,0.067
0.147,0.808,3.714,9.632,0.242
0.0,1.0,8.436,24.841,0.045
0.029,0.968,8.583,23.946,0.057
0.088,0.85,3.38,8.573,0.249
0.265,0.727,4.353,10.951,0.249
0.176,0.739,4.503,11.336,0.212
0.176,0.8,4.243,11.892,0.209
0.029,0.974,9.003,26.318,0.05
0.118,0.818,4.944,13.417,0.163
0.088,0.857,5.924,14.822,0.132
0.059,0.909,4.425,11.739,0.169
0.0,1.0,10.516,30.013,0.031
0.0,1.0,13.451,36.929,0.021
0.0,1.0,8.487,24.509,0.046
0.265,0.757,4.713,11.62,0.235
0.0,1.0,10.974,29.528,0.032
0.0,1.0,8.315,24.53,0.046
0.118,0.81,3.189,8.196,0.272
0.029,0.966,8.93,26.122,0.051
0.0,1.0,7.965,24.131,0.048
0.0,1.0,9.509,26.475,0.039
0.059,0.933,7.699,21.598,0.077
0.0,1.0,9.425,27.426,0.037
0.029,0.971,7.013,21.264,0.07
0.0,1.0,8.795,25.661,0.042
0.0,1.0,11.503,31.62,0.028
0.176,0.829,5.693,14.502,0.166
0.235,0.704,5.511,13.646,0.195
0.029,0.97,7.133,21.723,0.068
0.0,1.0,8.749,24.639,0.045
0.0,1.0,10.896,31.588,0.029
0.0,1.0,9.276,26.835,0.039
0.0,1.0,10.914,31.322,0.029
