Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.415,0.5,1.111,3.435,0.64
0.098,0.875,3.614,11.016,0.206
0.244,0.73,4.149,12.697,0.223
0.146,0.684,3.103,10.02,0.251
0.049,0.929,3.686,11.177,0.186
0.146,0.8,3.312,10.121,0.243
0.415,0.452,1.801,5.701,0.505
0.098,0.886,3.855,11.687,0.192
0.146,0.769,2.632,8.094,0.305
0.122,0.853,3.755,11.387,0.206
0.122,0.861,4.058,12.366,0.188
0.341,0.6,1.632,5.181,0.509
0.366,0.545,1.499,4.765,0.542
0.073,0.885,3.639,11.071,0.196
0.195,0.784,2.632,8.427,0.315
0.098,0.862,3.041,9.884,0.239
0.122,0.815,3.349,10.154,0.234
0.171,0.837,3.957,11.995,0.21
0.098,0.857,3.647,11.928,0.193
0.122,0.821,3.559,10.834,0.218
0.171,0.759,3.42,10.407,0.244
0.171,0.696,3.902,11.914,0.212
0.073,0.897,3.948,11.969,0.178
0.073,0.917,3.928,11.899,0.179
0.195,0.771,2.969,9.467,0.282
0.366,0.483,1.224,3.807,0.6
0.073,0.893,3.974,12.114,0.176
0.146,0.76,3.754,11.463,0.213
0.146,0.714,3.163,10.394,0.244
0.171,0.708,3.939,11.989,0.211
0.268,0.686,3.73,11.307,0.256
0.171,0.8,3.805,11.546,0.219
0.195,0.667,3.508,10.641,0.246
0.098,0.871,3.741,11.367,0.198
0.195,0.667,3.423,10.476,0.251
0.22,0.71,3.87,11.734,0.231
0.171,0.767,3.557,10.882,0.234
0.146,0.806,3.827,11.685,0.209
0.049,0.935,4.049,12.307,0.164
0.122,0.872,3.772,11.426,0.205
0.341,0.576,1.265,3.872,0.585
0.122,0.865,4.015,12.228,0.19
0.122,0.821,2.879,9.387,0.262
0.098,0.875,3.897,11.837,0.189
0.098,0.867,4.039,12.378,0.18
0.268,0.676,4.32,13.226,0.223
0.146,0.812,3.918,11.874,0.204
0.268,0.607,2.329,7.358,0.378
0.268,0.577,2.373,7.459,0.373
0.171,0.708,3.82,11.644,0.217
0.122,0.844,3.878,11.834,0.197
0.22,0.667,2.692,8.739,0.314
0.146,0.739,3.832,11.668,0.209
0.073,0.893,3.894,11.842,0.181
0.146,0.7,4.035,12.621,0.193
0.244,0.655,3.612,10.963,0.255
0.073,0.85,3.396,10.857,0.205
0.146,0.824,4.176,12.861,0.188
0.073,0.893,3.725,11.381,0.19
0.0,1.0,6.815,22.34,0.058
0.146,0.818,4.028,12.253,0.198
0.366,0.444,1.646,5.207,0.516
0.049,0.909,3.409,10.397,0.204
0.22,0.69,3.98,12.095,0.225
0.146,0.806,3.053,9.882,0.255
0.171,0.781,3.986,12.119,0.208
0.146,0.778,3.899,11.925,0.204
0.146,0.812,4.063,12.404,0.195
0.463,0.345,1.198,3.694,0.638
0.122,0.857,3.915,11.872,0.196
0.244,0.583,2.083,6.536,0.405
0.22,0.7,2.965,9.468,0.29
0.122,0.848,3.757,11.457,0.205
0.122,0.833,3.989,12.227,0.191
0.171,0.72,4.04,12.284,0.205
0.146,0.786,3.71,11.259,0.217
0.122,0.808,3.435,10.802,0.221
0.146,0.8,3.808,11.643,0.209
0.293,0.6,1.868,5.88,0.454
0.098,0.895,4.072,12.369,0.179
0.146,0.778,3.969,12.188,0.2
0.171,0.72,2.698,8.664,0.299
0.146,0.829,3.838,11.635,0.209
0.171,0.759,3.667,11.14,0.227
0.341,0.576,1.772,5.697,0.483
0.098,0.875,3.779,11.558,0.195
0.268,0.667,1.672,5.165,0.482
0.122,0.821,4.11,12.558,0.185
0.146,0.727,3.862,11.754,0.207
0.073,0.88,3.513,10.668,0.205
0.146,0.8,2.684,8.872,0.288
0.098,0.862,3.869,11.716,0.191
0.122,0.783,3.546,10.751,0.219
0.22,0.625,3.703,11.307,0.241
0.195,0.75,2.875,9.232,0.289
0.073,0.9,3.578,11.356,0.194
0.122,0.815,3.193,10.532,0.232
0.195,0.724,1.769,5.474,0.44
0.195,0.652,2.822,9.149,0.293
0.195,0.724,4.242,12.967,0.202
