Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,15.077,37.274,0.02
0.0,1.0,19.871,51.77,0.011
0.0,1.0,11.914,32.283,0.027
0.0,1.0,20.22,49.184,0.011
0.0,1.0,17.413,44.673,0.014
0.0,1.0,22.222,55.883,0.009
0.0,1.0,20.459,53.268,0.01
0.0,1.0,23.128,61.644,0.008
0.0,1.0,10.051,27.066,0.037
0.0,1.0,23.0,59.309,0.008
0.0,1.0,21.256,54.687,0.01
0.0,1.0,20.086,52.474,0.01
0.0,1.0,16.049,41.521,0.016
0.0,1.0,21.041,53.82,0.01
0.0,1.0,20.75,54.815,0.01
0.0,1.0,22.551,59.425,0.008
0.035,0.963,15.036,36.325,0.032
0.0,1.0,22.291,58.061,0.008
0.0,1.0,19.401,50.181,0.011
0.0,1.0,20.718,54.868,0.01
0.0,1.0,22.15,58.968,0.008
0.0,1.0,21.906,53.281,0.01
0.0,1.0,23.863,64.632,0.007
0.0,1.0,24.183,65.433,0.007
0.053,0.929,8.286,19.922,0.079
0.281,0.652,2.771,6.612,0.377
0.0,1.0,12.254,32.458,0.026
0.0,1.0,12.99,32.975,0.025
0.0,1.0,17.905,43.936,0.014
0.0,1.0,24.356,66.054,0.007
0.0,1.0,18.957,48.148,0.012
0.0,1.0,22.208,57.854,0.009
0.0,1.0,22.251,59.828,0.008
0.0,1.0,23.605,63.034,0.007
0.07,0.909,5.338,13.63,0.141
0.0,1.0,15.089,38.802,0.019
0.0,1.0,17.105,44.055,0.015
0.0,1.0,12.463,32.736,0.026
0.0,1.0,20.482,49.778,0.011
0.0,1.0,20.807,53.664,0.01
0.0,1.0,22.186,54.856,0.009
0.0,1.0,10.66,28.71,0.033
0.0,1.0,16.508,41.408,0.016
0.0,1.0,20.104,48.975,0.012
0.0,1.0,22.131,56.019,0.009
0.0,1.0,13.569,36.344,0.021
0.0,1.0,22.534,60.039,0.008
0.0,1.0,16.334,41.117,0.016
0.0,1.0,22.15,54.963,0.009
0.0,1.0,24.841,66.71,0.007
0.0,1.0,23.423,63.484,0.007
0.0,1.0,23.005,56.128,0.009
0.0,1.0,22.341,58.616,0.008
0.0,1.0,18.98,48.069,0.012
0.0,1.0,24.907,63.558,0.007
0.035,0.95,9.559,23.539,0.058
0.0,1.0,14.055,35.867,0.021
0.018,0.973,12.069,30.661,0.035
0.0,1.0,19.079,49.723,0.012
0.0,1.0,17.626,44.134,0.014
0.0,1.0,18.974,48.857,0.012
0.0,1.0,22.861,58.019,0.008
0.0,1.0,8.304,18.085,0.071
0.0,1.0,17.171,42.269,0.015
0.0,1.0,22.294,55.118,0.009
0.0,1.0,19.518,47.584,0.012
0.0,1.0,16.03,39.015,0.018
0.0,1.0,19.237,47.185,0.012
0.0,1.0,21.466,52.092,0.01
0.0,1.0,18.552,47.601,0.012
0.246,0.611,3.505,8.155,0.307
0.053,0.897,4.78,11.248,0.169
0.0,1.0,7.404,17.34,0.078
0.0,1.0,23.239,62.74,0.007
0.0,1.0,23.248,62.376,0.007
0.0,1.0,18.672,49.343,0.012
0.0,1.0,15.46,40.805,0.017
0.053,0.923,17.974,43.914,0.032
0.0,1.0,20.437,53.696,0.01
0.035,0.956,9.694,20.986,0.066
0.0,1.0,14.082,36.06,0.021
0.0,1.0,12.94,33.215,0.025
0.0,1.0,10.612,28.854,0.033
0.0,1.0,21.922,53.826,0.01
0.0,1.0,19.549,51.955,0.011
0.0,1.0,16.336,40.96,0.017
0.07,0.897,5.461,14.48,0.132
0.035,0.956,9.019,20.314,0.07
0.0,1.0,19.977,49.41,0.011
0.0,1.0,17.586,44.298,0.014
0.0,1.0,19.909,48.784,0.012
0.0,1.0,23.206,59.626,0.008
0.0,1.0,22.037,54.448,0.009
0.0,1.0,15.982,39.967,0.017
0.0,1.0,18.485,47.068,0.013
0.018,0.978,18.53,46.382,0.019
0.0,1.0,21.638,57.046,0.009
0.0,1.0,18.714,47.451,0.012
0.0,1.0,23.691,63.416,0.007
0.0,1.0,24.859,65.721,0.007
