Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.208,0.761,3.123,9.519,0.28
0.132,0.825,3.096,9.34,0.258
0.208,0.784,2.502,7.533,0.344
0.17,0.795,2.89,8.738,0.289
0.132,0.854,2.681,8.068,0.299
0.17,0.795,3.343,10.308,0.247
0.151,0.83,3.076,9.285,0.266
0.151,0.8,3.089,9.324,0.265
0.151,0.814,2.756,8.296,0.297
0.151,0.805,3.188,9.733,0.255
0.132,0.829,3.326,10.203,0.237
0.151,0.826,2.958,8.951,0.277
0.132,0.86,2.573,7.737,0.311
0.151,0.822,3.66,11.412,0.217
0.132,0.854,2.577,7.737,0.311
0.132,0.8,3.02,9.246,0.263
0.113,0.854,2.905,8.776,0.269
0.094,0.884,3.061,9.315,0.247
0.094,0.878,3.033,9.161,0.251
0.151,0.846,3.641,11.316,0.219
0.132,0.811,3.321,10.296,0.236
0.113,0.85,4.149,12.76,0.179
0.132,0.833,2.826,8.645,0.281
0.113,0.833,2.756,8.33,0.284
0.189,0.778,3.727,11.615,0.226
0.075,0.892,2.892,8.792,0.257
0.132,0.821,3.136,9.481,0.255
0.075,0.867,3.222,9.827,0.227
0.151,0.81,2.932,8.851,0.279
0.189,0.762,2.8,8.456,0.305
0.019,0.971,5.219,16.104,0.104
0.132,0.821,3.302,10.172,0.238
0.113,0.854,2.886,8.715,0.271
0.0,1.0,7.4,23.587,0.051
0.057,0.914,3.315,10.134,0.213
0.132,0.788,3.342,10.101,0.238
0.094,0.853,3.796,11.741,0.191
0.094,0.844,3.625,11.193,0.202
0.075,0.902,4.85,14.878,0.136
0.075,0.915,2.784,8.363,0.27
0.113,0.864,2.559,7.713,0.306
0.189,0.756,2.824,8.554,0.302
0.075,0.867,3.783,11.674,0.186
0.151,0.789,3.076,9.273,0.267
0.189,0.75,3.075,9.269,0.279
0.075,0.892,2.882,8.763,0.258
0.151,0.784,2.826,8.561,0.289
0.132,0.844,2.83,8.578,0.282
0.151,0.805,2.944,8.916,0.278
0.057,0.897,3.946,12.224,0.17
0.226,0.7,3.042,9.376,0.291
0.283,0.7,3.462,10.683,0.276
0.132,0.811,2.775,8.47,0.287
0.189,0.767,3.23,9.752,0.266
0.17,0.769,2.882,8.733,0.29
0.075,0.905,3.351,10.345,0.215
0.113,0.806,2.868,8.756,0.271
0.057,0.917,3.236,9.94,0.219
0.075,0.882,4.1,12.725,0.167
0.208,0.78,2.98,8.958,0.294
0.151,0.822,2.891,8.751,0.283
0.132,0.806,3.0,9.105,0.266
0.094,0.894,3.663,11.131,0.202
0.0,1.0,7.158,22.677,0.055
0.075,0.911,2.571,7.806,0.291
0.151,0.84,2.872,8.668,0.285
0.132,0.829,2.698,8.189,0.296
0.132,0.821,3.449,10.522,0.229
0.113,0.85,2.797,8.521,0.278
0.075,0.882,3.495,10.826,0.204
0.245,0.705,2.886,8.861,0.312
0.113,0.793,3.052,9.401,0.253
0.094,0.881,3.115,9.433,0.244
0.132,0.8,3.144,9.545,0.253
0.113,0.838,3.058,9.248,0.255
0.019,0.969,3.995,12.242,0.156
0.113,0.829,3.253,9.995,0.236
0.094,0.872,3.163,9.585,0.239
0.057,0.914,2.789,8.422,0.262
0.057,0.939,2.67,8.045,0.275
0.189,0.762,2.366,7.109,0.355
0.038,0.95,2.623,7.941,0.273
0.151,0.818,2.781,8.411,0.294
0.17,0.735,2.968,9.011,0.281
0.075,0.897,3.288,10.118,0.22
0.057,0.897,3.696,11.442,0.185
0.151,0.81,3.904,12.234,0.202
0.151,0.778,3.248,9.965,0.249
0.057,0.923,2.971,9.066,0.243
0.132,0.794,3.197,9.675,0.249
0.151,0.818,2.867,8.687,0.285
0.113,0.889,4.785,14.721,0.151
0.057,0.9,3.547,10.864,0.196
0.132,0.794,2.532,7.642,0.315
0.075,0.889,3.194,9.675,0.231
0.075,0.911,4.476,13.631,0.152
0.151,0.784,3.011,9.186,0.27
0.151,0.771,3.068,9.363,0.265
0.17,0.804,3.775,11.768,0.216
0.132,0.794,2.77,8.42,0.288
