Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.12,0.864,9.168,22.619,0.09
0.0,1.0,16.671,44.837,0.014
0.0,1.0,19.548,51.857,0.011
0.0,1.0,15.674,41.394,0.017
0.0,1.0,20.689,57.29,0.009
0.0,1.0,18.98,50.017,0.011
0.0,1.0,15.899,42.686,0.016
0.0,1.0,15.727,42.373,0.016
0.0,1.0,7.328,20.307,0.063
0.0,1.0,16.102,42.475,0.016
0.0,1.0,15.084,39.899,0.018
0.16,0.724,10.123,25.043,0.095
0.08,0.909,7.546,18.67,0.097
0.0,1.0,16.274,43.732,0.015
0.0,1.0,15.607,42.185,0.016
0.06,0.919,8.842,22.691,0.07
0.1,0.878,4.822,13.374,0.159
0.0,1.0,20.812,55.05,0.009
0.0,1.0,12.873,34.733,0.023
0.08,0.897,8.835,21.459,0.081
0.0,1.0,15.833,42.747,0.016
0.0,1.0,16.703,44.966,0.014
0.1,0.875,5.693,15.633,0.131
0.12,0.769,4.989,13.022,0.167
0.14,0.811,9.619,23.804,0.092
0.0,1.0,19.476,53.93,0.01
0.0,1.0,15.769,42.667,0.016
0.0,1.0,13.633,36.438,0.021
0.0,1.0,16.217,42.767,0.015
0.14,0.825,12.412,32.351,0.073
0.0,1.0,9.922,26.892,0.038
0.0,1.0,24.886,70.035,0.006
0.08,0.905,10.307,25.786,0.066
0.04,0.947,8.976,21.903,0.066
0.12,0.846,9.194,22.496,0.09
0.0,1.0,24.971,70.252,0.006
0.1,0.906,8.223,20.04,0.095
0.0,1.0,16.596,44.607,0.014
0.0,1.0,13.429,35.816,0.022
0.06,0.88,7.207,17.547,0.097
0.0,1.0,19.272,51.177,0.011
0.18,0.735,4.297,11.535,0.214
0.12,0.882,9.01,22.012,0.092
0.1,0.848,7.109,17.514,0.111
0.0,1.0,15.443,42.196,0.016
0.0,1.0,21.43,60.284,0.008
0.0,1.0,21.359,60.126,0.008
0.0,1.0,18.086,48.711,0.012
0.3,0.625,2.785,7.442,0.364
0.0,1.0,19.399,53.838,0.01
0.0,1.0,5.777,15.782,0.096
0.0,1.0,20.588,54.689,0.01
0.0,1.0,19.342,51.445,0.011
0.0,1.0,14.185,38.421,0.019
0.0,1.0,26.279,73.381,0.005
0.06,0.932,5.321,14.409,0.131
0.0,1.0,17.826,48.044,0.012
0.0,1.0,28.22,78.95,0.005
0.02,0.97,7.551,21.022,0.066
0.0,1.0,16.527,44.463,0.014
0.06,0.903,4.476,12.233,0.162
0.0,1.0,8.417,23.872,0.048
0.0,1.0,19.562,52.166,0.011
0.2,0.706,3.376,8.484,0.289
0.04,0.939,9.223,22.68,0.063
0.0,1.0,12.94,34.957,0.023
0.0,1.0,18.744,50.009,0.011
0.0,1.0,13.774,36.444,0.021
0.0,1.0,13.567,36.524,0.021
0.0,1.0,16.117,42.521,0.016
0.0,1.0,16.627,44.616,0.014
0.0,1.0,20.01,53.013,0.01
0.08,0.875,7.811,19.559,0.091
0.06,0.893,10.918,27.416,0.055
0.04,0.931,7.347,18.035,0.087
0.14,0.75,10.041,24.765,0.089
0.0,1.0,17.793,47.02,0.013
0.0,1.0,17.459,47.377,0.013
0.0,1.0,20.623,55.411,0.009
0.1,0.868,6.111,16.687,0.121
0.0,1.0,12.91,34.632,0.023
0.08,0.913,8.196,20.823,0.085
0.08,0.867,6.778,16.61,0.111
0.02,0.963,8.654,23.307,0.056
0.0,1.0,18.206,49.191,0.012
0.04,0.944,11.926,30.393,0.043
0.1,0.828,10.286,25.372,0.074
0.0,1.0,18.319,51.451,0.011
0.0,1.0,20.351,57.173,0.009
0.04,0.905,7.024,17.818,0.09
0.0,1.0,16.897,46.151,0.014
0.16,0.81,11.153,29.132,0.085
0.04,0.947,6.648,16.209,0.101
0.0,1.0,16.29,45.415,0.014
0.08,0.913,10.462,27.367,0.063
0.0,1.0,21.233,58.74,0.008
0.0,1.0,18.782,50.217,0.011
0.0,1.0,17.217,47.43,0.013
0.0,1.0,17.164,47.502,0.013
0.0,1.0,16.493,45.335,0.014
