Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,10.084,26.12,0.039
0.065,0.939,7.114,16.211,0.108
0.129,0.918,7.576,17.27,0.121
0.355,0.766,3.536,8.625,0.333
0.129,0.857,6.036,14.472,0.148
0.161,0.872,7.459,16.737,0.135
0.129,0.875,3.713,9.872,0.232
0.097,0.893,6.112,16.348,0.122
0.129,0.889,7.858,17.615,0.118
0.0,1.0,9.05,23.693,0.047
0.258,0.784,4.299,10.379,0.256
0.194,0.854,6.981,15.554,0.156
0.032,0.977,8.544,21.106,0.067
0.097,0.909,7.191,16.079,0.119
0.129,0.895,4.033,10.226,0.22
0.097,0.903,7.753,18.122,0.104
0.226,0.821,3.988,9.728,0.261
0.129,0.895,7.527,16.867,0.123
0.161,0.839,3.136,7.796,0.297
0.226,0.794,2.809,6.467,0.36
0.161,0.853,7.204,16.07,0.14
0.097,0.912,5.96,13.984,0.142
0.065,0.941,5.037,13.331,0.145
0.0,1.0,7.296,17.748,0.076
0.129,0.862,4.549,11.587,0.192
0.258,0.765,7.561,16.857,0.166
0.29,0.7,2.837,6.711,0.375
0.097,0.906,6.709,14.823,0.131
0.129,0.879,4.959,11.823,0.185
0.032,0.971,6.719,15.474,0.104
0.129,0.875,4.737,11.867,0.186
0.032,0.967,8.922,22.317,0.062
0.29,0.743,7.438,16.932,0.177
0.161,0.844,4.047,9.432,0.243
0.065,0.929,5.217,13.453,0.142
0.065,0.938,4.974,12.825,0.151
0.226,0.821,6.091,13.52,0.189
0.0,1.0,6.593,15.636,0.092
0.258,0.826,5.868,14.188,0.195
0.323,0.706,2.622,6.119,0.409
0.194,0.864,7.601,16.928,0.144
0.065,0.941,4.229,10.769,0.187
0.097,0.906,8.225,21.181,0.089
0.161,0.8,3.206,8.04,0.29
0.097,0.912,7.011,16.254,0.118
0.032,0.964,6.715,16.229,0.098
0.129,0.826,6.507,15.153,0.14
0.0,1.0,8.482,21.917,0.054
0.161,0.865,3.808,8.893,0.258
0.129,0.882,6.871,15.418,0.136
0.032,0.966,6.862,18.277,0.085
0.226,0.811,3.59,8.898,0.284
0.161,0.872,3.492,8.566,0.271
0.194,0.812,3.04,7.475,0.318
0.032,0.974,9.147,22.824,0.06
0.0,1.0,5.863,16.128,0.093
0.065,0.923,7.304,16.953,0.102
0.129,0.879,7.466,17.033,0.122
0.29,0.735,3.226,7.576,0.342
0.032,0.963,7.069,18.777,0.082
0.194,0.842,6.719,15.429,0.158
0.097,0.903,7.145,16.524,0.116
0.065,0.941,6.838,15.233,0.116
0.129,0.857,3.656,8.594,0.256
0.161,0.853,6.23,14.788,0.155
0.097,0.921,6.365,17.095,0.116
0.194,0.867,6.408,14.178,0.17
0.097,0.909,6.724,15.151,0.128
0.097,0.906,8.292,19.587,0.096
0.161,0.853,6.908,15.839,0.143
0.161,0.8,7.109,16.372,0.139
0.097,0.897,5.938,14.428,0.138
0.032,0.972,8.435,21.016,0.068
0.0,1.0,7.779,21.065,0.059
0.097,0.893,6.914,15.852,0.122
0.0,1.0,10.058,27.143,0.037
0.129,0.846,3.065,7.748,0.289
0.097,0.906,7.443,19.873,0.097
0.097,0.875,6.181,16.538,0.12
0.032,0.969,6.771,18.196,0.086
0.032,0.974,8.434,20.967,0.068
0.097,0.932,6.629,15.049,0.129
0.032,0.974,7.316,19.792,0.076
0.065,0.947,5.109,12.282,0.156
0.129,0.862,7.503,16.986,0.123
0.161,0.848,8.097,19.702,0.117
0.032,0.97,7.419,17.391,0.088
0.097,0.897,6.356,14.843,0.132
0.097,0.903,4.647,11.857,0.177
0.226,0.821,7.066,15.796,0.164
0.065,0.926,6.06,14.51,0.126
0.355,0.686,3.32,7.689,0.358
0.0,1.0,8.966,23.924,0.046
0.0,1.0,5.05,13.295,0.124
0.129,0.892,5.989,13.519,0.157
0.032,0.974,6.785,15.223,0.106
0.161,0.857,6.227,15.944,0.146
0.032,0.964,9.215,23.312,0.058
0.097,0.875,4.68,12.531,0.168
0.226,0.708,3.017,6.934,0.341
