Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.385,0.697,3.87,10.795,0.299
0.5,0.552,1.616,4.951,0.57
0.423,0.577,3.892,10.847,0.311
0.462,0.647,1.963,6.043,0.498
0.0,1.0,3.867,12.261,0.152
0.654,0.346,1.24,3.707,0.696
0.0,1.0,7.664,24.016,0.049
0.346,0.743,3.77,10.459,0.294
0.577,0.5,1.028,2.942,0.717
0.385,0.63,1.908,6.016,0.478
0.5,0.567,1.657,4.921,0.566
0.038,0.964,5.813,18.23,0.093
0.615,0.407,1.404,4.079,0.654
0.346,0.7,3.766,10.496,0.293
0.423,0.645,3.791,10.601,0.317
0.577,0.375,1.093,3.321,0.699
0.385,0.667,4.207,11.964,0.278
0.0,1.0,7.779,23.435,0.051
0.5,0.519,1.302,3.741,0.636
0.846,0.267,1.179,3.448,0.774
0.5,0.409,1.667,5.113,0.561
0.538,0.481,1.183,3.308,0.674
0.423,0.676,1.98,6.053,0.484
0.538,0.391,1.618,4.955,0.582
0.577,0.4,1.162,3.228,0.692
0.5,0.567,1.611,4.996,0.569
0.808,0.045,0.713,2.056,0.856
0.0,1.0,7.891,23.82,0.049
0.423,0.607,1.926,5.856,0.493
0.5,0.435,1.493,4.266,0.6
0.769,0.167,0.944,2.803,0.796
0.038,0.962,6.858,21.112,0.075
0.538,0.481,1.831,5.602,0.546
0.731,0.095,0.972,2.871,0.778
0.846,0.0,0.727,2.058,0.867
0.385,0.677,4.614,13.589,0.254
0.808,0.087,1.089,3.301,0.777
0.346,0.667,3.867,10.715,0.288
0.769,0.091,0.871,2.598,0.81
0.731,0.208,1.736,5.207,0.628
0.5,0.536,1.286,3.586,0.642
0.385,0.6,2.036,6.331,0.46
0.615,0.273,1.703,5.288,0.591
0.0,1.0,8.565,25.655,0.043
0.808,0.045,0.64,1.875,0.869
0.654,0.19,2.175,6.488,0.536
0.308,0.68,3.244,9.493,0.31
0.0,1.0,7.512,22.723,0.054
0.0,1.0,8.067,25.026,0.046
0.346,0.7,3.891,10.875,0.285
0.5,0.435,1.619,5.147,0.565
0.654,0.19,1.662,5.013,0.615
0.038,0.971,6.188,19.559,0.084
0.692,0.182,1.324,3.926,0.693
0.0,1.0,7.386,22.535,0.055
0.5,0.629,1.885,5.622,0.528
0.692,0.143,1.54,4.494,0.654
0.0,1.0,4.858,14.805,0.112
0.462,0.455,2.064,6.575,0.478
0.846,0.083,0.818,2.371,0.848
0.0,1.0,8.054,25.165,0.045
0.0,1.0,8.095,25.025,0.046
0.231,0.786,2.745,8.512,0.32
0.423,0.45,1.365,4.332,0.588
0.0,1.0,7.963,24.126,0.048
0.5,0.536,1.832,5.717,0.53
0.846,0.0,0.402,1.145,0.92
0.038,0.964,6.301,19.935,0.082
0.769,0.231,1.044,2.971,0.778
0.385,0.677,2.036,6.157,0.464
0.269,0.696,4.065,11.297,0.25
0.346,0.7,2.209,6.948,0.42
0.615,0.429,1.368,3.94,0.662
0.692,0.143,1.342,4.158,0.685
0.0,1.0,7.855,24.48,0.048
0.0,1.0,7.648,22.802,0.053
0.385,0.6,2.496,7.991,0.394
0.769,0.048,1.203,3.595,0.742
0.731,0.095,1.18,3.558,0.733
0.423,0.522,1.736,5.333,0.523
0.192,0.773,3.082,8.756,0.29
0.692,0.333,1.135,3.269,0.733
0.038,0.952,6.363,19.692,0.083
0.0,1.0,7.727,23.233,0.051
0.808,0.192,0.985,2.834,0.802
0.308,0.652,3.943,10.983,0.27
0.808,0.25,1.072,3.113,0.784
0.0,1.0,4.989,15.115,0.108
0.462,0.4,2.278,7.196,0.449
0.654,0.15,1.759,5.532,0.592
0.038,0.95,6.805,21.163,0.075
0.385,0.655,2.129,6.689,0.445
0.038,0.947,3.51,11.158,0.187
0.846,0.0,0.669,1.959,0.877
0.423,0.522,2.001,6.475,0.472
0.385,0.688,3.936,10.92,0.296
0.654,0.261,2.247,6.761,0.525
0.462,0.571,1.78,5.127,0.537
0.0,1.0,7.65,22.888,0.053
0.346,0.71,3.799,10.526,0.292
