Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.052,0.886,9.95,27.235,0.054
0.121,0.764,6.755,18.037,0.116
0.069,0.848,9.909,26.609,0.061
0.0,1.0,9.46,26.179,0.04
0.029,0.931,12.523,33.8,0.034
0.046,0.879,10.53,28.262,0.05
0.011,0.974,10.48,28.089,0.038
0.149,0.671,8.757,23.481,0.098
0.006,0.984,12.13,33.224,0.027
0.029,0.938,11.087,30.424,0.04
0.0,1.0,11.285,31.01,0.029
0.034,0.918,11.114,30.197,0.042
0.046,0.897,10.454,27.905,0.05
0.04,0.905,11.721,31.783,0.041
0.069,0.838,12.929,35.499,0.045
0.046,0.889,9.948,27.215,0.052
0.023,0.94,11.01,30.204,0.038
0.034,0.913,11.28,30.187,0.042
0.046,0.86,12.726,35.831,0.038
0.029,0.934,10.278,27.844,0.045
0.034,0.917,10.209,27.417,0.048
0.172,0.647,8.585,23.144,0.107
0.017,0.964,11.602,31.818,0.033
0.098,0.757,9.777,26.349,0.072
0.017,0.958,10.419,28.285,0.04
0.006,0.986,10.188,27.499,0.038
0.121,0.65,9.258,25.958,0.081
0.006,0.986,8.251,22.091,0.056
0.103,0.719,10.355,27.739,0.07
0.052,0.862,14.582,40.716,0.035
0.057,0.877,10.448,28.157,0.054
0.029,0.931,9.785,27.002,0.047
0.006,0.987,9.28,25.57,0.044
0.08,0.803,10.648,28.986,0.06
0.098,0.77,10.059,26.985,0.07
0.023,0.943,10.732,29.346,0.04
0.011,0.968,10.14,27.986,0.039
0.011,0.974,10.045,27.314,0.041
0.0,1.0,13.201,36.359,0.022
0.023,0.945,11.664,32.426,0.035
0.115,0.767,9.474,25.815,0.079
0.006,0.985,13.269,36.709,0.023
0.057,0.792,12.156,34.012,0.044
0.023,0.939,10.778,29.711,0.039
0.04,0.901,11.216,30.322,0.044
0.006,0.983,12.322,34.324,0.026
0.057,0.851,8.623,23.048,0.069
0.0,1.0,13.597,37.391,0.02
0.023,0.947,10.799,29.91,0.039
0.04,0.885,12.164,33.481,0.039
0.063,0.878,8.675,23.607,0.069
0.023,0.933,11.645,31.828,0.035
0.172,0.663,9.725,27.156,0.095
0.109,0.753,7.337,20.335,0.099
0.006,0.987,10.624,29.252,0.034
0.017,0.96,11.66,31.918,0.033
0.052,0.873,11.758,31.548,0.045
0.017,0.951,10.746,29.963,0.037
0.017,0.951,10.939,29.42,0.038
0.138,0.704,9.988,26.895,0.084
0.006,0.983,12.254,33.682,0.027
0.023,0.939,11.903,33.157,0.033
0.029,0.929,8.64,23.048,0.059
0.017,0.945,13.369,37.408,0.026
0.023,0.939,9.651,26.559,0.046
0.086,0.8,8.282,22.304,0.082
0.052,0.873,12.983,35.201,0.04
0.034,0.922,10.932,29.883,0.043
0.109,0.672,10.768,30.149,0.067
0.006,0.984,10.777,29.52,0.034
0.167,0.597,9.164,24.776,0.099
0.023,0.934,12.113,34.112,0.032
0.017,0.959,9.754,26.443,0.045
0.063,0.836,13.633,36.882,0.042
0.029,0.919,8.822,24.885,0.054
0.0,1.0,11.381,31.398,0.028
0.103,0.69,13.091,35.897,0.056
0.023,0.941,10.267,28.455,0.042
0.0,1.0,10.65,28.78,0.033
0.023,0.935,9.612,26.286,0.047
0.034,0.928,10.577,29.131,0.044
0.029,0.926,10.006,27.497,0.046
0.034,0.923,9.747,26.859,0.05
0.0,1.0,11.487,32.0,0.028
0.046,0.901,10.713,29.355,0.048
0.023,0.929,14.045,39.595,0.026
0.144,0.653,8.777,23.625,0.096
0.017,0.955,9.778,26.217,0.045
0.121,0.661,9.18,24.509,0.085
0.029,0.94,9.545,25.905,0.05
0.029,0.918,13.794,38.3,0.029
0.011,0.973,10.815,29.07,0.036
0.023,0.935,11.135,30.706,0.037
0.126,0.656,9.177,24.743,0.086
0.006,0.986,10.463,28.894,0.035
0.075,0.79,13.835,38.351,0.044
0.0,1.0,12.498,34.621,0.024
0.017,0.947,9.831,26.72,0.044
0.0,1.0,12.151,33.467,0.025
0.017,0.952,9.825,27.052,0.043
