Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.094,0.909,4.536,15.046,0.145
0.438,0.5,1.284,4.248,0.605
0.688,0.353,0.914,2.897,0.771
0.219,0.774,4.219,13.311,0.207
0.781,0.265,1.318,4.201,0.716
0.25,0.758,4.22,13.265,0.218
0.469,0.483,1.076,3.542,0.66
0.219,0.741,4.148,13.071,0.211
0.0,1.0,6.397,21.26,0.063
0.5,0.579,1.524,5.008,0.578
0.312,0.677,3.948,12.342,0.253
0.0,1.0,5.252,17.142,0.091
0.219,0.741,3.804,11.973,0.229
0.219,0.741,3.777,11.856,0.231
0.0,1.0,8.232,27.411,0.04
0.344,0.593,1.864,6.242,0.462
0.406,0.552,1.976,6.397,0.47
0.625,0.375,0.988,3.219,0.732
0.469,0.483,1.166,3.764,0.643
0.188,0.727,2.435,8.176,0.327
0.625,0.394,1.013,3.228,0.729
0.375,0.625,1.668,5.391,0.512
0.031,0.971,7.451,24.471,0.059
0.719,0.233,1.023,3.252,0.758
0.281,0.719,4.081,12.843,0.235
0.656,0.276,1.201,3.841,0.699
0.0,1.0,7.467,24.6,0.048
0.281,0.71,2.371,7.659,0.373
0.281,0.679,2.115,6.989,0.404
0.469,0.375,1.255,4.033,0.624
0.5,0.36,1.78,5.773,0.533
0.406,0.519,1.532,5.091,0.544
0.219,0.731,4.046,12.756,0.216
0.406,0.536,1.341,4.36,0.585
0.469,0.444,1.112,3.649,0.653
0.5,0.467,1.282,4.195,0.627
0.25,0.652,3.859,12.052,0.238
0.219,0.759,4.29,14.097,0.198
0.0,1.0,6.184,20.459,0.068
0.469,0.464,1.209,3.907,0.633
0.188,0.778,4.236,13.277,0.197
0.656,0.276,1.081,3.49,0.723
0.375,0.586,1.771,5.829,0.491
0.344,0.476,1.697,5.529,0.495
0.25,0.742,3.553,11.142,0.256
0.219,0.708,4.584,14.57,0.19
0.25,0.714,4.826,15.837,0.187
0.031,0.967,3.882,13.011,0.153
0.656,0.125,0.786,2.504,0.787
0.0,1.0,3.787,12.506,0.151
0.438,0.481,1.953,6.376,0.483
0.812,0.235,0.362,1.167,0.913
0.406,0.458,1.456,4.727,0.562
0.25,0.636,2.386,8.019,0.354
0.438,0.548,1.605,5.193,0.544
0.469,0.464,1.461,4.738,0.582
0.219,0.759,4.158,12.974,0.211
0.281,0.727,4.016,12.578,0.239
0.719,0.179,0.862,2.735,0.792
0.25,0.667,3.308,10.391,0.274
0.188,0.806,4.113,12.939,0.202
0.5,0.467,1.259,4.164,0.631
0.0,1.0,6.351,20.939,0.065
0.469,0.4,1.208,3.866,0.635
0.438,0.576,1.763,5.552,0.519
0.25,0.75,3.896,12.249,0.235
0.219,0.708,3.219,10.066,0.271
0.531,0.393,0.924,2.947,0.716
0.25,0.68,3.177,10.013,0.284
0.344,0.542,1.987,6.651,0.442
0.25,0.68,3.858,12.06,0.238
0.188,0.786,4.037,12.728,0.206
0.531,0.32,1.116,3.549,0.676
0.125,0.879,4.162,13.588,0.174
0.156,0.848,3.807,12.229,0.205
0.25,0.724,3.91,12.213,0.235
0.0,1.0,3.801,12.63,0.149
0.156,0.808,4.274,13.473,0.184
0.219,0.72,4.116,12.975,0.212
0.5,0.467,1.211,3.909,0.644
0.219,0.632,2.322,7.804,0.352
0.125,0.867,2.945,9.859,0.252
0.031,0.971,7.688,25.398,0.056
0.25,0.742,4.384,13.794,0.21
0.125,0.862,4.64,15.389,0.151
0.25,0.68,2.147,7.208,0.387
0.0,1.0,7.024,22.987,0.055
0.438,0.5,1.202,3.964,0.623
0.469,0.423,2.129,6.933,0.467
0.375,0.6,1.686,5.468,0.508
0.0,1.0,3.831,12.839,0.146
0.469,0.348,1.432,4.629,0.588
0.0,1.0,7.082,23.288,0.053
0.0,1.0,6.981,22.997,0.055
0.438,0.562,1.935,6.107,0.491
0.594,0.367,1.544,4.93,0.609
0.781,0.265,0.703,2.253,0.845
0.531,0.346,1.141,3.656,0.67
0.0,1.0,4.805,15.611,0.106
0.0,1.0,3.893,13.046,0.142
