Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.021,0.974,9.529,22.738,0.056
0.17,0.837,8.841,19.552,0.119
0.511,0.368,3.637,9.361,0.369
0.0,1.0,6.392,18.087,0.078
0.17,0.833,7.791,17.635,0.131
0.149,0.851,10.016,21.604,0.102
0.681,0.158,2.266,5.41,0.566
0.043,0.957,7.604,17.59,0.09
0.106,0.886,9.366,20.323,0.093
0.319,0.634,5.26,13.769,0.223
0.085,0.857,4.083,10.843,0.195
0.043,0.953,8.551,20.08,0.075
0.064,0.929,10.389,23.69,0.066
0.0,1.0,9.273,21.843,0.052
0.0,1.0,10.011,26.436,0.039
0.149,0.865,4.67,12.025,0.192
0.17,0.805,10.604,23.868,0.101
0.213,0.815,9.03,22.358,0.122
0.064,0.897,8.97,20.585,0.079
0.213,0.714,4.08,9.788,0.254
0.255,0.707,4.219,9.299,0.274
0.149,0.841,10.531,24.062,0.093
0.043,0.957,9.695,22.613,0.063
0.17,0.81,10.059,21.633,0.109
0.106,0.889,4.815,13.518,0.159
0.213,0.773,4.507,10.366,0.238
0.0,1.0,9.767,25.483,0.041
0.0,1.0,9.73,26.202,0.039
0.468,0.312,1.996,4.605,0.534
0.021,0.976,6.195,13.717,0.118
0.064,0.932,6.351,13.726,0.131
0.362,0.346,4.194,9.811,0.301
0.021,0.976,9.402,22.099,0.058
0.106,0.861,5.728,15.466,0.134
0.106,0.861,4.168,10.825,0.201
0.17,0.795,4.914,10.802,0.213
0.106,0.889,8.748,20.279,0.095
0.021,0.976,8.232,19.171,0.073
0.447,0.364,2.061,4.51,0.524
0.66,0.279,1.929,4.191,0.614
0.511,0.556,3.189,7.159,0.426
0.0,1.0,11.221,28.012,0.034
0.043,0.963,9.247,19.84,0.074
0.0,1.0,8.664,21.618,0.054
0.043,0.947,8.786,19.448,0.077
0.0,1.0,11.333,26.907,0.036
0.362,0.614,3.078,7.873,0.364
0.0,1.0,13.122,31.237,0.027
0.0,1.0,9.366,23.284,0.048
0.213,0.697,4.572,10.374,0.237
0.0,1.0,7.717,22.067,0.055
0.064,0.912,11.105,24.582,0.063
0.0,1.0,9.237,24.233,0.045
0.0,1.0,10.506,25.17,0.041
0.064,0.921,9.813,22.492,0.071
0.064,0.912,9.655,22.27,0.072
0.043,0.917,8.407,19.063,0.08
0.298,0.588,4.214,9.947,0.277
0.085,0.902,6.22,16.01,0.12
0.0,1.0,9.693,25.122,0.042
0.468,0.45,2.229,4.936,0.509
0.106,0.872,8.678,19.016,0.101
0.106,0.861,9.334,20.448,0.093
0.043,0.913,4.732,12.19,0.154
0.106,0.848,4.425,12.321,0.177
0.426,0.474,3.932,8.926,0.343
0.277,0.581,6.462,16.918,0.176
0.064,0.9,4.414,12.437,0.162
0.149,0.811,4.792,12.083,0.19
0.149,0.816,9.854,21.933,0.101
0.0,1.0,9.642,25.026,0.042
0.0,1.0,11.932,33.298,0.026
0.106,0.844,9.835,21.549,0.088
0.447,0.604,3.376,7.689,0.387
0.447,0.475,4.885,12.959,0.278
0.149,0.8,11.872,26.129,0.087
0.0,1.0,8.762,20.57,0.058
0.0,1.0,11.32,28.263,0.033
0.064,0.906,9.735,23.146,0.069
0.0,1.0,11.692,29.9,0.03
0.043,0.941,4.902,13.12,0.141
0.128,0.769,11.368,26.229,0.08
0.0,1.0,9.651,24.99,0.042
0.085,0.867,7.629,18.514,0.099
0.021,0.964,5.454,13.278,0.127
0.34,0.619,5.78,13.484,0.229
0.532,0.375,2.272,5.12,0.523
0.234,0.686,6.003,13.75,0.19
0.0,1.0,9.986,25.466,0.041
0.191,0.809,9.109,22.979,0.113
0.021,0.97,7.997,17.562,0.082
0.0,1.0,6.496,14.67,0.101
0.234,0.676,3.326,8.345,0.304
0.106,0.868,5.044,11.412,0.181
0.234,0.656,3.864,8.886,0.281
0.0,1.0,7.948,19.577,0.064
0.0,1.0,11.588,30.665,0.029
0.085,0.867,6.008,13.863,0.139
0.277,0.581,3.91,9.953,0.276
0.021,0.978,8.075,19.488,0.071
