Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,16.016,49.365,0.012
0.0,1.0,8.554,25.118,0.044
0.0,1.0,15.377,47.687,0.013
0.0,1.0,8.684,26.824,0.04
0.0,1.0,9.739,28.523,0.035
0.0,1.0,9.917,29.118,0.034
0.0,1.0,14.886,46.16,0.014
0.074,0.939,7.998,23.46,0.075
0.0,1.0,15.714,48.543,0.013
0.0,1.0,8.889,27.048,0.039
0.0,1.0,9.344,27.046,0.038
0.0,1.0,16.461,50.446,0.012
0.0,1.0,16.44,50.726,0.012
0.0,1.0,15.862,48.96,0.013
0.0,1.0,15.928,49.175,0.013
0.0,1.0,9.682,28.161,0.036
0.0,1.0,7.921,24.408,0.048
0.0,1.0,9.203,27.079,0.039
0.0,1.0,14.488,44.611,0.015
0.0,1.0,17.883,54.636,0.01
0.0,1.0,15.847,48.921,0.013
0.0,1.0,18.324,56.287,0.01
0.0,1.0,9.368,27.602,0.037
0.0,1.0,9.889,27.925,0.036
0.0,1.0,15.581,48.817,0.013
0.0,1.0,8.174,24.224,0.047
0.0,1.0,9.505,27.818,0.037
0.0,1.0,8.776,25.707,0.042
0.0,1.0,8.085,23.906,0.049
0.0,1.0,8.548,26.32,0.041
0.0,1.0,15.813,48.798,0.013
0.0,1.0,15.599,48.529,0.013
0.0,1.0,14.263,43.65,0.016
0.0,1.0,9.028,26.509,0.04
0.0,1.0,9.689,28.408,0.035
0.0,1.0,9.831,28.936,0.034
0.0,1.0,16.5,51.053,0.012
0.0,1.0,16.409,50.616,0.012
0.0,1.0,15.583,48.467,0.013
0.0,1.0,8.342,24.783,0.046
0.0,1.0,10.321,30.024,0.032
0.0,1.0,8.506,25.938,0.042
0.0,1.0,10.497,29.773,0.032
0.074,0.939,6.925,20.204,0.09
0.0,1.0,15.481,47.712,0.013
0.0,1.0,10.313,29.727,0.032
0.0,1.0,8.401,26.061,0.042
0.0,1.0,9.992,29.347,0.033
0.0,1.0,15.408,47.717,0.013
0.0,1.0,9.2,28.568,0.036
0.0,1.0,16.632,50.899,0.012
0.0,1.0,17.545,53.672,0.011
0.0,1.0,15.464,47.925,0.013
0.0,1.0,18.341,56.199,0.01
0.0,1.0,9.704,28.637,0.035
0.0,1.0,10.138,29.571,0.033
0.0,1.0,16.912,52.104,0.011
0.0,1.0,5.636,17.722,0.084
0.0,1.0,10.035,29.559,0.033
0.0,1.0,11.473,34.588,0.025
0.0,1.0,10.342,30.984,0.03
0.0,1.0,16.782,51.304,0.012
0.0,1.0,8.789,25.513,0.043
0.0,1.0,10.091,29.597,0.033
0.0,1.0,15.687,48.612,0.013
0.0,1.0,17.959,55.105,0.01
0.0,1.0,10.465,30.866,0.03
0.0,1.0,8.93,27.325,0.039
0.0,1.0,7.217,22.467,0.056
0.0,1.0,9.68,29.108,0.034
0.0,1.0,9.639,28.307,0.035
0.037,0.968,8.853,25.905,0.054
0.0,1.0,8.686,25.498,0.043
0.0,1.0,16.956,51.917,0.011
0.0,1.0,18.591,56.965,0.009
0.0,1.0,10.371,29.542,0.032
0.0,1.0,9.32,26.683,0.039
0.0,1.0,8.095,23.554,0.049
0.0,1.0,16.059,49.885,0.012
0.0,1.0,11.244,34.769,0.025
0.0,1.0,5.889,18.566,0.078
0.0,1.0,9.166,27.936,0.037
0.0,1.0,15.473,47.807,0.013
0.0,1.0,16.3,50.216,0.012
0.0,1.0,9.521,28.495,0.035
0.0,1.0,9.487,27.309,0.038
0.0,1.0,9.527,27.374,0.037
0.0,1.0,8.532,24.471,0.046
0.0,1.0,9.354,27.735,0.037
0.0,1.0,9.172,26.631,0.04
0.0,1.0,16.041,49.515,0.012
0.0,1.0,16.22,49.766,0.012
0.0,1.0,10.14,29.919,0.032
0.0,1.0,9.943,28.971,0.034
0.0,1.0,10.904,31.267,0.029
0.0,1.0,9.713,28.34,0.035
0.0,1.0,10.399,29.598,0.032
0.0,1.0,9.749,28.713,0.035
0.0,1.0,10.41,31.518,0.029
0.0,1.0,13.03,40.066,0.019
