Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,11.575,31.362,0.028
0.0,1.0,14.094,37.911,0.02
0.0,1.0,13.939,37.538,0.02
0.0,1.0,13.663,37.999,0.02
0.0,1.0,16.248,42.306,0.016
0.045,0.926,13.778,34.376,0.038
0.0,1.0,13.56,36.647,0.021
0.0,1.0,12.339,33.332,0.025
0.0,1.0,17.565,45.284,0.014
0.0,1.0,15.955,42.048,0.016
0.0,1.0,16.849,43.723,0.015
0.082,0.836,5.714,14.683,0.132
0.0,1.0,15.595,42.872,0.016
0.0,1.0,17.766,47.234,0.013
0.0,1.0,12.333,33.251,0.025
0.0,1.0,15.868,41.529,0.016
0.136,0.754,5.428,14.235,0.157
0.0,1.0,19.031,48.953,0.012
0.0,1.0,12.795,34.532,0.024
0.0,1.0,16.579,43.624,0.015
0.0,1.0,8.986,23.199,0.048
0.0,1.0,16.734,44.217,0.015
0.0,1.0,12.258,32.753,0.026
0.0,1.0,12.562,33.75,0.025
0.0,1.0,14.381,37.427,0.02
0.191,0.667,2.612,6.615,0.354
0.0,1.0,17.747,45.848,0.013
0.0,1.0,15.558,41.392,0.017
0.0,1.0,13.37,36.13,0.022
0.0,1.0,14.758,39.867,0.018
0.0,1.0,14.103,38.122,0.02
0.0,1.0,12.032,31.73,0.027
0.0,1.0,13.613,36.328,0.021
0.0,1.0,17.155,44.822,0.014
0.0,1.0,11.84,33.427,0.026
0.0,1.0,17.502,45.477,0.014
0.0,1.0,15.18,41.118,0.017
0.0,1.0,13.358,35.598,0.022
0.0,1.0,14.6,38.962,0.019
0.0,1.0,17.381,45.868,0.014
0.0,1.0,12.928,34.711,0.023
0.0,1.0,17.552,47.781,0.013
0.0,1.0,17.002,45.258,0.014
0.0,1.0,17.765,46.879,0.013
0.0,1.0,13.084,35.691,0.022
0.0,1.0,14.612,38.22,0.019
0.073,0.852,7.1,18.011,0.099
0.0,1.0,14.583,39.465,0.018
0.0,1.0,11.163,30.283,0.03
0.0,1.0,10.32,27.235,0.036
0.0,1.0,11.909,32.223,0.027
0.0,1.0,17.354,44.709,0.014
0.0,1.0,14.854,38.361,0.019
0.0,1.0,14.522,38.619,0.019
0.018,0.962,12.691,32.241,0.032
0.0,1.0,14.563,38.65,0.019
0.0,1.0,13.362,35.731,0.022
0.0,1.0,10.21,27.813,0.036
0.009,0.982,11.697,31.335,0.031
0.0,1.0,15.28,40.667,0.017
0.0,1.0,15.045,41.402,0.017
0.0,1.0,13.142,35.393,0.022
0.0,1.0,15.726,41.579,0.016
0.0,1.0,14.24,37.643,0.02
0.0,1.0,17.793,46.418,0.013
0.127,0.788,4.894,12.35,0.178
0.036,0.909,10.209,25.35,0.053
0.0,1.0,16.323,42.53,0.016
0.0,1.0,13.259,35.504,0.022
0.009,0.983,13.386,35.024,0.026
0.0,1.0,14.246,38.324,0.019
0.0,1.0,9.498,27.065,0.038
0.091,0.815,6.104,15.885,0.123
0.0,1.0,12.18,32.955,0.026
0.0,1.0,15.66,43.019,0.016
0.0,1.0,17.115,44.703,0.014
0.0,1.0,10.186,26.148,0.039
0.0,1.0,14.416,39.672,0.018
0.0,1.0,13.11,35.536,0.022
0.0,1.0,11.218,30.856,0.029
0.0,1.0,11.414,30.544,0.03
0.0,1.0,14.286,38.759,0.019
0.018,0.959,13.578,34.658,0.029
0.036,0.917,10.827,27.071,0.048
0.0,1.0,12.756,36.307,0.022
0.0,1.0,16.193,43.602,0.015
0.0,1.0,12.043,32.408,0.027
0.0,1.0,10.808,30.316,0.031
0.0,1.0,13.89,39.235,0.019
0.0,1.0,10.966,29.818,0.031
0.073,0.864,13.778,33.699,0.048
0.0,1.0,14.533,38.895,0.019
0.0,1.0,17.484,48.182,0.012
0.0,1.0,12.449,33.6,0.025
0.0,1.0,17.205,44.99,0.014
0.0,1.0,11.368,31.628,0.028
0.0,1.0,15.763,41.265,0.017
0.0,1.0,15.299,39.543,0.018
0.109,0.721,4.023,10.478,0.209
0.0,1.0,15.949,43.746,0.015
