Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.057,0.941,6.054,20.475,0.087
0.057,0.935,6.484,21.888,0.08
0.029,0.964,6.507,21.808,0.07
0.0,1.0,7.427,25.029,0.048
0.0,1.0,7.04,24.089,0.051
0.057,0.943,6.747,22.676,0.076
0.0,1.0,6.458,21.83,0.061
0.029,0.964,5.906,20.135,0.08
0.0,1.0,7.341,25.038,0.048
0.0,1.0,6.251,20.931,0.065
0.057,0.926,6.84,23.018,0.074
0.0,1.0,6.256,21.402,0.064
0.0,1.0,7.094,24.305,0.051
0.2,0.75,3.197,10.334,0.261
0.0,1.0,7.031,23.609,0.053
0.286,0.615,3.216,10.222,0.291
0.0,1.0,5.553,18.846,0.079
0.0,1.0,7.498,24.953,0.047
0.0,1.0,6.051,20.274,0.069
0.0,1.0,6.305,21.177,0.064
0.029,0.96,6.745,22.675,0.066
0.057,0.933,6.777,22.803,0.075
0.0,1.0,6.796,23.232,0.055
0.0,1.0,7.356,25.231,0.047
0.029,0.952,6.309,21.28,0.073
0.229,0.667,3.252,10.555,0.266
0.0,1.0,7.439,25.466,0.046
0.0,1.0,6.527,22.318,0.059
0.029,0.966,6.854,23.081,0.065
0.0,1.0,7.087,24.083,0.051
0.0,1.0,4.337,14.566,0.12
0.029,0.963,6.541,21.955,0.07
0.0,1.0,7.061,23.894,0.052
0.0,1.0,5.858,19.892,0.072
0.0,1.0,7.143,24.509,0.05
0.0,1.0,6.636,22.752,0.057
0.257,0.719,3.403,10.981,0.265
0.086,0.917,5.509,18.508,0.11
0.0,1.0,7.38,25.281,0.047
0.0,1.0,6.927,23.695,0.053
0.0,1.0,7.094,23.927,0.052
0.029,0.97,6.109,20.506,0.077
0.029,0.971,6.569,22.027,0.069
0.0,1.0,6.481,22.202,0.06
0.0,1.0,7.132,24.374,0.05
0.0,1.0,6.428,21.707,0.062
0.029,0.964,6.429,21.701,0.071
0.0,1.0,7.605,26.06,0.045
0.0,1.0,7.348,25.104,0.048
0.029,0.971,6.54,21.941,0.07
0.0,1.0,7.943,26.43,0.043
0.0,1.0,7.691,25.491,0.046
0.0,1.0,6.534,22.094,0.06
0.0,1.0,6.824,23.273,0.055
0.029,0.967,6.314,21.193,0.074
0.0,1.0,6.919,23.647,0.053
0.2,0.708,3.459,11.234,0.241
0.0,1.0,10.473,34.937,0.025
0.029,0.955,5.763,19.522,0.084
0.029,0.96,6.278,21.171,0.074
0.057,0.939,6.549,21.986,0.079
0.0,1.0,5.609,19.061,0.078
0.0,1.0,6.031,20.433,0.069
0.0,1.0,6.917,23.665,0.053
0.057,0.926,7.053,23.875,0.071
0.057,0.917,7.186,24.322,0.069
0.0,1.0,6.73,22.357,0.058
0.0,1.0,6.024,20.312,0.069
0.0,1.0,7.206,24.417,0.05
0.0,1.0,6.189,20.709,0.067
0.0,1.0,7.293,25.01,0.048
0.0,1.0,6.91,23.236,0.054
0.057,0.929,6.428,21.668,0.081
0.0,1.0,6.502,22.088,0.06
0.229,0.714,3.3,10.613,0.264
0.0,1.0,8.085,26.91,0.041
0.2,0.731,3.458,11.113,0.242
0.0,1.0,6.192,20.858,0.066
0.0,1.0,6.865,23.45,0.054
0.0,1.0,9.361,31.037,0.032
0.0,1.0,7.045,24.138,0.051
0.0,1.0,6.783,22.5,0.057
0.029,0.963,7.451,25.135,0.057
0.0,1.0,7.954,26.813,0.042
0.0,1.0,6.429,21.682,0.062
0.029,0.96,6.773,22.78,0.066
0.0,1.0,6.018,20.499,0.068
0.029,0.963,6.149,20.842,0.076
0.029,0.95,6.963,23.46,0.063
0.171,0.812,3.416,11.276,0.232
0.029,0.963,7.318,24.758,0.058
0.0,1.0,6.637,22.663,0.057
0.0,1.0,12.53,42.268,0.018
0.0,1.0,6.546,22.275,0.059
0.0,1.0,6.345,21.671,0.062
0.286,0.677,3.411,10.807,0.277
0.0,1.0,7.007,23.751,0.052
0.0,1.0,5.972,20.269,0.07
0.029,0.969,5.695,19.406,0.085
0.029,0.952,5.301,17.94,0.095
