Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.351,0.474,1.447,4.7,0.545
0.193,0.756,4.715,15.46,0.172
0.193,0.756,5.022,16.331,0.163
0.053,0.917,6.371,20.986,0.082
0.035,0.947,6.264,20.753,0.078
0.368,0.543,3.043,9.971,0.328
0.053,0.909,4.832,16.412,0.117
0.404,0.489,1.374,4.445,0.577
0.614,0.271,1.314,4.476,0.654
0.368,0.475,1.69,5.502,0.505
0.193,0.766,5.061,16.435,0.162
0.333,0.457,1.368,4.456,0.555
0.421,0.415,2.214,7.189,0.44
0.368,0.447,2.929,9.671,0.337
0.281,0.6,3.544,11.62,0.26
0.281,0.714,4.301,13.758,0.222
0.053,0.921,6.275,20.656,0.084
0.333,0.604,1.874,6.253,0.458
0.053,0.909,6.529,21.563,0.079
0.386,0.405,1.571,5.1,0.533
0.228,0.783,4.279,13.526,0.207
0.421,0.52,1.791,6.066,0.499
0.211,0.625,4.14,13.315,0.205
0.544,0.205,1.885,6.421,0.523
0.298,0.614,2.507,8.155,0.361
0.368,0.462,1.768,5.733,0.491
0.649,0.245,0.971,3.287,0.741
0.386,0.405,2.174,7.04,0.434
0.368,0.475,2.148,6.993,0.431
0.368,0.488,1.785,5.743,0.49
0.298,0.63,2.938,9.813,0.311
0.053,0.893,6.325,21.052,0.082
0.368,0.382,1.735,5.665,0.496
0.228,0.649,2.227,7.269,0.373
0.351,0.474,1.413,4.569,0.552
0.596,0.209,1.556,5.281,0.6
0.526,0.211,1.561,5.297,0.576
0.053,0.875,6.497,21.834,0.078
0.719,0.196,1.04,3.465,0.751
0.053,0.906,4.78,16.271,0.119
0.561,0.373,1.328,4.52,0.634
0.158,0.71,4.131,13.072,0.191
0.333,0.406,1.885,6.189,0.458
0.088,0.872,4.733,16.005,0.133
0.526,0.167,2.003,6.822,0.498
0.351,0.459,2.119,6.943,0.428
0.263,0.634,5.042,16.514,0.185
0.088,0.815,4.892,16.604,0.127
0.193,0.766,3.871,12.188,0.217
0.158,0.71,4.128,13.073,0.191
0.211,0.721,4.057,12.946,0.211
0.649,0.245,1.156,3.913,0.701
0.386,0.436,3.905,13.251,0.269
0.053,0.9,5.046,17.151,0.11
0.07,0.882,4.835,16.396,0.123
0.614,0.239,1.049,3.558,0.712
0.175,0.756,4.661,15.3,0.168
0.193,0.761,4.081,12.837,0.206
0.316,0.514,2.037,6.667,0.429
0.561,0.304,1.931,6.624,0.52
0.211,0.613,2.363,7.998,0.343
0.737,0.176,0.902,2.991,0.787
0.404,0.477,1.651,5.283,0.526
0.316,0.581,2.762,8.997,0.338
0.228,0.705,4.059,12.765,0.218
0.263,0.595,2.937,9.714,0.301
0.07,0.875,4.757,16.138,0.126
0.298,0.605,2.005,6.688,0.425
0.333,0.441,1.943,6.314,0.45
0.544,0.139,2.327,7.885,0.458
0.579,0.195,1.212,4.141,0.664
0.053,0.903,6.281,20.818,0.083
0.333,0.486,2.091,7.076,0.421
0.544,0.244,1.689,5.776,0.556
0.386,0.463,1.994,6.459,0.46
0.368,0.4,1.567,5.101,0.527
0.439,0.324,2.968,9.96,0.354
0.246,0.641,3.427,11.219,0.257
0.193,0.656,2.232,7.375,0.358
0.053,0.875,6.603,22.114,0.077
0.158,0.719,4.189,13.347,0.187
0.579,0.132,1.394,4.668,0.628
0.368,0.344,1.684,5.559,0.504
0.491,0.263,1.595,5.47,0.556
0.053,0.893,4.835,16.47,0.117
0.404,0.395,3.684,12.505,0.287
0.018,0.979,9.501,31.55,0.037
0.298,0.564,2.664,8.677,0.343
0.228,0.639,4.21,13.459,0.209
0.298,0.585,3.197,10.365,0.294
0.053,0.897,5.328,18.079,0.102
0.246,0.641,3.289,10.745,0.268
0.333,0.548,1.97,6.556,0.442
0.386,0.463,1.866,6.095,0.48
0.158,0.679,3.098,10.125,0.254
0.0,1.0,6.283,21.123,0.064
0.175,0.722,4.284,13.605,0.188
0.263,0.583,2.87,9.423,0.309
0.579,0.267,1.301,4.421,0.646
0.421,0.226,2.185,7.445,0.436
