Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,14.652,41.117,0.017
0.0,1.0,10.982,28.091,0.034
0.0,1.0,10.157,30.312,0.031
0.064,0.921,9.337,24.139,0.066
0.043,0.943,7.93,21.164,0.072
0.0,1.0,7.611,20.823,0.06
0.021,0.976,8.469,22.126,0.06
0.021,0.974,10.236,26.836,0.044
0.0,1.0,8.942,26.805,0.04
0.0,1.0,11.685,31.129,0.029
0.0,1.0,10.304,27.936,0.035
0.0,1.0,9.997,26.301,0.039
0.0,1.0,11.386,33.127,0.026
0.085,0.9,6.072,15.835,0.122
0.0,1.0,9.345,24.338,0.045
0.0,1.0,9.289,25.203,0.043
0.0,1.0,9.649,26.778,0.038
0.021,0.976,8.939,23.617,0.054
0.0,1.0,10.75,28.175,0.034
0.021,0.972,7.121,21.428,0.067
0.0,1.0,13.373,36.115,0.022
0.0,1.0,8.664,26.066,0.042
0.0,1.0,9.633,25.828,0.04
0.0,1.0,9.649,26.824,0.038
0.0,1.0,11.881,35.09,0.024
0.0,1.0,7.594,21.911,0.056
0.0,1.0,10.855,31.97,0.028
0.021,0.97,9.94,26.534,0.046
0.021,0.974,9.118,24.498,0.052
0.021,0.975,7.884,20.91,0.066
0.0,1.0,14.114,38.781,0.019
0.021,0.975,11.511,29.946,0.038
0.021,0.976,7.869,20.838,0.066
0.0,1.0,10.522,31.673,0.029
0.0,1.0,12.968,38.973,0.02
0.0,1.0,9.988,26.076,0.039
0.0,1.0,10.444,27.902,0.035
0.0,1.0,11.653,30.522,0.029
0.021,0.971,9.535,25.271,0.049
0.0,1.0,12.924,36.46,0.022
0.0,1.0,11.724,31.574,0.028
0.0,1.0,12.565,34.793,0.023
0.021,0.967,11.594,30.486,0.037
0.0,1.0,10.593,28.125,0.034
0.0,1.0,11.785,34.575,0.024
0.0,1.0,11.701,34.856,0.024
0.0,1.0,9.344,28.023,0.036
0.0,1.0,11.21,29.672,0.031
0.021,0.969,8.114,21.729,0.062
0.0,1.0,13.987,39.186,0.019
0.0,1.0,11.678,30.1,0.03
0.0,1.0,14.031,37.575,0.02
0.0,1.0,9.765,26.474,0.039
0.043,0.959,5.828,16.108,0.107
0.0,1.0,11.169,30.194,0.03
0.0,1.0,13.264,36.075,0.022
0.0,1.0,12.2,32.175,0.027
0.0,1.0,11.251,30.122,0.03
0.064,0.893,8.428,20.725,0.08
0.0,1.0,10.098,30.148,0.032
0.0,1.0,11.608,30.094,0.03
0.0,1.0,10.869,28.704,0.033
0.0,1.0,10.326,30.928,0.03
0.0,1.0,6.505,18.508,0.075
0.0,1.0,12.104,33.926,0.025
0.043,0.944,6.909,18.576,0.087
0.0,1.0,10.316,30.661,0.031
0.021,0.975,8.425,22.272,0.06
0.0,1.0,9.711,25.417,0.041
0.064,0.917,10.268,26.414,0.06
0.0,1.0,11.329,32.55,0.027
0.021,0.979,11.288,29.987,0.038
0.0,1.0,13.038,37.468,0.021
0.0,1.0,12.469,37.424,0.021
0.0,1.0,7.648,22.648,0.054
0.0,1.0,11.52,31.539,0.028
0.021,0.974,11.418,30.005,0.038
0.0,1.0,6.977,19.578,0.068
0.021,0.975,8.546,22.647,0.058
0.0,1.0,8.719,23.243,0.049
0.0,1.0,6.788,20.656,0.064
0.0,1.0,10.028,29.312,0.033
0.0,1.0,11.356,30.432,0.03
0.0,1.0,11.272,29.386,0.032
0.0,1.0,11.567,31.594,0.028
0.0,1.0,11.864,32.045,0.027
0.0,1.0,11.73,31.92,0.027
0.0,1.0,11.379,33.592,0.026
0.0,1.0,10.454,26.988,0.037
0.0,1.0,8.877,23.377,0.048
0.043,0.947,9.074,24.001,0.06
0.043,0.939,11.01,28.58,0.047
0.021,0.974,9.864,25.926,0.047
0.0,1.0,11.638,30.686,0.029
0.064,0.893,8.895,22.616,0.072
0.0,1.0,7.817,22.08,0.055
0.0,1.0,13.431,39.399,0.019
0.0,1.0,13.97,37.58,0.02
0.0,1.0,11.441,30.213,0.03
0.021,0.984,6.962,18.524,0.08
