Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.108,0.917,7.884,14.561,0.132
0.027,0.977,12.691,28.937,0.04
0.0,1.0,11.718,23.379,0.044
0.054,0.946,13.547,30.221,0.046
0.0,1.0,11.882,26.574,0.036
0.081,0.943,11.063,21.593,0.078
0.027,0.971,12.272,25.649,0.047
0.0,1.0,11.821,29.698,0.031
0.027,0.977,11.071,21.718,0.059
0.081,0.923,13.315,24.537,0.067
0.054,0.929,14.646,30.888,0.045
0.0,1.0,12.494,28.17,0.033
0.081,0.95,10.398,19.443,0.087
0.0,1.0,11.783,25.5,0.039
0.027,0.979,12.558,25.833,0.046
0.054,0.957,9.835,17.977,0.087
0.027,0.974,10.704,22.115,0.058
0.027,0.97,7.664,13.829,0.113
0.0,1.0,12.208,26.308,0.036
0.054,0.95,10.378,19.426,0.078
0.054,0.957,10.686,20.993,0.071
0.0,1.0,9.71,18.393,0.066
0.0,1.0,12.235,25.178,0.039
0.135,0.911,6.892,12.286,0.168
0.0,1.0,14.882,34.257,0.023
0.216,0.789,6.806,15.432,0.165
0.0,1.0,14.173,33.75,0.024
0.0,1.0,13.315,28.837,0.031
0.27,0.8,8.245,17.345,0.165
0.054,0.952,12.397,23.877,0.06
0.135,0.884,13.977,31.379,0.072
0.0,1.0,12.075,24.376,0.041
0.027,0.978,10.624,24.744,0.051
0.054,0.957,9.389,18.357,0.085
0.027,0.971,10.596,19.221,0.07
0.027,0.97,12.803,27.585,0.042
0.0,1.0,13.325,30.474,0.028
0.027,0.976,11.843,25.767,0.047
0.027,0.974,12.954,29.005,0.04
0.027,0.972,13.835,29.179,0.039
0.0,1.0,10.801,25.905,0.039
0.081,0.952,9.106,18.363,0.095
0.027,0.955,10.644,20.701,0.064
0.0,1.0,10.852,21.835,0.05
0.0,1.0,10.539,23.45,0.045
0.189,0.844,7.396,15.398,0.154
0.027,0.975,12.125,23.961,0.051
0.054,0.944,11.971,26.48,0.054
0.0,1.0,13.886,29.495,0.029
0.0,1.0,10.945,21.303,0.052
0.0,1.0,12.674,29.064,0.031
0.027,0.971,10.285,21.288,0.062
0.054,0.962,13.026,27.088,0.052
0.054,0.935,12.562,27.633,0.052
0.0,1.0,12.065,26.056,0.037
0.0,1.0,12.575,28.5,0.032
0.054,0.931,11.039,27.27,0.054
0.081,0.933,11.728,24.601,0.068
0.0,1.0,10.728,24.345,0.043
0.054,0.957,11.285,20.468,0.073
0.027,0.968,10.079,20.387,0.066
0.054,0.953,9.961,17.782,0.087
0.0,1.0,10.883,21.576,0.051
0.027,0.974,10.527,23.005,0.056
0.0,1.0,12.14,29.875,0.03
0.027,0.982,10.803,20.71,0.063
0.027,0.969,11.777,24.452,0.05
0.027,0.98,12.062,28.703,0.041
0.135,0.857,9.15,18.133,0.114
0.027,0.974,11.116,22.538,0.056
0.0,1.0,15.268,33.347,0.024
0.027,0.975,11.929,26.365,0.046
0.027,0.975,12.962,25.97,0.046
0.0,1.0,12.942,29.596,0.03
0.0,1.0,13.331,28.611,0.031
0.0,1.0,10.972,22.498,0.048
0.054,0.939,12.274,25.922,0.055
0.081,0.936,6.76,15.209,0.122
0.054,0.95,9.392,17.963,0.087
0.0,1.0,13.883,31.263,0.027
0.027,0.944,11.89,27.266,0.044
0.027,0.979,12.262,23.708,0.052
0.0,1.0,11.926,28.078,0.033
0.027,0.973,14.238,29.527,0.038
0.081,0.927,10.897,23.441,0.072
0.081,0.909,10.589,22.33,0.076
0.054,0.957,7.099,14.107,0.121
0.0,1.0,12.083,27.302,0.035
0.0,1.0,13.264,30.378,0.028
0.0,1.0,11.391,22.86,0.046
0.0,1.0,14.392,31.189,0.027
0.0,1.0,8.659,16.016,0.083
0.081,0.923,13.909,28.296,0.058
0.0,1.0,12.381,22.432,0.047
0.0,1.0,12.182,27.424,0.034
0.0,1.0,12.718,25.995,0.037
0.0,1.0,11.055,22.965,0.046
0.243,0.892,7.135,14.514,0.18
0.0,1.0,11.114,24.783,0.041
0.054,0.939,13.262,29.136,0.048
