Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,12.702,32.777,0.026
0.0,1.0,11.786,29.768,0.03
0.0,1.0,11.538,27.909,0.034
0.0,1.0,14.373,32.352,0.025
0.0,1.0,16.587,40.305,0.017
0.0,1.0,12.431,30.161,0.029
0.0,1.0,11.015,26.686,0.037
0.0,1.0,10.991,26.865,0.036
0.0,1.0,13.753,34.509,0.023
0.109,0.889,9.617,23.18,0.084
0.0,1.0,9.095,22.797,0.05
0.0,1.0,11.222,27.239,0.035
0.0,1.0,10.806,26.578,0.037
0.0,1.0,12.545,33.102,0.025
0.0,1.0,9.494,24.523,0.044
0.0,1.0,15.698,35.46,0.021
0.055,0.921,9.434,21.243,0.072
0.0,1.0,13.972,31.373,0.027
0.091,0.886,7.906,19.801,0.094
0.0,1.0,15.088,38.052,0.019
0.0,1.0,15.855,35.667,0.021
0.0,1.0,13.167,29.626,0.03
0.0,1.0,12.858,29.223,0.03
0.0,1.0,13.982,37.086,0.02
0.0,1.0,11.335,29.675,0.031
0.0,1.0,11.365,25.899,0.038
0.0,1.0,13.949,34.221,0.023
0.0,1.0,13.508,31.869,0.026
0.0,1.0,11.69,28.701,0.032
0.073,0.909,9.503,23.608,0.071
0.036,0.974,9.838,23.36,0.059
0.0,1.0,11.525,28.432,0.033
0.0,1.0,15.866,37.538,0.019
0.073,0.889,7.26,17.289,0.103
0.0,1.0,12.112,26.641,0.036
0.0,1.0,12.611,33.0,0.025
0.0,1.0,12.535,32.874,0.026
0.0,1.0,15.423,34.931,0.022
0.0,1.0,18.04,41.285,0.016
0.091,0.881,8.509,18.294,0.1
0.0,1.0,13.715,33.398,0.024
0.0,1.0,13.465,30.073,0.029
0.0,1.0,13.403,34.364,0.023
0.145,0.758,12.714,27.446,0.082
0.0,1.0,13.02,28.778,0.031
0.055,0.929,9.756,22.015,0.069
0.0,1.0,14.564,36.9,0.02
0.0,1.0,15.106,38.493,0.019
0.0,1.0,13.77,36.371,0.021
0.0,1.0,13.129,34.875,0.023
0.0,1.0,12.269,27.685,0.034
0.0,1.0,14.41,36.947,0.02
0.0,1.0,10.651,26.775,0.037
0.0,1.0,11.413,27.645,0.034
0.0,1.0,12.928,31.923,0.026
0.0,1.0,9.896,24.919,0.042
0.0,1.0,13.835,30.31,0.028
0.036,0.949,10.465,25.118,0.053
0.0,1.0,15.47,34.967,0.022
0.055,0.927,11.559,26.839,0.054
0.055,0.942,12.222,29.055,0.049
0.145,0.837,7.177,15.453,0.14
0.0,1.0,14.52,37.328,0.02
0.0,1.0,14.167,32.134,0.025
0.091,0.878,9.67,24.393,0.074
0.0,1.0,11.893,30.047,0.03
0.018,0.979,12.211,28.124,0.039
0.0,1.0,13.85,36.872,0.021
0.0,1.0,13.149,30.04,0.029
0.018,0.973,9.085,19.608,0.068
0.0,1.0,13.993,36.67,0.021
0.0,1.0,10.207,24.852,0.042
0.0,1.0,10.207,25.173,0.041
0.0,1.0,13.654,34.21,0.023
0.0,1.0,13.561,35.511,0.022
0.0,1.0,9.536,23.458,0.047
0.0,1.0,12.406,31.379,0.028
0.0,1.0,14.045,37.272,0.02
0.0,1.0,12.754,29.649,0.03
0.018,0.979,9.28,22.421,0.056
0.055,0.938,8.961,22.128,0.07
0.0,1.0,14.941,38.416,0.019
0.0,1.0,12.668,28.355,0.032
0.0,1.0,12.081,27.225,0.035
0.0,1.0,9.429,24.096,0.045
0.018,0.98,11.418,29.133,0.038
0.0,1.0,17.6,39.75,0.017
0.236,0.78,6.373,13.792,0.188
0.109,0.829,10.156,21.694,0.088
0.0,1.0,10.613,26.036,0.039
0.273,0.7,5.72,13.11,0.211
0.0,1.0,12.403,27.757,0.033
0.073,0.879,10.015,23.496,0.07
0.018,0.98,8.69,20.378,0.065
0.036,0.949,9.395,23.212,0.06
0.0,1.0,14.844,35.047,0.022
0.0,1.0,8.484,21.163,0.056
0.036,0.956,8.802,21.261,0.067
0.127,0.851,8.777,18.311,0.111
0.0,1.0,8.999,22.128,0.052
