Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.033,0.947,12.345,39.672,0.031
0.1,0.895,11.391,36.162,0.056
0.0,1.0,5.545,18.218,0.082
0.022,0.962,11.803,37.954,0.029
0.056,0.935,10.397,32.758,0.046
0.056,0.932,8.643,27.37,0.058
0.167,0.776,2.913,9.429,0.275
0.033,0.936,13.827,44.597,0.027
0.122,0.861,2.912,9.453,0.26
0.067,0.913,11.626,37.115,0.044
0.044,0.925,13.122,41.975,0.032
0.011,0.984,13.01,41.865,0.021
0.167,0.795,3.05,9.708,0.265
0.0,1.0,12.445,40.025,0.019
0.0,1.0,6.11,20.121,0.069
0.011,0.984,11.39,36.383,0.027
0.0,1.0,8.147,26.915,0.041
0.056,0.93,10.478,33.325,0.046
0.022,0.973,4.433,14.567,0.126
0.011,0.985,12.216,39.358,0.024
0.0,1.0,6.958,22.932,0.055
0.022,0.971,9.209,28.916,0.043
0.022,0.958,9.649,30.717,0.039
0.011,0.982,12.403,39.851,0.023
0.044,0.932,7.958,24.95,0.061
0.256,0.641,3.067,9.825,0.292
0.033,0.966,10.517,33.595,0.038
0.044,0.949,11.184,35.758,0.039
0.178,0.771,3.36,10.884,0.241
0.089,0.887,2.976,9.705,0.242
0.089,0.879,9.78,31.24,0.06
0.0,1.0,7.565,24.935,0.047
0.0,1.0,7.391,24.336,0.049
0.033,0.942,9.58,30.502,0.043
0.0,1.0,6.492,21.371,0.062
0.011,0.985,5.853,19.254,0.079
0.011,0.983,7.535,23.909,0.054
0.0,1.0,7.285,24.031,0.051
0.189,0.702,3.372,10.856,0.245
0.0,1.0,6.518,21.489,0.062
0.178,0.758,1.766,5.595,0.432
0.033,0.939,14.632,46.944,0.025
0.033,0.963,10.19,32.098,0.04
0.033,0.96,9.494,29.782,0.044
0.022,0.971,8.355,26.448,0.049
0.122,0.766,5.003,16.338,0.139
0.022,0.964,9.549,30.402,0.04
0.044,0.958,9.567,30.09,0.047
0.0,1.0,7.22,23.715,0.052
0.033,0.946,3.788,12.335,0.164
0.0,1.0,6.392,21.067,0.064
0.011,0.984,8.424,26.612,0.045
0.0,1.0,6.269,20.635,0.066
0.033,0.938,8.354,26.386,0.053
0.022,0.964,9.26,29.028,0.042
0.033,0.946,10.501,33.652,0.038
0.022,0.967,9.337,29.385,0.042
0.022,0.957,8.91,28.196,0.044
0.022,0.972,8.543,27.017,0.047
0.033,0.957,8.925,28.183,0.048
0.022,0.966,10.611,33.709,0.034
0.078,0.887,10.852,34.411,0.051
0.233,0.691,1.834,5.886,0.437
0.011,0.984,8.88,27.848,0.041
0.056,0.946,9.458,29.775,0.052
0.0,1.0,12.366,39.802,0.019
0.022,0.955,13.429,43.361,0.024
0.033,0.945,8.915,27.959,0.048
0.033,0.963,9.929,31.172,0.042
0.044,0.92,7.764,24.63,0.062
0.022,0.966,9.569,30.058,0.04
0.022,0.966,11.57,36.917,0.03
0.3,0.74,3.025,9.596,0.312
0.067,0.915,12.108,38.779,0.043
0.0,1.0,7.219,23.78,0.052
0.022,0.967,10.966,35.316,0.032
0.011,0.982,9.158,28.752,0.039
0.022,0.96,12.339,39.725,0.027
0.033,0.944,10.048,31.783,0.041
0.033,0.954,9.277,29.157,0.046
0.044,0.939,13.321,42.791,0.032
0.0,1.0,6.201,20.314,0.068
0.011,0.983,7.949,25.068,0.05
0.022,0.962,6.185,20.321,0.076
0.033,0.965,9.313,29.246,0.046
0.1,0.836,2.642,8.486,0.282
0.022,0.958,7.498,24.685,0.056
0.122,0.825,2.826,9.141,0.269
0.0,1.0,7.976,26.197,0.043
0.0,1.0,12.108,38.927,0.02
0.067,0.891,3.22,10.32,0.216
0.056,0.936,9.81,30.979,0.049
0.022,0.971,9.326,29.236,0.042
0.178,0.765,2.685,8.556,0.304
0.0,1.0,6.444,21.23,0.063
0.044,0.922,9.811,30.842,0.046
0.111,0.815,2.609,8.433,0.288
0.033,0.955,12.206,39.206,0.031
0.033,0.948,10.701,33.876,0.037
0.2,0.69,2.163,6.914,0.376
