Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.053,0.932,7.925,19.067,0.085
0.04,0.941,8.586,20.75,0.071
0.093,0.873,9.247,22.321,0.082
0.067,0.891,7.875,18.96,0.09
0.027,0.955,8.494,20.409,0.068
0.093,0.848,11.104,27.144,0.067
0.067,0.884,9.432,22.726,0.071
0.053,0.918,8.197,19.799,0.08
0.173,0.764,4.197,10.411,0.229
0.133,0.767,8.763,21.482,0.099
0.067,0.896,7.938,19.119,0.089
0.053,0.913,9.307,22.622,0.067
0.027,0.967,7.29,17.565,0.086
0.24,0.719,2.334,5.867,0.403
0.04,0.939,8.531,20.766,0.071
0.04,0.921,10.032,24.601,0.056
0.053,0.911,8.965,21.806,0.071
0.067,0.906,8.127,19.606,0.086
0.147,0.766,3.104,7.846,0.292
0.053,0.923,8.026,19.361,0.083
0.053,0.909,9.587,23.138,0.065
0.107,0.846,9.107,22.227,0.087
0.187,0.702,3.896,9.601,0.252
0.04,0.946,7.299,17.727,0.089
0.173,0.667,4.136,10.239,0.233
0.147,0.75,4.333,10.741,0.213
0.16,0.684,4.662,11.674,0.2
0.133,0.815,3.077,7.768,0.29
0.08,0.885,8.806,21.496,0.081
0.067,0.912,8.567,20.795,0.08
0.04,0.938,10.29,25.427,0.054
0.093,0.865,9.349,22.86,0.08
0.08,0.875,7.935,19.235,0.093
0.04,0.939,9.765,23.654,0.059
0.133,0.783,9.447,23.407,0.091
0.187,0.682,4.257,10.488,0.231
0.093,0.829,10.845,26.628,0.068
0.08,0.878,9.431,22.832,0.075
0.107,0.818,9.784,24.638,0.079
0.053,0.925,8.4,20.319,0.078
0.08,0.882,9.711,23.393,0.073
0.067,0.881,10.403,25.076,0.063
0.013,0.98,8.569,20.608,0.063
0.067,0.875,10.174,24.676,0.065
0.04,0.936,4.729,12.255,0.152
0.12,0.786,10.311,25.346,0.081
0.2,0.706,3.164,7.926,0.306
0.067,0.907,7.996,19.236,0.088
0.12,0.769,5.929,15.137,0.14
0.04,0.94,5.007,12.987,0.141
0.173,0.74,4.909,12.323,0.194
0.107,0.805,7.212,17.846,0.111
0.107,0.818,8.122,19.57,0.099
0.147,0.725,4.05,9.969,0.229
0.053,0.92,9.186,22.399,0.068
0.213,0.698,2.093,5.107,0.429
0.253,0.642,3.693,9.44,0.281
0.213,0.68,4.007,9.749,0.256
0.04,0.927,8.569,20.757,0.071
0.053,0.892,11.887,29.525,0.049
0.093,0.889,7.843,18.831,0.099
0.027,0.941,8.382,20.84,0.067
0.04,0.945,5.179,13.339,0.135
0.12,0.775,11.166,27.231,0.076
0.107,0.869,9.854,23.825,0.081
0.053,0.897,9.359,22.478,0.068
0.04,0.945,3.385,8.628,0.232
0.04,0.935,9.776,23.556,0.059
0.053,0.907,10.86,26.677,0.055
0.0,1.0,9.333,23.891,0.046
0.067,0.902,9.572,23.23,0.07
0.027,0.96,8.123,21.009,0.067
0.08,0.875,4.148,10.638,0.195
0.067,0.848,9.729,23.509,0.068
0.027,0.95,8.342,20.068,0.07
0.147,0.756,4.197,10.393,0.22
0.067,0.898,8.343,20.349,0.082
0.12,0.836,8.388,20.31,0.1
0.067,0.896,8.272,20.059,0.084
0.093,0.868,8.239,19.946,0.093
0.067,0.896,9.383,22.614,0.072
0.04,0.917,5.461,14.174,0.125
0.107,0.818,3.474,8.911,0.247
0.04,0.946,8.084,19.48,0.078
0.16,0.727,4.837,12.168,0.192
0.107,0.822,10.139,24.607,0.078
0.04,0.938,8.132,19.58,0.077
0.027,0.96,8.938,21.889,0.062
0.133,0.792,4.696,11.69,0.191
0.027,0.95,6.379,16.287,0.098
0.08,0.872,8.232,19.817,0.089
0.187,0.75,4.3,10.922,0.224
0.027,0.947,9.82,23.58,0.055
0.053,0.922,3.621,9.239,0.219
0.2,0.667,2.704,6.691,0.351
0.12,0.775,8.386,20.238,0.1
0.2,0.694,4.249,10.615,0.234
0.053,0.895,8.979,21.85,0.071
0.067,0.875,6.201,15.803,0.115
0.2,0.712,3.782,9.385,0.262
