Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,13.858,33.227,0.024
0.0,1.0,14.504,36.74,0.02
0.0,1.0,11.563,29.683,0.031
0.0,1.0,14.478,33.894,0.023
0.0,1.0,12.714,32.006,0.027
0.028,0.98,13.659,32.123,0.035
0.0,1.0,13.682,35.248,0.022
0.0,1.0,12.709,32.798,0.026
0.0,1.0,12.921,33.226,0.025
0.0,1.0,16.132,39.311,0.018
0.0,1.0,14.792,34.839,0.022
0.0,1.0,13.025,33.664,0.024
0.0,1.0,11.676,27.998,0.034
0.0,1.0,16.244,38.282,0.018
0.0,1.0,11.41,29.722,0.031
0.0,1.0,14.736,34.864,0.022
0.0,1.0,15.997,37.577,0.019
0.0,1.0,11.716,28.09,0.033
0.0,1.0,13.998,35.274,0.022
0.0,1.0,10.692,25.427,0.04
0.0,1.0,16.285,38.487,0.018
0.0,1.0,14.012,35.8,0.022
0.0,1.0,12.264,29.118,0.031
0.0,1.0,11.328,26.999,0.036
0.0,1.0,10.958,29.333,0.032
0.0,1.0,12.372,29.929,0.03
0.0,1.0,13.979,33.759,0.024
0.0,1.0,16.115,38.187,0.019
0.111,0.886,5.051,11.875,0.177
0.0,1.0,14.435,36.471,0.021
0.0,1.0,14.235,36.324,0.021
0.0,1.0,12.138,31.369,0.028
0.0,1.0,16.317,39.7,0.017
0.0,1.0,14.485,36.372,0.021
0.0,1.0,10.534,27.996,0.035
0.0,1.0,11.35,27.291,0.035
0.0,1.0,14.884,35.204,0.022
0.028,0.977,13.165,32.125,0.035
0.0,1.0,14.213,33.418,0.024
0.0,1.0,10.235,25.832,0.04
0.0,1.0,15.887,37.395,0.019
0.0,1.0,15.485,36.202,0.021
0.0,1.0,12.589,31.612,0.027
0.0,1.0,14.786,35.155,0.022
0.0,1.0,14.901,35.865,0.021
0.0,1.0,11.152,26.521,0.037
0.0,1.0,10.654,27.735,0.035
0.0,1.0,11.201,27.983,0.034
0.0,1.0,14.547,36.971,0.02
0.0,1.0,15.427,36.713,0.02
0.0,1.0,10.998,26.022,0.038
0.0,1.0,13.723,34.403,0.023
0.0,1.0,11.259,27.153,0.036
0.0,1.0,11.771,29.174,0.031
0.0,1.0,10.815,28.952,0.033
0.0,1.0,12.335,29.288,0.031
0.0,1.0,12.758,32.612,0.026
0.0,1.0,12.146,30.136,0.03
0.0,1.0,9.373,25.403,0.042
0.0,1.0,14.681,35.262,0.022
0.0,1.0,12.302,29.352,0.031
0.167,0.864,7.368,15.749,0.144
0.0,1.0,11.776,27.965,0.034
0.0,1.0,11.873,28.598,0.032
0.0,1.0,13.593,33.992,0.024
0.056,0.941,12.201,30.185,0.048
0.083,0.921,11.336,26.018,0.066
0.0,1.0,14.597,38.264,0.019
0.0,1.0,16.247,38.662,0.018
0.0,1.0,15.635,37.264,0.02
0.0,1.0,11.49,27.715,0.034
0.0,1.0,16.348,40.389,0.017
0.0,1.0,14.854,37.341,0.02
0.0,1.0,15.631,37.215,0.02
0.0,1.0,12.484,30.182,0.029
0.0,1.0,11.047,26.549,0.037
0.0,1.0,14.023,37.595,0.02
0.0,1.0,14.953,35.425,0.021
0.0,1.0,7.446,19.665,0.065
0.0,1.0,11.609,28.228,0.033
0.0,1.0,11.163,29.862,0.031
0.0,1.0,16.306,38.121,0.019
0.083,0.927,8.088,17.049,0.105
0.0,1.0,15.662,37.495,0.019
0.0,1.0,9.474,23.771,0.046
0.0,1.0,10.741,25.555,0.04
0.0,1.0,11.564,27.915,0.034
0.0,1.0,10.945,26.189,0.038
0.0,1.0,16.252,38.141,0.019
0.0,1.0,10.588,28.234,0.034
0.0,1.0,11.096,29.038,0.032
0.0,1.0,16.61,38.896,0.018
0.0,1.0,14.15,35.657,0.022
0.111,0.907,8.648,19.12,0.102
0.0,1.0,13.127,33.819,0.024
0.0,1.0,10.979,26.392,0.037
0.083,0.903,11.865,29.729,0.058
0.0,1.0,15.067,35.885,0.021
0.0,1.0,12.018,31.57,0.028
0.0,1.0,11.395,29.719,0.031
