Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,13.635,33.581,0.024
0.0,1.0,13.641,33.204,0.024
0.119,0.884,4.909,12.492,0.174
0.0,1.0,16.191,39.109,0.018
0.0,1.0,14.863,36.674,0.02
0.0,1.0,12.35,30.644,0.029
0.024,0.984,7.472,16.169,0.093
0.0,1.0,12.712,31.673,0.027
0.0,1.0,12.54,31.711,0.027
0.0,1.0,14.386,35.579,0.022
0.0,1.0,17.372,42.486,0.015
0.0,1.0,14.794,36.908,0.02
0.0,1.0,14.001,34.493,0.023
0.0,1.0,12.391,30.838,0.028
0.0,1.0,15.095,35.314,0.022
0.0,1.0,12.464,30.925,0.028
0.143,0.842,3.856,9.366,0.242
0.0,1.0,15.31,37.866,0.019
0.048,0.953,5.622,13.643,0.131
0.167,0.829,9.708,20.033,0.114
0.286,0.733,4.42,9.339,0.281
0.0,1.0,16.965,40.936,0.016
0.0,1.0,12.72,32.0,0.027
0.095,0.875,10.091,20.78,0.087
0.0,1.0,13.141,32.914,0.025
0.0,1.0,14.496,35.906,0.021
0.0,1.0,14.855,37.068,0.02
0.0,1.0,13.262,33.166,0.025
0.0,1.0,12.096,32.159,0.027
0.19,0.818,5.497,12.575,0.191
0.0,1.0,17.036,41.858,0.016
0.0,1.0,14.653,36.034,0.021
0.167,0.816,10.675,21.767,0.106
0.0,1.0,11.878,29.389,0.031
0.071,0.912,7.114,14.792,0.121
0.238,0.714,4.28,9.714,0.26
0.071,0.933,5.472,12.903,0.148
0.0,1.0,11.08,29.758,0.031
0.0,1.0,11.922,30.361,0.029
0.214,0.757,8.722,17.506,0.145
0.0,1.0,15.667,38.798,0.018
0.119,0.881,9.758,21.158,0.094
0.0,1.0,15.909,39.678,0.018
0.0,1.0,14.634,36.262,0.021
0.0,1.0,15.335,37.979,0.019
0.0,1.0,14.856,36.863,0.02
0.0,1.0,15.526,38.568,0.019
0.071,0.912,7.997,16.52,0.105
0.0,1.0,13.855,33.489,0.024
0.286,0.7,3.997,8.28,0.307
0.333,0.682,3.691,7.954,0.336
0.0,1.0,13.89,34.708,0.023
0.0,1.0,12.693,32.13,0.026
0.0,1.0,14.096,34.84,0.022
0.143,0.838,9.716,20.029,0.106
0.0,1.0,16.861,40.815,0.016
0.0,1.0,15.907,39.368,0.018
0.214,0.769,3.906,8.288,0.285
0.262,0.711,4.495,9.328,0.272
0.0,1.0,13.762,33.986,0.024
0.0,1.0,14.482,36.394,0.021
0.333,0.588,4.197,9.05,0.305
0.048,0.949,6.293,15.531,0.111
0.0,1.0,15.334,38.764,0.018
0.0,1.0,16.202,39.03,0.018
0.0,1.0,12.068,30.119,0.03
0.048,0.959,4.875,11.634,0.161
0.0,1.0,14.639,36.27,0.021
0.0,1.0,15.23,38.272,0.019
0.143,0.846,9.875,20.138,0.106
0.167,0.788,3.72,8.282,0.273
0.024,0.976,11.024,24.834,0.049
0.0,1.0,15.586,38.892,0.018
0.19,0.83,8.712,17.947,0.134
0.0,1.0,14.68,34.93,0.022
0.0,1.0,15.541,38.513,0.019
0.119,0.889,10.624,21.654,0.091
0.0,1.0,13.93,34.135,0.023
0.0,1.0,14.565,36.103,0.021
0.405,0.595,3.247,6.738,0.398
0.0,1.0,16.518,40.028,0.017
0.0,1.0,12.491,32.107,0.027
0.0,1.0,13.665,34.752,0.023
0.286,0.7,4.39,9.308,0.282
0.0,1.0,13.302,32.755,0.025
0.119,0.894,7.553,17.413,0.116
0.095,0.882,9.597,20.091,0.09
0.0,1.0,13.194,34.295,0.024
0.0,1.0,11.564,28.933,0.032
0.0,1.0,16.072,39.426,0.018
0.0,1.0,16.035,38.562,0.018
0.0,1.0,14.69,36.277,0.021
0.0,1.0,12.116,30.557,0.029
0.0,1.0,14.04,33.418,0.024
0.0,1.0,13.72,33.727,0.024
0.071,0.949,5.86,14.502,0.13
0.0,1.0,12.548,31.774,0.027
0.167,0.837,5.913,13.583,0.17
0.024,0.973,12.576,29.852,0.038
0.0,1.0,14.001,34.645,0.023
