Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.149,0.787,5.743,13.921,0.162
0.103,0.897,9.964,22.989,0.082
0.023,0.963,11.138,26.272,0.045
0.023,0.962,15.423,36.123,0.028
0.057,0.914,13.721,32.058,0.045
0.0,1.0,7.103,17.949,0.075
0.0,1.0,7.177,17.953,0.075
0.034,0.929,13.117,30.751,0.039
0.046,0.935,10.6,25.05,0.056
0.0,1.0,6.353,15.965,0.091
0.034,0.944,6.948,17.208,0.092
0.0,1.0,6.353,16.063,0.091
0.023,0.955,14.599,34.689,0.03
0.046,0.937,10.934,25.58,0.055
0.011,0.98,9.022,22.576,0.054
0.011,0.976,10.114,25.5,0.044
0.034,0.944,7.439,18.382,0.083
0.023,0.96,10.415,24.542,0.05
0.126,0.761,7.833,19.349,0.108
0.0,1.0,6.917,17.503,0.079
0.046,0.915,14.7,34.504,0.038
0.034,0.938,15.325,36.178,0.032
0.023,0.951,15.41,36.349,0.028
0.057,0.902,13.159,30.325,0.048
0.08,0.881,9.127,22.687,0.077
0.023,0.961,10.622,26.542,0.045
0.046,0.935,10.469,25.201,0.056
0.057,0.919,10.434,24.828,0.061
0.08,0.863,13.528,32.517,0.052
0.0,1.0,7.979,19.855,0.063
0.023,0.947,15.523,36.937,0.028
0.034,0.929,10.282,25.539,0.052
0.046,0.929,11.85,28.69,0.047
0.161,0.754,6.075,14.769,0.156
0.069,0.915,10.772,24.912,0.064
0.034,0.939,11.07,27.006,0.048
0.08,0.904,10.833,25.385,0.067
0.057,0.886,12.087,28.592,0.051
0.023,0.951,13.107,30.958,0.035
0.069,0.893,10.726,25.739,0.062
0.069,0.872,6.329,15.498,0.118
0.057,0.894,13.014,30.702,0.047
0.034,0.95,13.039,31.005,0.039
0.057,0.889,15.467,36.645,0.039
0.0,1.0,7.302,18.665,0.071
0.057,0.911,10.602,25.444,0.059
0.126,0.771,5.983,14.801,0.145
0.138,0.812,5.739,13.763,0.159
0.034,0.93,8.222,20.562,0.071
0.057,0.896,13.786,31.946,0.045
0.034,0.943,12.711,29.305,0.042
0.0,1.0,12.39,30.943,0.028
0.023,0.963,12.534,29.423,0.038
0.011,0.973,16.924,40.545,0.02
0.046,0.929,14.118,32.774,0.04
0.115,0.815,4.639,10.858,0.197
0.046,0.905,13.816,32.995,0.04
0.161,0.741,5.934,14.348,0.16
0.069,0.891,5.908,14.195,0.131
0.069,0.902,12.636,29.561,0.053
0.0,1.0,7.449,18.854,0.069
0.057,0.898,12.46,30.101,0.049
0.057,0.907,5.144,12.424,0.152
0.057,0.894,15.113,37.806,0.038
0.172,0.732,6.198,15.201,0.155
0.069,0.867,13.702,31.609,0.049
0.034,0.95,8.509,21.062,0.068
0.034,0.923,14.076,33.923,0.035
0.103,0.852,6.261,15.263,0.131
0.092,0.822,13.818,31.959,0.057
0.0,1.0,7.719,19.346,0.066
0.057,0.918,14.669,35.517,0.041
0.011,0.981,4.256,10.636,0.171
0.0,1.0,7.498,18.909,0.069
0.034,0.921,13.28,30.551,0.04
0.011,0.98,11.756,29.333,0.035
0.023,0.953,8.636,21.397,0.063
0.046,0.923,12.9,30.331,0.044
0.069,0.875,14.597,35.008,0.045
0.023,0.967,6.957,17.274,0.087
0.0,1.0,6.571,16.741,0.085
0.057,0.915,13.949,32.429,0.044
0.034,0.946,13.221,31.479,0.038
0.023,0.959,12.454,29.952,0.037
0.046,0.915,13.082,30.691,0.043
0.057,0.898,5.868,14.453,0.125
0.0,1.0,9.328,23.536,0.047
0.115,0.792,6.541,16.153,0.127
0.011,0.979,13.149,33.485,0.028
0.034,0.939,7.891,19.366,0.077
0.057,0.896,13.378,31.319,0.046
0.034,0.933,9.568,23.846,0.057
0.046,0.937,11.141,27.213,0.051
0.057,0.889,13.894,32.546,0.044
0.0,1.0,8.228,20.974,0.058
0.034,0.93,14.758,34.876,0.034
0.034,0.951,8.88,22.218,0.063
0.08,0.837,6.5,15.69,0.119
0.0,1.0,6.121,15.248,0.098
0.069,0.878,13.46,31.265,0.05
