Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.175,0.762,5.736,15.562,0.156
0.158,0.839,3.152,8.448,0.282
0.018,0.979,7.602,19.845,0.07
0.018,0.975,6.654,17.323,0.087
0.123,0.833,3.338,9.086,0.253
0.088,0.906,8.777,22.902,0.079
0.07,0.922,8.129,20.836,0.082
0.105,0.86,4.245,11.087,0.195
0.158,0.775,7.786,20.324,0.114
0.175,0.787,4.155,11.057,0.221
0.018,0.978,8.069,20.717,0.065
0.088,0.868,8.994,23.737,0.076
0.246,0.6,3.12,8.581,0.31
0.158,0.8,4.677,13.133,0.182
0.105,0.86,8.18,21.0,0.093
0.491,0.282,1.811,4.898,0.55
0.158,0.883,4.225,11.109,0.213
0.07,0.897,8.548,22.22,0.076
0.053,0.925,8.332,21.433,0.073
0.14,0.765,5.093,13.556,0.167
0.281,0.568,3.516,9.223,0.298
0.211,0.707,10.6,28.311,0.104
0.316,0.514,3.233,8.821,0.325
0.211,0.733,3.352,8.86,0.286
0.035,0.941,8.64,22.406,0.063
0.07,0.897,8.341,21.395,0.079
0.158,0.827,3.845,10.535,0.228
0.123,0.887,4.173,10.974,0.204
0.123,0.825,4.049,11.087,0.205
0.123,0.848,4.485,12.569,0.179
0.193,0.694,3.355,8.777,0.281
0.088,0.881,8.017,20.797,0.088
0.105,0.829,10.599,28.055,0.07
0.14,0.822,8.792,22.84,0.097
0.123,0.873,4.211,11.265,0.199
0.053,0.914,4.987,13.746,0.137
0.14,0.833,3.493,9.448,0.248
0.175,0.722,10.864,29.061,0.091
0.14,0.833,9.891,26.22,0.086
0.0,1.0,8.575,22.23,0.052
0.14,0.818,8.575,21.997,0.1
0.263,0.634,8.972,24.074,0.134
0.246,0.689,4.468,12.557,0.22
0.07,0.867,8.156,21.603,0.079
0.105,0.854,9.68,25.28,0.077
0.175,0.762,3.847,10.166,0.24
0.246,0.696,3.294,9.034,0.296
0.123,0.833,3.621,9.888,0.231
0.14,0.81,4.055,11.124,0.21
0.018,0.981,7.004,18.003,0.081
0.316,0.581,3.017,7.838,0.351
0.0,1.0,6.657,18.089,0.076
0.053,0.914,4.201,11.235,0.177
0.07,0.92,9.337,24.82,0.067
0.123,0.821,9.125,23.616,0.088
0.281,0.556,2.57,6.672,0.385
0.158,0.78,3.029,7.822,0.299
0.228,0.768,3.321,9.26,0.285
0.053,0.932,9.808,25.842,0.058
0.158,0.743,4.285,11.769,0.203
0.035,0.951,8.584,22.291,0.064
0.105,0.838,4.005,11.038,0.2
0.281,0.515,5.321,14.511,0.203
0.298,0.553,5.723,15.146,0.201
0.088,0.884,3.737,10.055,0.214
0.158,0.791,4.028,10.807,0.221
0.316,0.64,2.777,7.618,0.365
0.175,0.756,2.759,7.333,0.326
0.228,0.629,2.695,7.053,0.352
0.404,0.511,2.455,6.412,0.438
0.211,0.7,2.751,7.232,0.34
0.281,0.543,3.519,9.325,0.296
0.07,0.9,4.155,11.195,0.184
0.193,0.694,8.667,23.229,0.113
0.088,0.857,8.673,22.329,0.081
0.14,0.805,10.021,26.372,0.085
0.14,0.83,4.895,12.891,0.176
0.281,0.543,2.195,5.785,0.427
0.07,0.882,8.189,21.494,0.079
0.088,0.865,8.937,23.73,0.076
0.123,0.844,9.324,24.31,0.086
0.211,0.765,4.774,12.941,0.201
0.053,0.917,9.902,26.051,0.057
0.368,0.543,2.94,8.059,0.367
0.193,0.703,5.755,15.403,0.163
0.123,0.86,9.995,26.73,0.079
0.386,0.476,3.391,9.202,0.337
0.088,0.884,5.512,15.066,0.133
0.246,0.641,3.24,8.432,0.309
0.018,0.98,7.852,20.186,0.068
0.07,0.882,9.075,23.688,0.07
0.368,0.447,2.442,6.444,0.426
0.351,0.5,2.283,5.979,0.44
0.035,0.949,5.327,14.139,0.125
0.035,0.947,5.831,16.235,0.104
0.175,0.844,3.617,9.717,0.252
0.211,0.739,2.506,6.771,0.362
0.404,0.395,2.842,7.725,0.39
0.07,0.886,8.984,23.368,0.071
0.07,0.902,9.235,23.857,0.07
