Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.109,0.872,6.211,14.69,0.138
0.174,0.846,4.526,11.37,0.21
0.022,0.976,7.877,18.962,0.075
0.13,0.857,6.832,16.276,0.13
0.152,0.848,7.998,18.487,0.12
0.065,0.917,10.854,26.9,0.058
0.109,0.833,4.372,10.995,0.196
0.0,1.0,11.177,31.268,0.029
0.043,0.952,8.571,23.554,0.063
0.043,0.947,8.835,23.022,0.064
0.0,1.0,6.137,17.07,0.085
0.13,0.857,4.937,13.131,0.17
0.087,0.909,7.679,18.276,0.101
0.0,1.0,11.235,29.981,0.031
0.0,1.0,10.004,26.196,0.039
0.022,0.974,10.677,28.685,0.041
0.0,1.0,10.523,28.657,0.034
0.0,1.0,12.419,32.031,0.027
0.0,1.0,12.976,34.111,0.024
0.0,1.0,10.892,27.933,0.034
0.109,0.902,3.803,8.964,0.239
0.022,0.982,5.538,15.077,0.11
0.0,1.0,11.208,28.437,0.033
0.065,0.889,9.368,23.993,0.067
0.043,0.946,7.516,17.571,0.09
0.13,0.806,6.102,14.484,0.148
0.0,1.0,10.901,29.181,0.032
0.0,1.0,9.957,27.618,0.036
0.152,0.865,7.589,17.857,0.125
0.0,1.0,11.064,31.536,0.029
0.0,1.0,13.689,34.718,0.023
0.0,1.0,13.178,35.468,0.022
0.065,0.921,5.345,14.442,0.132
0.087,0.857,6.033,15.322,0.127
0.043,0.949,5.316,14.463,0.125
0.087,0.907,6.51,18.226,0.105
0.0,1.0,13.069,32.774,0.025
0.0,1.0,11.374,29.379,0.031
0.0,1.0,11.227,28.92,0.032
0.043,0.957,8.65,22.726,0.065
0.152,0.875,4.553,11.503,0.201
0.0,1.0,12.71,34.528,0.024
0.0,1.0,13.114,34.563,0.023
0.0,1.0,11.966,33.354,0.025
0.0,1.0,12.023,32.772,0.026
0.0,1.0,12.153,31.321,0.028
0.0,1.0,12.245,31.466,0.028
0.022,0.968,9.003,22.224,0.059
0.043,0.938,13.045,34.209,0.038
0.283,0.618,3.206,7.554,0.34
0.022,0.968,10.542,28.485,0.041
0.022,0.969,8.476,23.102,0.057
0.0,1.0,13.514,35.36,0.022
0.0,1.0,11.808,32.462,0.027
0.0,1.0,11.141,30.063,0.031
0.065,0.919,7.44,17.357,0.099
0.065,0.939,4.608,12.224,0.162
0.087,0.897,11.316,28.369,0.062
0.0,1.0,10.116,25.674,0.04
0.0,1.0,13.558,34.067,0.024
0.0,1.0,12.022,30.768,0.029
0.0,1.0,8.622,24.345,0.046
0.065,0.941,7.712,17.954,0.095
0.0,1.0,11.212,29.845,0.031
0.0,1.0,11.571,29.983,0.03
0.0,1.0,12.128,32.474,0.026
0.065,0.912,6.926,17.118,0.103
0.0,1.0,11.564,30.92,0.029
0.283,0.735,5.973,14.022,0.204
0.0,1.0,11.839,30.897,0.029
0.174,0.81,3.365,7.892,0.292
0.0,1.0,13.055,33.222,0.025
0.065,0.923,9.27,24.144,0.067
0.0,1.0,10.414,28.18,0.035
0.0,1.0,12.522,31.742,0.027
0.087,0.886,3.698,9.139,0.231
0.022,0.964,5.58,14.117,0.118
0.0,1.0,13.483,35.355,0.022
0.13,0.875,10.356,26.832,0.081
0.152,0.86,7.286,17.373,0.129
0.0,1.0,14.868,39.103,0.018
0.0,1.0,13.713,35.466,0.022
0.0,1.0,13.707,36.504,0.021
0.043,0.951,4.284,11.206,0.173
0.0,1.0,10.535,28.476,0.034
0.0,1.0,9.151,25.762,0.041
0.174,0.784,2.969,7.169,0.321
0.0,1.0,12.312,34.865,0.024
0.022,0.974,7.444,17.214,0.086
0.022,0.975,5.057,13.775,0.126
0.0,1.0,14.0,36.357,0.021
0.0,1.0,7.081,19.976,0.065
0.065,0.919,9.67,26.362,0.061
0.0,1.0,12.206,31.531,0.028
0.065,0.889,7.473,17.934,0.096
0.0,1.0,7.047,19.431,0.068
0.0,1.0,11.525,29.82,0.031
0.0,1.0,9.581,25.656,0.041
0.043,0.935,4.445,11.617,0.165
0.0,1.0,12.094,31.431,0.028
