Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.043,0.955,7.34,16.026,0.101
0.085,0.895,7.27,18.125,0.102
0.021,0.977,8.767,18.341,0.076
0.0,1.0,11.283,28.419,0.033
0.064,0.9,7.591,15.202,0.113
0.021,0.978,10.329,22.314,0.056
0.0,1.0,14.346,38.646,0.019
0.021,0.974,8.094,19.417,0.072
0.064,0.923,9.388,22.51,0.071
0.0,1.0,13.121,31.649,0.027
0.064,0.917,10.946,25.125,0.062
0.064,0.903,6.589,15.327,0.116
0.085,0.902,10.539,25.904,0.067
0.021,0.971,7.526,16.629,0.089
0.128,0.842,10.325,22.906,0.09
0.0,1.0,10.965,22.252,0.049
0.021,0.979,8.812,21.113,0.063
0.0,1.0,8.216,20.046,0.062
0.043,0.944,6.721,16.768,0.098
0.0,1.0,10.714,22.578,0.048
0.106,0.878,9.979,22.387,0.085
0.043,0.95,9.28,21.446,0.068
0.085,0.902,6.835,15.261,0.123
0.064,0.917,7.956,17.639,0.096
0.0,1.0,10.039,23.457,0.046
0.106,0.865,7.292,16.339,0.12
0.0,1.0,8.047,17.874,0.073
0.021,0.972,8.844,21.323,0.062
0.128,0.875,8.676,18.801,0.109
0.426,0.6,4.314,9.213,0.331
0.021,0.979,9.042,17.654,0.079
0.0,1.0,9.715,19.061,0.063
0.0,1.0,11.548,23.304,0.045
0.0,1.0,15.138,38.875,0.018
0.085,0.871,11.339,27.111,0.064
0.043,0.947,10.6,25.3,0.055
0.021,0.969,9.147,19.34,0.07
0.064,0.906,9.132,20.924,0.077
0.021,0.962,8.995,21.84,0.06
0.064,0.903,8.119,18.284,0.092
0.0,1.0,14.407,36.313,0.021
0.085,0.909,7.256,15.942,0.116
0.021,0.977,8.019,18.153,0.078
0.0,1.0,10.945,23.726,0.044
0.0,1.0,10.895,26.455,0.037
0.0,1.0,10.458,21.723,0.051
0.0,1.0,9.288,19.195,0.063
0.0,1.0,13.973,35.664,0.022
0.043,0.933,11.137,27.355,0.049
0.106,0.881,8.957,19.198,0.099
0.064,0.919,6.512,15.712,0.114
0.021,0.98,9.955,22.576,0.056
0.128,0.842,8.32,20.24,0.103
0.064,0.925,8.357,20.335,0.081
0.128,0.846,8.441,17.31,0.118
0.106,0.872,8.508,18.895,0.102
0.043,0.956,9.214,21.898,0.066
0.085,0.92,8.321,18.13,0.099
0.085,0.895,8.071,17.479,0.103
0.064,0.941,7.828,16.432,0.103
0.213,0.848,9.289,21.138,0.126
0.021,0.972,9.548,19.487,0.068
0.043,0.941,8.609,21.009,0.071
0.043,0.938,7.75,18.404,0.085
0.0,1.0,10.848,27.844,0.035
0.106,0.857,9.494,20.974,0.091
0.043,0.938,8.912,20.462,0.072
0.0,1.0,12.764,31.616,0.027
0.043,0.939,10.185,22.714,0.062
0.0,1.0,8.345,18.086,0.071
0.064,0.933,6.763,14.813,0.119
0.021,0.963,6.895,15.749,0.097
0.021,0.984,8.335,18.557,0.075
0.043,0.949,10.776,26.113,0.052
0.043,0.941,9.21,23.202,0.062
0.0,1.0,8.882,22.69,0.05
0.064,0.939,9.465,23.544,0.068
0.0,1.0,11.111,22.835,0.047
0.0,1.0,13.546,34.884,0.023
0.085,0.923,7.6,17.883,0.102
0.043,0.931,7.282,17.447,0.092
0.0,1.0,14.014,34.673,0.023
0.106,0.815,7.766,17.831,0.109
0.064,0.923,6.916,16.929,0.103
0.106,0.857,8.54,18.461,0.104
0.043,0.935,9.627,21.229,0.068
0.0,1.0,9.541,20.635,0.056
0.043,0.943,8.658,21.128,0.07
0.128,0.829,5.283,10.968,0.193
0.0,1.0,14.123,34.571,0.023
0.064,0.917,10.029,22.525,0.07
0.085,0.875,8.182,17.478,0.103
0.064,0.9,6.643,13.963,0.128
0.064,0.889,11.572,28.097,0.055
0.021,0.973,14.12,33.153,0.031
0.021,0.979,7.579,14.746,0.103
0.021,0.979,9.62,23.526,0.053
0.021,0.974,8.663,17.59,0.08
0.0,1.0,10.27,24.135,0.044
0.085,0.846,8.338,16.917,0.106
