Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,21.698,52.251,0.01
0.0,1.0,12.02,24.681,0.04
0.0,1.0,25.625,60.391,0.008
0.0,1.0,25.948,61.774,0.007
0.0,1.0,24.818,61.659,0.007
0.036,0.963,10.885,24.648,0.054
0.0,1.0,23.956,55.904,0.009
0.0,1.0,21.893,52.771,0.01
0.0,1.0,22.687,55.507,0.009
0.0,1.0,23.897,58.139,0.008
0.0,1.0,24.94,59.661,0.008
0.0,1.0,25.043,58.83,0.008
0.073,0.905,5.114,11.146,0.173
0.0,1.0,22.971,56.256,0.009
0.0,1.0,12.035,32.739,0.026
0.0,1.0,8.045,18.524,0.069
0.0,1.0,20.598,49.603,0.011
0.0,1.0,25.8,61.794,0.007
0.0,1.0,23.066,53.174,0.01
0.0,1.0,10.982,27.697,0.035
0.018,0.974,7.668,17.943,0.079
0.018,0.969,12.957,26.005,0.043
0.0,1.0,22.213,53.685,0.01
0.055,0.9,9.144,20.72,0.075
0.073,0.895,13.34,27.232,0.058
0.0,1.0,10.138,27.942,0.035
0.0,1.0,23.768,57.741,0.008
0.0,1.0,21.707,52.47,0.01
0.218,0.76,6.277,13.315,0.187
0.0,1.0,25.099,59.254,0.008
0.0,1.0,18.507,46.22,0.013
0.0,1.0,22.863,55.074,0.009
0.055,0.93,9.527,22.566,0.068
0.018,0.979,13.591,27.185,0.04
0.0,1.0,17.859,40.139,0.017
0.055,0.893,14.199,29.166,0.048
0.0,1.0,25.654,60.953,0.007
0.0,1.0,15.795,37.729,0.019
0.091,0.848,6.482,13.979,0.137
0.0,1.0,25.206,59.137,0.008
0.0,1.0,10.69,28.982,0.033
0.0,1.0,20.199,48.346,0.012
0.0,1.0,23.297,56.591,0.009
0.0,1.0,26.622,63.063,0.007
0.036,0.944,14.346,29.458,0.041
0.127,0.851,14.606,30.033,0.071
0.145,0.771,7.709,16.853,0.128
0.0,1.0,20.455,49.053,0.012
0.0,1.0,15.261,30.386,0.027
0.0,1.0,15.109,35.697,0.021
0.036,0.946,15.752,32.579,0.036
0.0,1.0,7.782,21.445,0.057
0.0,1.0,25.901,61.041,0.007
0.0,1.0,23.647,55.035,0.009
0.0,1.0,26.224,61.552,0.007
0.0,1.0,13.329,31.927,0.026
0.0,1.0,12.044,27.88,0.033
0.055,0.932,14.124,29.477,0.047
0.0,1.0,24.821,57.822,0.008
0.2,0.771,6.841,14.58,0.167
0.218,0.745,4.748,10.167,0.24
0.182,0.756,6.654,14.358,0.163
0.0,1.0,15.508,34.998,0.022
0.0,1.0,26.028,60.833,0.007
0.055,0.909,14.554,31.043,0.045
0.0,1.0,26.137,60.874,0.007
0.164,0.816,5.753,12.583,0.18
0.036,0.96,14.765,30.629,0.039
0.0,1.0,25.038,58.645,0.008
0.0,1.0,28.442,68.151,0.006
0.0,1.0,22.136,53.878,0.01
0.0,1.0,9.906,26.326,0.039
0.036,0.965,17.648,37.276,0.031
0.036,0.946,13.286,27.197,0.046
0.0,1.0,23.884,58.048,0.008
0.0,1.0,16.818,36.895,0.019
0.0,1.0,9.186,23.044,0.049
0.0,1.0,14.465,32.41,0.025
0.0,1.0,24.101,56.167,0.009
0.0,1.0,11.617,25.049,0.04
0.164,0.727,5.338,10.797,0.206
0.0,1.0,13.842,30.605,0.028
0.0,1.0,9.756,26.782,0.038
0.0,1.0,24.357,57.205,0.008
0.0,1.0,20.061,46.606,0.013
0.0,1.0,24.566,60.206,0.008
0.018,0.974,12.951,25.985,0.043
0.0,1.0,23.943,58.618,0.008
0.0,1.0,12.031,30.683,0.029
0.036,0.953,7.783,18.252,0.083
0.0,1.0,23.766,55.35,0.009
0.0,1.0,11.493,31.958,0.028
0.109,0.786,5.199,10.545,0.193
0.0,1.0,23.957,56.781,0.009
0.073,0.897,7.411,16.936,0.104
0.0,1.0,20.667,49.713,0.011
0.0,1.0,26.583,62.733,0.007
0.0,1.0,21.786,53.096,0.01
0.0,1.0,26.062,61.082,0.007
0.0,1.0,10.752,30.306,0.031
