Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.075,0.94,10.386,19.026,0.087
0.075,0.943,10.135,18.701,0.089
0.05,0.939,10.113,18.737,0.081
0.075,0.936,10.165,18.775,0.089
0.075,0.94,10.213,18.871,0.088
0.075,0.938,9.433,17.531,0.097
0.075,0.938,9.489,17.71,0.096
0.05,0.958,9.899,18.212,0.084
0.25,0.767,7.893,16.068,0.168
0.05,0.944,7.88,15.349,0.107
0.075,0.925,10.063,18.967,0.088
0.05,0.947,9.744,18.004,0.085
0.075,0.935,9.857,18.26,0.092
0.05,0.943,10.089,18.475,0.082
0.075,0.938,10.036,18.501,0.09
0.075,0.933,9.605,17.626,0.096
0.2,0.8,9.426,22.726,0.116
0.075,0.933,9.909,18.244,0.092
0.225,0.78,9.64,18.711,0.14
0.075,0.941,10.068,18.392,0.091
0.075,0.942,9.939,18.21,0.092
0.075,0.923,10.177,18.543,0.09
0.05,0.951,10.227,18.92,0.08
0.05,0.956,9.931,18.441,0.083
0.075,0.935,10.18,18.647,0.089
0.075,0.925,9.806,18.021,0.093
0.075,0.927,9.991,18.381,0.091
0.05,0.951,10.199,19.136,0.079
0.075,0.921,9.922,18.149,0.092
0.075,0.929,10.32,19.058,0.087
0.3,0.76,4.586,8.907,0.291
0.075,0.935,10.135,18.837,0.089
0.075,0.93,10.03,18.475,0.091
0.2,0.822,4.537,10.014,0.239
0.075,0.939,10.514,19.297,0.086
0.075,0.944,9.805,18.027,0.093
0.075,0.923,10.053,18.62,0.09
0.05,0.946,9.766,18.23,0.084
0.075,0.925,10.163,18.625,0.09
0.075,0.938,10.064,18.443,0.091
0.05,0.943,9.667,17.668,0.087
0.075,0.933,10.077,18.706,0.089
0.075,0.909,10.273,18.832,0.088
0.075,0.938,9.907,18.271,0.092
0.05,0.958,10.394,19.071,0.079
0.075,0.933,9.82,17.917,0.094
0.075,0.935,9.859,18.22,0.092
0.075,0.93,10.105,18.454,0.091
0.075,0.925,10.164,18.728,0.089
0.075,0.912,9.689,17.791,0.095
0.05,0.949,10.001,18.456,0.082
0.075,0.932,9.973,18.324,0.091
0.175,0.837,4.183,8.409,0.265
0.075,0.912,10.274,18.798,0.089
0.075,0.921,9.612,17.774,0.095
0.375,0.688,4.086,8.395,0.333
0.2,0.833,9.459,19.745,0.127
0.075,0.938,9.979,18.127,0.092
0.075,0.943,6.512,12.49,0.147
0.075,0.919,10.064,18.373,0.091
0.075,0.929,9.55,17.63,0.096
0.075,0.921,10.2,18.663,0.089
0.075,0.927,10.092,18.388,0.091
0.275,0.776,3.984,7.74,0.315
0.05,0.955,10.072,18.488,0.082
0.3,0.667,4.234,9.206,0.291
0.075,0.925,9.921,18.141,0.092
0.05,0.949,10.29,19.362,0.077
0.075,0.93,10.498,19.229,0.086
0.075,0.942,10.063,18.541,0.09
0.075,0.936,10.194,18.93,0.088
0.075,0.929,9.646,17.617,0.096
0.05,0.946,10.052,18.314,0.083
0.3,0.676,3.669,6.895,0.349
0.2,0.795,3.969,7.958,0.286
0.075,0.925,9.9,18.192,0.092
0.05,0.946,10.259,19.161,0.078
0.125,0.872,9.623,20.643,0.098
0.05,0.946,9.863,18.122,0.084
0.15,0.806,8.813,17.928,0.121
0.05,0.949,10.132,18.567,0.082
0.175,0.837,4.692,10.6,0.22
0.075,0.933,10.052,18.365,0.091
0.075,0.94,10.312,18.919,0.088
0.25,0.714,3.965,8.591,0.29
0.075,0.939,9.224,16.989,0.1
0.05,0.949,9.684,17.743,0.087
0.075,0.942,9.854,17.939,0.094
0.075,0.93,9.987,18.244,0.092
0.05,0.953,9.953,18.728,0.081
0.05,0.955,10.198,18.922,0.08
0.075,0.93,9.863,18.181,0.092
0.075,0.929,10.096,18.402,0.091
0.075,0.94,10.145,18.686,0.089
0.125,0.815,3.861,7.928,0.264
0.05,0.938,9.679,18.309,0.084
0.05,0.95,10.258,18.971,0.079
0.275,0.577,3.692,7.538,0.325
0.075,0.925,9.79,17.838,0.094
0.075,0.938,9.971,18.397,0.091
